Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,31.110001,31.43,31.110001,31.32,685500,31.32
2017-04-06,30.15,31.33,30.15,31.32,1167900,31.32
2017-04-05,30.00,30.379999,29.889999,30.110001,643300,30.110001
2017-04-04,29.809999,30.00,29.68,29.91,353200,29.91
2017-04-03,29.85,30.08,29.559999,29.74,548100,29.74
2017-03-31,29.639999,30.00,29.58,29.950001,322200,29.950001
2017-03-30,29.90,30.00,29.620001,29.83,612800,29.83
2017-03-29,29.809999,29.959999,29.41,29.85,434900,29.85
2017-03-28,29.60,30.00,29.32,29.809999,382200,29.809999
2017-03-27,29.299999,29.76,29.139999,29.59,341100,29.59
2017-03-24,29.32,29.705999,29.084999,29.43,392700,29.43
2017-03-23,29.02,29.764,29.02,29.290001,583700,29.290001
2017-03-22,29.040001,29.379999,28.799999,29.18,680200,29.18
2017-03-21,29.73,29.790001,28.75,28.99,752800,28.99
2017-03-20,29.809999,29.889999,29.10,29.450001,538900,29.450001
2017-03-17,29.530001,29.76,29.391001,29.66,446100,29.66
2017-03-16,29.129999,29.459999,28.92,29.389999,423000,29.389999
2017-03-15,29.040001,29.16,28.785,29.030001,510000,29.030001
2017-03-14,29.15,29.15,28.735001,28.92,325000,28.92
2017-03-13,28.58,29.190001,28.58,29.129999,381600,29.129999
2017-03-10,28.690001,28.716999,28.50,28.67,239000,28.67
2017-03-09,28.75,28.799999,28.299999,28.540001,272300,28.540001
2017-03-08,28.67,28.709999,28.32,28.629999,246200,28.629999
2017-03-07,28.690001,28.83,28.360001,28.549999,453200,28.549999
2017-03-06,28.559999,28.76,28.34,28.629999,358300,28.629999
2017-03-03,28.66,28.889999,28.40,28.790001,381400,28.790001
2017-03-02,28.83,28.969999,28.530001,28.60,572600,28.60
2017-03-01,28.73,28.99,28.25,28.93,412800,28.93
2017-02-28,28.540001,29.00,28.389999,28.440001,556400,28.440001
2017-02-27,29.059999,29.200001,28.73,28.82,457100,28.82
2017-02-24,29.389999,29.389999,29.059999,29.27,252900,29.27
2017-02-23,29.35,29.625,29.309999,29.50,398500,29.50
2017-02-22,30.059999,30.24,29.280001,29.42,524000,29.42
2017-02-21,29.790001,30.24,29.530001,30.049999,717400,30.049999
2017-02-17,28.959999,29.90,28.76,29.889999,614100,29.889999
2017-02-16,29.469999,29.59,28.879999,29.16,393500,29.16
2017-02-15,28.90,29.74,28.846001,29.620001,580600,29.620001
2017-02-14,28.950001,29.00,28.75,28.959999,351800,28.959999
2017-02-13,28.639999,28.99,28.50,28.92,428900,28.92
2017-02-10,28.209999,28.82,28.101999,28.639999,526700,28.639999
2017-02-09,28.110001,28.379999,27.957001,28.26,426000,28.26
2017-02-08,27.98,28.190001,27.68,28.110001,237600,28.110001
2017-02-07,28.00,28.10,27.809999,28.00,272900,28.00
2017-02-06,27.959999,27.98,27.719999,27.93,237900,27.93
2017-02-03,28.059999,28.370001,27.85,28.16,401000,28.16
2017-02-02,28.00,28.184999,27.620001,28.139999,518000,28.139999
2017-02-01,27.57,28.190001,27.33,28.02,857300,28.02
2017-01-31,27.389999,27.700001,27.07,27.629999,664800,27.629999
2017-01-30,27.51,27.690001,26.969999,27.610001,449400,27.610001
2017-01-27,27.809999,27.969999,27.52,27.76,643900,27.76
2017-01-26,27.860001,27.99,27.620001,27.77,508900,27.77
2017-01-25,28.690001,28.690001,27.68,27.85,1066500,27.85
2017-01-24,27.52,28.10,27.379999,27.93,666400,27.93
2017-01-23,27.780001,27.969999,27.23,27.639999,1493600,27.639999
2017-01-20,27.209999,28.139999,26.959999,28.030001,2014800,28.030001
2017-01-19,27.35,27.51,27.139999,27.42,918900,27.42
2017-01-18,26.879999,27.450001,26.620001,27.200001,1101500,27.200001
2017-01-17,26.82,26.870001,26.427999,26.629999,674700,26.629999
2017-01-13,26.92,26.98,26.48,26.91,564800,26.91
2017-01-12,26.030001,26.84,26.01,26.809999,1214300,26.809999
2017-01-11,25.280001,26.08,25.16,26.00,677800,26.00
2017-01-10,25.030001,25.379999,24.950001,25.24,495500,25.24
2017-01-09,24.73,25.120001,24.709999,25.030001,510600,25.030001
2017-01-06,25.07,25.25,24.634001,24.719999,931600,24.719999
2017-01-05,25.16,25.58,24.709999,24.969999,594900,24.969999
2017-01-04,24.75,25.610001,24.714001,25.15,556500,25.15
