Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,26.57,26.70,26.30,26.52,1598600,26.52
2017-04-06,26.60,26.68,26.49,26.57,1602500,26.57
2017-04-05,26.82,26.98,26.59,26.77,4786700,26.77
2017-04-04,26.60,26.73,26.43,26.73,1753100,26.73
2017-04-03,26.55,26.69,26.40,26.67,1471200,26.67
2017-03-31,26.52,26.64,26.50,26.50,3613400,26.50
2017-03-30,26.45,26.72,26.32,26.70,2733800,26.70
2017-03-29,26.21,26.43,26.09,26.35,3415900,26.35
2017-03-28,25.97,26.26,25.94,26.25,3205500,26.25
2017-03-27,25.75,25.97,25.65,25.94,1954300,25.94
2017-03-24,25.68,26.05,25.66,25.94,2059800,25.94
2017-03-23,25.34,25.79,25.26,25.61,3469500,25.61
2017-03-22,25.70,25.75,25.40,25.43,2893400,25.43
2017-03-21,25.75,25.84,25.60,25.82,1954800,25.82
2017-03-20,25.75,25.92,25.71,25.84,1160600,25.84
2017-03-17,26.22,26.25,25.87,25.87,3019500,25.87
2017-03-16,25.85,26.23,25.85,26.13,4358900,26.13
2017-03-15,26.21,26.40,26.13,26.35,2296700,26.35
2017-03-14,26.33,26.45,26.22,26.33,2115700,26.33
2017-03-13,26.45,26.46,26.25,26.37,1815800,26.37
2017-03-10,26.18,26.48,26.10,26.42,2217800,26.42
2017-03-09,26.00,26.11,25.96,26.07,2171900,26.07
2017-03-08,25.99,26.16,25.90,26.06,3389900,26.06
2017-03-07,25.85,26.18,25.71,26.10,3373700,26.10
2017-03-06,25.39,25.72,25.24,25.70,1937900,25.70
2017-03-03,25.40,25.45,25.24,25.41,1886700,25.41
2017-03-02,25.16,25.52,25.15,25.47,4506900,25.47
2017-03-01,25.69,25.82,25.39,25.51,4889400,25.51
2017-02-28,26.08,26.15,25.76,25.76,6727500,25.76
2017-02-27,26.43,26.45,26.17,26.19,3301400,26.19
2017-02-24,26.55,26.68,26.50,26.50,5286000,26.50
2017-02-23,26.50,26.75,26.06,26.50,5692800,26.50
2017-02-22,25.92,26.71,25.67,26.63,9918300,26.63
2017-02-21,25.58,25.695,25.425,25.50,2885200,25.50
2017-02-20,25.61,25.69,25.40,25.50,2661300,25.50
2017-02-17,25.30,25.50,25.24,25.49,3264500,25.49
2017-02-16,25.30,25.39,24.84,25.36,5097800,25.36
2017-02-15,25.55,25.615,25.29,25.36,3454800,25.36
2017-02-14,25.60,25.75,25.49,25.52,2288200,25.52
2017-02-13,25.25,25.53,25.25,25.50,2125600,25.50
2017-02-10,25.25,25.465,25.15,25.33,4683100,25.33
2017-02-09,25.38,25.38,25.11,25.25,2967600,25.25
2017-02-08,25.39,25.44,25.27,25.36,5801700,25.36
2017-02-07,25.35,25.41,25.27,25.35,3426700,25.35
2017-02-06,25.50,25.57,25.265,25.36,1935900,25.36
2017-02-03,25.40,25.60,25.33,25.39,3229400,25.39
2017-02-02,25.35,25.42,25.10,25.29,7284700,25.29
2017-02-01,25.00,25.15,24.93,25.09,8437000,25.09
2017-01-31,24.85,24.88,24.48,24.60,4214500,24.60
2017-01-30,24.97,25.08,24.88,24.91,2807900,24.91
2017-01-27,24.95,25.30,24.85,25.16,4497400,25.16
2017-01-26,24.65,24.65,24.65,24.65,000,24.65
2017-01-25,24.90,24.97,24.63,24.65,3815600,24.65
2017-01-24,24.72,24.83,24.53,24.80,4273500,24.80
2017-01-23,24.68,24.75,24.44,24.60,4844500,24.60
2017-01-20,24.28,24.45,24.265,24.38,4510200,24.38
2017-01-19,24.59,24.60,24.32,24.40,2640800,24.40
2017-01-18,24.20,24.39,24.17,24.30,1960900,24.30
2017-01-17,24.32,24.47,24.27,24.42,1265100,24.42
2017-01-16,24.40,24.65,24.40,24.47,1277900,24.47
2017-01-13,24.38,24.47,24.12,24.38,2025800,24.38
2017-01-12,24.46,24.54,24.21,24.27,3236300,24.27
2017-01-11,24.25,24.54,24.20,24.40,3433700,24.40
2017-01-10,24.38,24.45,24.17,24.21,1655600,24.21
2017-01-09,24.30,24.65,24.28,24.39,3429400,24.39
2017-01-06,24.21,24.39,24.10,24.19,1616800,24.19
2017-01-05,24.40,24.42,24.26,24.28,1633500,24.28
2017-01-04,24.39,24.39,24.21,24.35,1990300,24.35
2017-01-03,24.40,24.45,24.29,24.37,1862600,24.37
2017-01-02,24.10,24.10,24.10,24.10,000,24.10
2016-12-30,24.30,24.37,24.06,24.10,1734400,24.10
2016-12-29,24.32,24.54,24.26,24.49,2148500,24.49
2016-12-28,24.22,24.59,24.21,24.31,3184200,24.31
2016-12-27,23.85,23.85,23.85,23.85,000,23.85
2016-12-26,23.85,23.85,23.85,23.85,000,23.85
2016-12-23,23.90,24.08,23.77,23.85,2455400,23.85
2016-12-22,23.68,24.02,23.63,23.98,2389900,23.98
2016-12-21,23.60,23.82,23.57,23.62,2167600,23.62
2016-12-20,23.20,23.79,23.17,23.65,2723500,23.65
2016-12-19,22.94,23.35,22.89,23.24,2475700,23.24
2016-12-16,22.98,23.04,22.77,22.95,4119300,22.95
2016-12-15,22.78,23.19,22.78,23.05,3638000,23.05
2016-12-14,22.95,23.09,22.82,22.96,3294800,22.96
2016-12-13,22.85,23.00,22.71,22.82,2858500,22.82
2016-12-12,22.80,22.89,22.71,22.85,1857900,22.85
2016-12-09,23.00,23.09,22.78,22.91,2005500,22.91
2016-12-08,23.05,23.36,23.01,23.15,3602200,23.15
2016-12-07,22.48,22.95,22.46,22.91,3474200,22.91
2016-12-06,22.66,22.70,22.34,22.40,3169200,22.40
2016-12-05,22.84,22.88,22.61,22.69,1666300,22.69
2016-12-02,23.09,23.275,22.94,22.94,3314500,22.94
2016-12-01,22.80,23.16,22.67,23.14,3663800,23.14
2016-11-30,23.00,23.10,22.81,22.89,10666300,22.89
2016-11-29,23.20,23.25,22.98,23.05,4304600,23.05
2016-11-28,23.50,23.55,23.23,23.25,2675000,23.25
2016-11-25,23.50,23.60,23.35,23.50,2391200,23.50
2016-11-24,23.53,23.60,23.44,23.50,1962700,23.50
2016-11-23,23.22,23.46,23.17,23.40,2044600,23.40
2016-11-22,23.15,23.34,23.05,23.26,2637600,23.26
2016-11-21,23.12,23.20,22.82,22.85,2587300,22.85
2016-11-18,23.28,23.41,23.12,23.21,1218000,23.21
2016-11-17,23.25,23.34,23.05,23.31,2318400,23.31
2016-11-16,23.25,23.39,23.11,23.30,2030000,23.30
2016-11-15,23.25,23.38,23.00,23.36,2602700,23.36
2016-11-14,23.45,23.45,23.13,23.25,1909400,23.25
2016-11-11,23.30,23.38,23.06,23.38,3367700,23.38
2016-11-10,22.94,23.33,22.90,23.19,2225100,23.19
2016-11-09,23.08,23.35,22.23,22.73,2991200,22.73
2016-11-08,23.04,23.05,22.79,23.05,3267700,23.05
2016-11-07,23.01,23.11,22.76,23.06,2083400,23.06
2016-11-04,22.78,22.98,22.75,22.96,1293300,22.96
2016-11-03,23.10,23.14,22.86,22.99,2394500,22.99
2016-11-02,23.24,23.27,22.95,23.09,2591900,23.09
2016-11-01,23.26,23.59,23.22,23.47,2100900,23.47
2016-10-31,24.10,24.17,23.38,23.65,5432700,23.65
2016-10-28,25.69,25.75,24.07,24.23,8748600,24.23
2016-10-27,25.16,25.22,24.72,24.80,5249900,24.80
2016-10-26,25.10,25.37,25.05,25.12,4297900,25.12
2016-10-25,25.25,25.405,25.19,25.25,3958200,25.25
2016-10-24,25.20,25.24,25.04,25.21,4278800,25.21
2016-10-21,25.00,25.37,24.98,25.29,5943100,25.29
2016-10-20,24.99,24.99,24.83,24.91,5747800,24.91
2016-10-19,24.49,24.88,24.45,24.76,3353200,24.76
2016-10-18,24.37,24.50,24.25,24.36,3134200,24.36
2016-10-17,24.24,24.40,24.20,24.25,1502800,24.25
2016-10-14,24.39,24.50,24.24,24.28,1980200,24.28
2016-10-13,24.01,24.31,24.01,24.22,2808900,24.22
2016-10-12,24.07,24.25,24.015,24.22,3914000,24.22
2016-10-11,24.15,24.30,24.05,24.10,3434500,24.10
2016-10-10,24.05,24.10,23.89,23.97,3475100,23.97
2016-10-07,23.98,24.10,23.72,23.89,2827700,23.89
2016-10-06,23.47,23.93,23.40,23.91,3066800,23.91
2016-10-05,23.28,23.40,23.16,23.30,1721900,23.30
2016-10-04,23.30,23.33,23.13,23.27,2549600,23.27
2016-10-03,23.27,23.45,23.225,23.37,1407400,23.37
2016-09-30,23.40,23.435,22.91,23.27,5515000,23.27
2016-09-29,23.08,23.37,22.70,23.33,2501100,23.33
2016-09-28,22.90,23.09,22.83,22.95,3456600,22.95
2016-09-27,22.51,22.72,22.37,22.52,5685300,22.52
2016-09-26,23.05,23.21,22.81,22.85,3134000,22.85
2016-09-23,22.87,23.41,22.72,23.35,5247100,23.35
2016-09-22,22.76,22.91,22.64,22.75,2478100,22.75
2016-09-21,22.60,22.85,22.58,22.76,3175700,22.76
2016-09-20,22.49,22.78,22.48,22.78,2782100,22.78
2016-09-19,22.40,22.71,22.40,22.53,700600,22.53
2016-09-16,22.53,22.60,22.48,22.52,5012900,22.52
2016-09-15,22.35,22.60,22.345,22.49,3906800,22.49
2016-09-14,22.40,22.61,22.32,22.50,3271600,22.50
2016-09-13,22.37,22.55,22.28,22.42,3848200,22.42
2016-09-12,22.44,22.65,22.32,22.32,3278500,22.32
2016-09-09,22.92,22.99,22.55,22.85,3893500,22.85
2016-09-08,23.55,23.60,23.10,23.27,5323600,23.27
2016-09-07,23.80,24.14,23.80,24.12,3612900,23.64857
2016-09-06,24.04,24.12,23.97,24.12,2904500,23.64857
2016-09-05,23.91,24.05,23.80,24.05,2424700,23.57994
2016-09-02,23.80,23.98,23.53,23.98,3061100,23.51131
2016-09-01,23.60,23.915,23.41,23.91,3827000,23.44268
2016-08-31,24.00,24.12,23.585,23.71,4005700,23.24659
2016-08-30,24.71,24.73,24.13,24.13,3522400,23.65838
2016-08-29,24.80,24.90,24.625,24.71,2984700,24.22704
2016-08-26,24.62,25.08,24.50,24.90,9499800,24.41333
2016-08-25,25.85,26.05,25.115,25.17,17386200,24.67805
2016-08-24,24.22,24.22,24.22,24.22,000,23.74662
2016-08-23,24.20,24.26,23.94,24.22,3166700,23.74662
2016-08-22,23.87,24.11,23.81,24.10,3246600,23.62896
2016-08-19,23.79,23.95,23.70,23.90,2393000,23.43287
2016-08-18,23.74,23.76,23.54,23.75,3124900,23.2858
2016-08-17,23.40,23.65,23.36,23.57,1564700,23.10932
2016-08-16,23.40,23.48,23.25,23.37,2679500,22.91323
2016-08-15,23.44,23.58,23.30,23.49,1994300,23.03089
2016-08-12,23.30,23.41,23.00,23.40,2806800,22.94264
2016-08-11,23.03,23.21,22.82,23.10,2032200,22.64851
2016-08-10,23.10,23.19,23.02,23.10,1692700,22.64851
2016-08-09,23.32,23.42,23.13,23.20,2849000,22.74655
2016-08-08,23.50,23.73,23.37,23.40,1953300,22.94264
2016-08-05,23.50,23.56,23.37,23.41,2021800,22.95245
2016-08-04,23.42,23.71,23.38,23.57,3829500,23.10932
2016-08-03,23.39,23.63,23.25,23.37,3231400,22.91323
2016-08-02,23.57,23.84,23.49,23.63,4134300,23.16815
2016-08-01,23.41,23.69,23.41,23.57,2229000,23.10932
2016-07-29,23.40,23.50,23.34,23.41,6434900,22.95245
2016-07-28,23.35,23.58,23.33,23.40,2858100,22.94264
2016-07-27,23.43,23.49,23.28,23.42,2847600,22.96225
2016-07-26,23.67,23.755,23.34,23.50,10403600,23.04069
2016-07-25,23.02,24.37,23.01,24.30,12350100,23.82505
2016-07-22,22.60,22.67,22.34,22.45,4290600,22.01121
2016-07-21,22.75,22.86,22.63,22.66,3663900,22.21711
2016-07-20,22.26,22.68,22.26,22.52,2805300,22.07985
2016-07-19,22.10,22.26,22.08,22.20,2528600,21.7661
2016-07-18,21.51,22.04,21.47,21.95,3246900,21.52099
2016-07-15,21.59,21.63,21.49,21.53,1974400,21.1092
2016-07-14,21.45,21.64,21.38,21.47,2103900,21.05037
2016-07-13,21.28,21.38,21.18,21.34,1996500,20.92291
2016-07-12,21.44,21.45,21.15,21.20,2466600,20.78565
2016-07-11,20.85,21.31,20.85,21.31,3200400,20.89349
2016-07-08,20.60,20.67,20.52,20.61,1800600,20.20718
2016-07-07,20.72,20.75,20.61,20.67,1992300,20.266
2016-07-06,20.50,20.57,20.30,20.50,2789300,20.09933
2016-07-05,20.85,20.88,20.57,20.62,1815300,20.21698
2016-07-04,20.74,20.84,20.61,20.82,1812400,20.41307
2016-07-01,20.75,20.88,20.66,20.74,2708700,20.33463
2016-06-30,20.85,21.00,20.74,20.89,4397500,20.4817
2016-06-29,20.75,20.90,20.71,20.72,3077800,20.31503
2016-06-28,20.38,20.71,20.35,20.63,3293800,20.22678
2016-06-27,20.46,20.745,20.38,20.68,2186000,20.27581
