Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,15.5,15.75,15.25,15.5625,2784800,3.2973760000000003
2000-01-04,14.75,14.8125,14.0,14.5,944000,3.072254
2000-01-05,14.625,16.1875,14.5,15.625,810400,3.3106190000000004
2000-01-06,16.0,17.125,15.3125,16.8125,2695200,3.5622260000000003
2000-01-07,16.8125,19.0,16.625,19.0,2543600,4.025713
2000-01-10,19.0,20.625,19.0,19.5,2534400,4.131652
2000-01-11,19.875,20.5,19.5625,20.125,2545200,4.2640769999999995
2000-01-12,20.125,20.125,19.625,20.125,1085600,4.2640769999999995
2000-01-13,20.125,23.8125,20.125,23.6875,2248000,5.018898
2000-01-14,23.0,23.3125,21.75,22.1875,2403200,4.701079
2000-01-18,21.25,21.9375,21.0,21.25,3676400,4.502441999999999
2000-01-19,21.25,21.5,21.0625,21.3125,1015200,4.515683999999999
2000-01-20,20.9375,21.0,20.0,20.1875,1674000,4.27732
2000-01-21,19.625,19.75,18.75,19.25,1384000,4.078683
2000-01-24,19.5,19.875,19.125,19.4375,857600,4.11841
2000-01-25,19.4375,19.4375,18.25,18.75,672400,3.972743
2000-01-26,18.75,18.75,17.875,18.125,621200,3.840318
2000-01-27,18.25,19.5,18.125,18.75,3402800,3.972743
2000-01-28,19.0,19.125,18.5625,18.75,1545200,3.972743
2000-01-31,18.75,18.8125,18.0625,18.125,588400,3.840318
2000-02-01,19.75,20.1875,18.375,18.6875,1546800,3.9595
2000-02-02,18.4375,19.125,18.4375,18.875,1564400,3.999228
2000-02-03,18.75,18.875,18.5,18.75,1324800,3.972743
2000-02-04,18.75,18.75,18.125,18.4375,707200,3.9065300000000005
2000-02-07,18.1875,18.375,18.125,18.3125,528000,3.8800449999999995
2000-02-08,18.375,18.375,17.75,17.875,696800,3.787348
2000-02-09,17.625,17.625,16.5,17.25,1449600,3.654923
2000-02-10,17.125,17.25,16.75,17.0625,602400,3.615196
2000-02-11,17.0625,17.0625,16.3125,16.5,580800,3.4960139999999997
2000-02-14,16.875,16.875,16.0,16.375,891600,3.469529
2000-02-15,16.375,16.375,15.6875,15.875,2719600,3.363589
2000-02-16,15.8125,16.0,15.75,15.9375,2016400,3.3768309999999997
2000-02-17,15.9375,16.75,15.8125,16.75,1334800,3.548983
2000-02-18,16.75,16.75,15.4375,15.6875,10545600,3.323861
2000-02-22,15.75,16.0,15.5625,15.75,1415600,3.337104
2000-02-23,15.75,15.75,15.375,15.5,662000,3.2841339999999994
2000-02-24,15.4375,15.4375,14.9375,15.0,1079200,3.178194
2000-02-25,14.6875,14.8125,13.75,14.0,1997600,2.9663150000000003
2000-02-28,14.0,14.5,13.75,14.5,2859200,3.072254
2000-02-29,14.5,14.625,14.4375,14.5625,3308000,3.085497
2000-03-01,14.625,15.125,14.5625,14.875,1371600,3.151709
2000-03-02,14.9375,15.0625,14.875,14.9375,1092800,3.164952
2000-03-03,14.875,14.9375,14.0,14.3125,1521200,3.032527
2000-03-06,14.5625,14.75,13.875,13.875,872400,2.9398299999999997
2000-03-07,14.0,14.0,12.8125,13.0625,1344000,2.767677
2000-03-08,13.0625,13.125,12.5,12.9375,1396400,2.741192
2000-03-09,12.9375,13.0625,12.75,13.0,1566800,2.754435
2000-03-10,12.9375,13.25,12.9375,13.0,1954400,2.754435
2000-03-13,13.0,13.1875,12.8125,12.875,967600,2.72795
2000-03-14,12.875,12.875,12.0,12.0,1350000,2.542555
2000-03-15,12.3125,13.9375,12.25,13.6875,2160400,2.900102
2000-03-16,13.75,16.3125,13.75,16.3125,1900400,3.456286
2000-03-17,16.125,16.3125,15.5,15.8125,844800,3.350346
2000-03-20,15.75,16.375,15.625,15.9375,473200,3.3768309999999997
2000-03-21,15.5625,16.0,14.875,16.0,2070000,3.390074
2000-03-22,16.9375,16.9375,16.0,16.0,855200,3.390074
2000-03-23,15.8125,15.875,15.0625,15.0625,1984800,3.191437
2000-03-24,15.0625,15.5,14.625,15.0,2371600,3.178194
2000-03-27,15.0,15.0625,14.75,14.9375,291600,3.164952
2000-03-28,14.8125,15.25,14.625,14.9375,1429600,3.164952
2000-03-29,15.0625,15.375,14.8125,15.0,493600,3.178194
2000-03-30,14.8125,14.875,14.1875,14.5,563200,3.072254
2000-03-31,14.5,15.625,14.4375,15.0,1780400,3.178194
2000-04-03,14.9375,15.125,14.625,14.625,908400,3.098739
2000-04-04,14.875,15.875,14.25,15.5625,2342800,3.2973760000000003
2000-04-05,15.4375,16.4375,15.3125,16.0625,1107600,3.4033160000000002
2000-04-06,16.125,18.0,16.125,16.8125,737200,3.5622260000000003
2000-04-07,16.8125,17.75,16.4375,16.75,731200,3.548983
2000-04-10,16.6875,16.875,15.5625,15.5625,379200,3.2973760000000003
2000-04-11,16.25,17.25,16.25,17.0625,638400,3.615196
2000-04-12,17.0,17.625,16.75,17.4375,551600,3.6946510000000004
2000-04-13,17.375,18.0,17.25,17.8125,645200,3.7741059999999997
2000-04-14,17.4375,17.5,17.0625,17.125,1051600,3.6284379999999996
2000-04-17,16.1875,17.375,16.0,17.375,664800,3.6814080000000002
2000-04-18,17.1875,18.25,17.0625,17.9375,484000,3.8005910000000003
2000-04-19,18.0625,18.5,17.8125,18.0625,790800,3.827075
2000-04-20,18.0625,18.4375,18.0625,18.0625,406000,3.827075
2000-04-24,18.0,18.0625,17.5,17.875,1112400,3.787348
2000-04-25,18.25,18.75,18.1875,18.6875,862800,3.9595
2000-04-26,18.5625,19.5,18.5625,19.0625,1542800,4.0389550000000005
2000-04-27,19.0625,19.5,18.6875,19.5,491200,4.131652
2000-04-28,19.625,20.0,19.4375,20.0,758800,4.237592
2000-05-01,20.0,20.0,19.125,19.5,856000,4.131652
2000-05-02,19.5,19.5,18.0625,18.0625,808000,3.827075
2000-05-03,18.3125,18.375,17.8125,18.0625,734000,3.827075
2000-05-04,18.1875,18.25,18.0,18.25,639600,3.866803
2000-05-05,18.25,19.0,18.0,19.0,628800,4.025713
2000-05-08,18.75,18.75,18.25,18.625,158400,3.9462580000000003
2000-05-09,18.75,18.8125,18.4375,18.625,348400,3.9462580000000003
2000-05-10,18.125,18.4375,17.625,18.1875,633200,3.85356
2000-05-11,18.1875,18.5,18.0625,18.1875,548400,3.85356
2000-05-12,18.1875,18.1875,17.6875,17.6875,957200,3.747621
2000-05-15,17.6875,18.5,17.6875,18.0,744000,3.8138330000000003
2000-05-16,17.9375,20.0,17.9375,20.0,2011600,4.237592
2000-05-17,19.875,20.0,19.75,19.8125,623600,4.197865
2000-05-18,19.5,20.25,19.5,20.0625,2219600,4.2508349999999995
2000-05-19,19.9375,22.375,19.9375,22.0,2964800,4.661351
2000-05-22,22.0,22.4375,21.25,21.875,2068800,4.634866000000001
2000-05-23,21.875,22.875,21.875,22.875,1631200,4.8467459999999996
2000-05-24,22.9375,26.0,22.875,25.5,5231600,5.4029300000000005
2000-05-25,25.375,25.9375,24.875,25.3125,3777200,5.3632029999999995
2000-05-26,25.3125,25.3125,24.75,24.875,1810800,5.270505
2000-05-30,24.5,25.5,24.5,24.9375,1235200,5.283748
