Date,Open,High,Low,Close,Volume,Adj Close
2005-08-11,16.25,16.55,16.0,16.2,76671500,2.808204
2005-08-12,16.25,18.0,16.25,17.93,29113500,3.108093
2005-08-15,17.75,17.85,17.26,17.3,10596500,2.998885
2005-08-16,16.900001,17.3,16.900001,17.15,5141000,2.9728830000000004
2005-08-17,17.15,17.2,16.799999,16.849999,6423500,2.9208790000000002
2005-08-18,16.950001,16.98,16.25,16.35,12727000,2.834206
2005-08-19,16.49,16.69,16.25,16.6,3029500,2.877543
2005-08-22,16.65,17.02,16.41,17.0,2909500,2.9468810000000003
2005-08-23,17.5,17.94,17.3,17.56,13466000,3.043955
2005-08-24,17.5,17.75,17.33,17.5,3083000,3.033554
2005-08-25,17.7,17.74,17.4,17.460001000000002,4667000,3.02662
2005-08-26,17.55,17.61,17.4,17.47,2704000,3.028354
2005-08-29,16.900001,17.180001,16.84,17.0,5458000,2.9468810000000003
2005-08-30,17.11,17.39,16.950001,17.029999,2581000,2.952081
2005-08-31,17.06,17.06,16.61,16.79,3004500,2.910478
2005-09-01,16.849999,16.849999,15.53,16.25,12468500,2.816872
2005-09-02,16.41,16.58,16.01,16.07,5748500,2.785669
2005-09-06,16.2,16.45,16.17,16.4,2726500,2.842874
2005-09-07,16.41,16.43,16.02,16.19,3643500,2.8064709999999997
2005-09-08,16.25,16.52,16.25,16.32,2558500,2.829006
2005-09-09,16.55,16.6,16.42,16.569999,2468500,2.8723419999999997
2005-09-12,16.45,16.52,16.01,16.09,3300500,2.789136
2005-09-13,16.12,16.12,15.700001,15.880001000000002,3798500,2.7527340000000002
2005-09-14,15.75,15.87,15.650001000000001,15.72,2055500,2.724998
2005-09-15,15.75,15.81,15.03,15.1,6004000,2.617524
2005-09-16,15.06,15.34,14.55,15.319999,9555000,2.6556599999999997
2005-09-19,15.25,15.95,15.190001,15.5,5559000,2.686862
2005-09-20,15.5,16.03,15.45,15.8,4178000,2.738866
