Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,40.0,40.0,38.875,39.125,1029600,7.396261999999999
2000-01-04,38.5,38.5,37.8125,37.8125,805600,7.1481449999999995
2000-01-05,37.5,37.75,37.0625,37.3125,809600,7.053624
2000-01-06,37.0,37.5,37.0,37.5,1070800,7.089069
2000-01-07,37.5625,38.0,37.1875,38.0,554800,7.18359
2000-01-10,38.25,39.875,38.0,39.6875,300800,7.502599000000001
2000-01-11,39.5,39.875,38.8125,39.0625,247600,7.384447
2000-01-12,39.125,39.875,39.0,39.375,482800,7.443523
2000-01-13,39.25,39.875,39.25,39.75,122800,7.514414
2000-01-14,39.5,40.125,39.4375,40.0,304000,7.561674000000001
2000-01-18,39.8125,40.0,39.625,39.6875,208000,7.502599000000001
2000-01-19,39.5625,40.9375,39.5,40.875,353200,7.727086
2000-01-20,40.8125,40.8125,40.1875,40.4375,262400,7.64438
2000-01-21,40.4062,40.4062,39.25,39.3125,538000,7.431708
2000-01-24,39.5,41.375,39.25,41.1875,606000,7.786161
2000-01-25,41.125,42.0625,40.1875,40.5,1126800,7.656194999999999
2000-01-26,40.875,40.875,39.5625,40.75,794800,7.703456
2000-01-27,40.75,40.75,39.875,39.9375,111600,7.549859
2000-01-28,39.875,41.5,39.75,41.5,488400,7.845236999999999
2000-01-31,41.0625,42.125,40.0,40.6875,376000,7.69164
2000-02-01,40.75,41.25,39.375,41.25,411200,7.797975999999999
2000-02-02,40.7812,43.0,40.5,42.5625,793600,8.046094
2000-02-03,42.5625,42.625,42.0,42.5,184000,8.034279
2000-02-04,42.5,43.0625,42.3125,42.8125,290400,8.093354
2000-02-07,42.625,43.5,42.046799,43.5,422400,8.223321
2000-02-08,43.5,45.25,43.4375,44.1875,686000,8.353287
2000-02-09,44.25,49.0,44.25,47.875,1471200,9.050379
2000-02-10,48.25,48.375,47.125,47.1875,696000,8.920411999999999
2000-02-11,47.625,47.625,43.5625,43.5625,972800,8.235136
2000-02-14,44.125,44.25,41.75,43.25,484400,8.176060000000001
2000-02-15,43.25,43.5,41.125,41.75,718000,7.8924970000000005
2000-02-16,42.25,42.875,42.234299,42.625,266800,8.057909
2000-02-17,42.7187,42.9375,41.875,42.125,282400,7.963388
2000-02-18,42.5,42.5,40.75,40.75,224000,7.703456
2000-02-22,40.625,42.125,40.0,41.5,488800,7.845236999999999
2000-02-23,44.5,46.25,43.875,44.6875,2728000,8.447808
2000-02-24,44.5,46.5,44.375,45.25,1463200,8.554144
2000-02-25,45.375,46.375,45.25,45.9062,938400,8.678192999999998
2000-02-28,46.0,50.125,45.5625,49.5,1347600,9.357572
2000-02-29,49.5,51.375,48.875,51.0,11688800,9.641135
2000-03-01,50.4062,50.5625,49.8125,50.25,3234000,9.499353
2000-03-02,50.375,50.4375,49.625,49.6562,2401600,9.3871
2000-03-03,50.0,50.046799,49.5625,49.625,1906000,9.381202
2000-03-06,49.6875,49.6875,49.5,49.5625,714800,9.384516
2000-03-07,49.5,50.9375,49.375,50.9375,859200,9.644867999999999
2000-03-08,50.375,51.875,50.375,50.875,812000,9.633034
2000-03-09,51.25,51.25,50.375,50.375,338400,9.53836
2000-03-10,50.375,50.4375,49.375,49.4375,488000,9.360847
2000-03-13,49.25,49.25,47.5,48.625,560400,9.207003
2000-03-14,48.625,48.875,43.375,46.0625,1622000,8.721801
2000-03-15,46.25,46.5,45.375,45.4375,2358400,8.603458999999999
2000-03-16,45.625,46.0,42.875,44.0625,1012400,8.343107
2000-03-17,42.2187,43.0625,41.6875,41.6875,960400,7.893407000000001
2000-03-20,43.375,43.5,40.0,40.125,976400,7.597553
2000-03-21,40.625,41.125,39.3125,41.0625,604800,7.775065
2000-03-22,41.5625,42.0625,41.125,42.0625,574800,7.964413
2000-03-23,42.0,42.25,41.6875,42.0625,1060000,7.964413
2000-03-24,42.5,42.5,42.0,42.0,573600,7.952578
2000-03-27,42.375,42.375,41.4375,41.875,228000,7.928910000000001
2000-03-28,41.9687,42.0625,41.875,41.875,491600,7.928910000000001
2000-03-29,41.875,42.125,40.25,40.5,425600,7.668558
2000-03-30,40.625,42.125,39.5,39.5625,551200,7.491045
2000-03-31,40.125,40.875,37.25,37.25,2133200,7.05318
2000-04-03,38.0,38.25,34.3125,35.0,711600,6.627149
2000-04-04,35.5625,43.375,35.0,40.375,3248000,7.644889
2000-04-05,39.75,41.375,38.75,39.375,2910400,7.4555419999999994
2000-04-06,39.5,42.125,39.0625,40.375,540000,7.644889
2000-04-07,41.0625,43.8125,40.625,43.4375,763200,8.224765
2000-04-10,42.875,44.0,41.6875,41.6875,771600,7.893407000000001
2000-04-11,41.5625,45.125,40.625,42.125,438400,7.976247
2000-04-12,42.125,46.25,42.125,46.0,639600,8.709967
2000-04-13,46.0,46.125,43.875,44.0625,713200,8.343107
2000-04-14,43.8125,43.8125,38.75,41.25,308400,7.810567999999999
2000-04-17,41.0,42.0,38.4375,41.3125,1004000,7.822402
2000-04-18,41.25,47.5,41.0625,45.0,1580400,8.52062
2000-04-19,45.6875,47.0,43.75,46.9062,599200,8.881553
2000-04-20,47.0,49.1875,45.9375,48.0,1030000,9.088661
2000-04-24,48.0,49.9375,47.4375,48.875,724400,9.25434
2000-04-25,49.25,49.5625,47.5,49.4375,299200,9.360847
2000-04-26,49.75,49.75,48.0,48.1875,256800,9.124164
2000-04-27,47.75,49.6875,46.75,49.25,384400,9.325345
2000-04-28,49.4375,50.125,48.875,50.0,654400,9.467355
2000-05-01,49.75,51.0,49.75,50.375,1045200,9.53836
2000-05-02,50.0,50.6875,49.75,50.625,547200,9.585697
2000-05-03,50.5,50.75,46.0,47.375,508400,8.970319
2000-05-04,48.125,50.75,47.5,48.375,1424400,9.159666
2000-05-05,48.625,52.25,48.375,51.875,1543600,9.822381
2000-05-08,52.1875,52.1875,50.75,51.625,564000,9.775044
2000-05-09,51.625,53.0,50.875,51.8125,1727600,9.810547
2000-05-10,52.0,52.75,51.25,51.4375,568400,9.739542
2000-05-11,51.5625,52.25,51.4375,51.75,902000,9.798713000000001
2000-05-12,51.75,52.375,51.5,51.7187,440400,9.792786
2000-05-15,51.5,51.6875,50.6875,51.6875,226400,9.786878
2000-05-16,51.75,52.5,48.75,48.75,477200,9.230671000000001
2000-05-17,49.125,49.1875,45.1875,45.6875,640000,8.650796000000001
2000-05-18,46.125,46.125,43.375,44.375,540000,8.402277999999999
2000-05-19,43.0,44.125,42.625,44.125,398400,8.354941
2000-05-22,43.5625,44.625,39.875,44.4375,872400,8.414112
2000-05-23,44.75,49.5625,42.5,47.625,1327200,9.017656
2000-05-24,47.125,48.0,46.390598,47.3125,495200,8.958485000000001
2000-05-25,48.3125,48.5,45.75,46.0,928400,8.709967
2000-05-26,45.875,46.75,45.8125,46.0,1017600,8.709967
2000-05-30,46.625,46.625,44.125,45.375,598000,8.591625
2000-05-31,45.375,46.4375,44.9375,44.9375,372800,8.508785000000001
2000-06-01,45.375,48.1875,45.25,47.8125,236800,9.053158
2000-06-02,48.375,48.75,46.0,46.0,400400,8.709967
2000-06-05,46.3125,46.375,44.0625,45.5625,732800,8.627127
2000-06-06,45.2812,46.3125,44.8125,45.0312,704000,8.526527
2000-06-07,45.25,45.375,44.5,44.875,718400,8.496951
2000-06-08,44.5,44.5,42.1875,43.125,973600,8.180177
2000-06-09,43.625,43.75,42.3125,43.2187,965600,8.19795
2000-06-12,43.5,47.875,43.3125,46.375,416000,8.796654
2000-06-13,46.25,47.0,45.5,46.875,314400,8.891496
2000-06-14,46.875,48.375,45.6875,47.0625,324800,8.927062
2000-06-15,47.0,47.25,45.4375,46.8125,409200,8.879641000000001
2000-06-16,47.125,49.75,46.8125,47.25,1404800,8.962628
2000-06-19,47.5,47.625,44.75,46.0,243200,8.725522
2000-06-20,46.125,46.125,44.0,44.0625,1064800,8.358007
2000-06-21,44.125,44.25,41.75,42.5,708400,8.061622999999999
2000-06-22,42.5625,43.125,41.5,41.5,769200,7.871938
2000-06-23,42.75,43.125,41.5,41.75,632000,7.919359
2000-06-26,42.0,42.375,40.875,41.75,790800,7.919359
2000-06-27,41.625,42.125,40.9375,41.5625,756800,7.883792999999999
2000-06-28,41.5,43.75,41.5,42.5,1437200,8.061622999999999
2000-06-29,42.625,43.0625,39.25,41.5625,1586800,7.883792999999999
2000-06-30,41.375,49.75,41.3125,49.5,4716800,9.38942
2000-07-03,47.5,47.9375,45.75,47.4375,699600,8.998194
2000-07-05,46.6875,48.375,46.6875,47.75,581200,9.057471000000001
2000-07-06,47.8125,47.9375,46.5,47.0,667200,8.915207
2000-07-07,46.875,48.125,46.6875,47.5,398000,9.01005
2000-07-10,48.0,50.125,47.125,50.0,1086800,9.484263
2000-07-11,49.8125,52.0625,49.625,51.5,1071200,9.768791
2000-07-12,51.75,53.375,50.0,53.1875,812800,10.088885000000001
2000-07-13,52.5625,53.125,51.625,53.125,645200,10.077029
2000-07-14,53.1875,54.359299,53.125,54.1875,728400,10.27857
2000-07-17,54.25,55.625,53.75,55.375,920800,10.503821
2000-07-18,55.0,56.25,54.25,55.625,969200,10.551242
2000-07-19,56.4375,56.5,52.75,53.25,1326800,10.10074
2000-07-20,53.625,56.5625,53.5,56.375,1752000,10.693506
2000-07-21,56.375,57.0625,55.9375,56.6875,823600,10.752783
2000-07-24,56.9375,56.9375,55.875,55.875,418400,10.598664
2000-07-25,56.375,57.875,56.125,57.0,815600,10.81206
2000-07-26,58.0,59.6875,57.0,59.6875,1732400,11.321839
2000-07-27,59.0,59.875,58.25,58.9375,1977200,11.179575
2000-07-28,59.0,60.0625,58.5625,59.9375,1161600,11.36926
2000-07-31,59.875,64.125,59.125,63.765598,1399200,12.095394
2000-08-01,63.5,63.5,59.0,59.8125,782800,11.345549
2000-08-02,60.125,60.75,57.625,58.5,1770400,11.096587
2000-08-03,57.75,58.25,56.125,58.0625,383200,11.0136
2000-08-04,58.375,58.375,56.75,57.8125,250800,10.966178999999999
2000-08-07,58.25,58.25,57.5,58.0625,343600,11.0136
2000-08-08,58.1875,58.25,56.5,56.765598,464400,10.767597
2000-08-09,57.5,58.375,56.75,58.125,424800,11.025455000000001
2000-08-10,58.375,60.25,58.0,59.125,812000,11.215141000000001
2000-08-11,59.4375,60.5,59.0,60.125,492800,11.404826
2000-08-14,60.25,60.25,59.5,60.125,458400,11.404826
2000-08-15,60.125,60.125,57.5,57.625,302400,10.930613000000001
2000-08-16,57.625,60.25,57.625,60.25,783200,11.428537
2000-08-17,60.0,61.0625,60.0,61.0625,179200,11.582656
2000-08-18,60.9062,61.5,60.375,61.125,908800,11.594511
2000-08-21,61.5,61.5,60.125,60.578098,1231200,11.490772
2000-08-22,60.0625,60.625,58.0,58.8125,352000,11.155864
2000-08-23,59.4375,59.875,56.5,57.75,383600,10.954323
2000-08-24,57.375,60.0,57.375,59.5,364000,11.286273
2000-08-25,59.5,61.875,59.0,61.75,1271200,11.713065
2000-08-28,61.375,61.75,59.0,59.0,210000,11.19143
2000-08-29,59.3125,59.75,58.75,59.375,280400,11.262561999999999
2000-08-30,59.125,59.5,58.75,59.3125,403600,11.250707
2000-08-31,59.5,59.5,59.125,59.1875,328400,11.226996
2000-09-01,59.4375,59.8125,58.3125,58.625,713600,11.120298
2000-09-05,58.75,59.0,58.125,58.1875,441200,11.037311
2000-09-06,58.125,59.0,57.875,58.1875,375600,11.052507
2000-09-07,58.125,59.25,58.125,58.75,208000,11.159352
2000-09-08,58.75,59.5,58.375,58.4375,576800,11.099994
2000-09-11,58.3125,58.3125,56.0,56.875,1453600,10.803202
2000-09-12,56.0,57.5,56.0,57.3125,199200,10.886303999999999
2000-09-13,57.625,59.5,57.25,59.0312,447600,11.212765
2000-09-14,59.0,59.875,58.875,59.5625,200400,11.313683000000001
2000-09-15,59.0,60.0,58.75,59.5,765200,11.301812
2000-09-18,59.625,59.625,55.1875,56.125,913200,10.660741999999999
2000-09-19,56.3125,56.75,55.75,56.1875,518800,10.672614
2000-09-20,56.625,57.0,56.125,56.5,585200,10.731972
2000-09-21,57.25,60.375,56.875,58.25,852000,11.064378999999999
2000-09-22,58.25,58.25,57.375,57.8125,330800,10.981277
2000-09-25,57.5,57.8125,57.3125,57.625,253200,10.945661999999999
2000-09-26,57.8125,57.8125,54.625,56.3125,1178000,10.696357
2000-09-27,56.5625,56.5625,55.25,55.640598,180800,10.568732
2000-09-28,55.25,56.75,54.765598,56.5625,408400,10.743844000000001
2000-09-29,57.0,57.0,54.5625,56.359299,422400,10.705247
2000-10-02,55.875,56.0,53.4375,53.5625,510000,10.174005000000001
2000-10-03,54.125,54.375,52.1875,52.5,800800,9.972187
2000-10-04,52.5,56.0,52.4375,54.9375,628800,10.435181
2000-10-05,54.25,55.25,54.25,54.8125,191600,10.411438
2000-10-06,55.8125,55.8125,51.5,52.8125,469600,10.031545
2000-10-09,52.484299,52.5,44.625,47.9375,3203200,9.105556
2000-10-10,49.0937,53.3125,48.0625,52.625,1730000,9.99593
2000-10-11,54.3125,55.375,53.5,54.1875,688000,10.292721
2000-10-12,54.5,54.9375,52.875,53.3125,738000,10.126517999999999
2000-10-13,52.75,55.75,52.75,55.625,679200,10.565769
2000-10-16,55.0,58.0625,54.625,56.5,409600,10.731972
2000-10-17,55.875,56.75,54.875,56.0,740800,10.636999000000001
2000-10-18,54.6875,54.75,50.1875,51.125,2998400,9.71101
2000-10-19,51.0625,53.0625,50.625,50.640598,1301200,9.619
2000-10-20,50.734299,52.359299,50.734299,52.0,1051600,9.877213000000001
2000-10-23,52.125,52.875,51.0625,51.0625,238000,9.699139
2000-10-24,51.5,51.875,50.875,51.234299,423200,9.731771
2000-10-25,51.5,52.75,51.25,51.625,342400,9.805984
2000-10-26,51.75,56.75,51.75,56.75,591200,10.779459
2000-10-27,57.484299,57.5,54.75,55.578098,390800,10.55686
2000-10-30,55.0,55.75,54.5,55.0625,672000,10.458924
2000-10-31,55.0,56.125,54.5,54.6875,523200,10.387694
2000-11-01,55.125,55.875,55.0625,55.5625,394000,10.553898
2000-11-02,54.5,56.0625,54.5,56.0,569600,10.636999000000001
2000-11-03,56.125,56.25,54.5625,54.875,477600,10.423309
2000-11-06,54.875,56.0,54.875,54.875,436800,10.423309
2000-11-07,55.375,55.4375,53.125,54.0,337600,10.257106
2000-11-08,54.1875,56.0,53.1875,55.0,820800,10.447053
2000-11-09,55.234299,55.25,54.375,54.875,687200,10.423309
2000-11-10,55.0,55.0,53.0,53.1875,346000,10.102775
2000-11-13,53.125,54.0,52.625,53.6875,371600,10.197747999999999
2000-11-14,54.5,55.5625,54.5,54.875,1054800,10.423309
2000-11-15,54.875,55.875,54.5,55.375,930400,10.518283
2000-11-16,55.5,58.0,54.25,55.625,723200,10.565769
2000-11-17,56.5,58.375,56.375,56.75,460000,10.779459
2000-11-20,56.859299,59.0,56.5,57.0,578000,10.826946000000001
2000-11-21,58.0,58.25,57.0,58.125,986800,11.040635
2000-11-22,57.4375,60.0,57.0625,60.0,1314400,11.396785000000001
2000-11-24,59.875,60.5,59.25,60.5,423600,11.491758
2000-11-27,60.484299,61.9375,60.484299,61.0625,744800,11.598603
2000-11-28,60.25,61.375,58.75,59.5625,496000,11.313683000000001
2000-11-29,59.390598,60.0625,58.3125,58.9375,501600,11.194967
2000-11-30,58.515598,60.0625,55.75,56.625,700400,10.755716
2000-12-01,56.375,58.25,56.375,58.25,473600,11.064378999999999
2000-12-04,29.734301000000002,30.625,28.5625,30.1875,341200,11.468015
2000-12-05,30.609301000000002,31.25,30.0,30.1875,480200,11.468015
2000-12-06,30.875,31.375,30.5,30.875,407800,11.74865
2000-12-07,30.625,32.375,30.625,31.875,731600,12.129173
2000-12-08,31.796801000000002,32.875,31.75,32.5,2229200,12.367
2000-12-11,32.6875,32.75,31.8125,32.5,1092800,12.367
2000-12-12,32.140598,32.1875,30.125,30.375,980600,11.558389
2000-12-13,31.125,31.5,28.875,29.4375,705800,11.201647999999999
2000-12-14,29.3437,29.9375,29.0,29.375,358200,11.177866
2000-12-15,28.6875,29.625,27.0,27.5,2177800,10.464385
2000-12-18,27.5,30.0,27.4375,29.5625,652600,11.249214
2000-12-19,29.875,30.9375,29.5,29.9375,474000,11.391910000000001
