Date,Open,High,Low,Close,Volume,Adj Close
2000-10-06,20.375,20.625,18.75,19.5,7776800,2.008445
2000-10-09,19.4375,19.4375,18.125,18.125,2759200,1.866823
2000-10-10,18.0,19.0,18.0,18.375,2257600,1.892573
2000-10-11,18.3125,18.3125,17.625,17.75,3709600,1.8281990000000001
2000-10-12,17.5,17.5,16.0,16.875,4552000,1.738077
2000-10-13,16.625,17.25,16.5,17.25,1595200,1.7767009999999999
2000-10-16,17.25,17.5,17.125,17.3125,1236800,1.7831380000000001
2000-10-17,17.25,18.625,17.25,18.375,620000,1.892573
2000-10-18,18.25,18.375,17.375,17.4375,1392000,1.796013
2000-10-19,17.5625,17.625,17.0,17.0625,1219200,1.7573889999999999
2000-10-20,17.1875,17.1875,16.875,17.0,1064800,1.750952
2000-10-23,17.0,17.0,16.75,16.75,1488800,1.7252020000000001
2000-10-24,17.0,17.5,16.9375,17.5,533600,1.80245
2000-10-25,17.5,18.75,17.375,18.25,1664000,1.8796979999999999
2000-10-26,18.125,18.125,17.625,18.125,338400,1.866823
2000-10-27,18.3125,19.625,18.1875,19.5,400000,2.008445
2000-10-30,19.3125,21.5,19.25,21.5,741600,2.214439
2000-10-31,22.5,24.25,22.5,23.375,3561600,2.4075580000000003
2000-11-01,23.125,23.4375,22.375,23.1875,2935200,2.3882470000000002
2000-11-02,23.3125,24.125,23.125,23.875,914400,2.459057
2000-11-03,23.625,25.25,23.0,25.25,2640800,2.600678
2000-11-06,25.25,25.25,24.0,24.0625,677600,2.478369
2000-11-07,24.0,24.0,23.125,23.75,866400,2.446182
2000-11-08,22.25,24.0,21.625,24.0,2896000,2.471932
2000-11-09,24.0,24.25,23.375,23.9375,1449600,2.465494
2000-11-10,23.875,25.0,23.875,24.75,368000,2.54918
2000-11-13,24.5,24.5,22.0,22.125,726400,2.278812
2000-11-14,22.0,22.75,21.25,22.75,1000800,2.343185
2000-11-15,22.875,23.25,22.4375,23.0,736800,2.368935
2000-11-16,22.875,23.0,22.875,22.9375,72800,2.3624970000000003
2000-11-17,23.125,23.375,22.8125,23.375,272800,2.4075580000000003
2000-11-20,23.25,23.25,22.0,22.75,264800,2.343185
2000-11-21,22.6875,22.75,22.5625,22.625,712800,2.330311
2000-11-22,22.75,23.0,22.5,23.0,404000,2.368935
2000-11-24,23.0,23.0,22.9375,23.0,242400,2.368935
2000-11-27,23.25,23.8125,23.0,23.75,833600,2.446182
2000-11-28,23.5625,24.1875,23.5,23.5,1260800,2.420433
2000-11-29,23.25,23.25,22.0,22.25,128000,2.291687
2000-11-30,22.0,22.125,21.75,22.125,688000,2.278812
2000-12-01,21.875,22.0,21.5,22.0,416800,2.265937
2000-12-04,21.875,23.125,21.875,23.125,1025600,2.381809
2000-12-05,23.125,23.125,22.25,22.25,1095200,2.291687
2000-12-06,22.125,23.1875,22.125,23.0625,408800,2.375372
2000-12-07,23.3125,24.5,23.3125,24.0,440000,2.471932
2000-12-08,24.25,25.75,24.0625,25.375,424800,2.613553
2000-12-11,25.375,26.0,25.25,25.8125,264800,2.658614
2000-12-12,25.3125,25.75,24.875,24.9375,470400,2.568492
2000-12-13,24.8125,24.8125,24.0,24.0,324000,2.471932
2000-12-14,24.0,24.0,20.125,21.0625,1654400,2.169378
2000-12-15,21.125,21.125,21.0,21.0625,32800,2.169378
2000-12-18,21.25,21.3125,20.125,20.625,369600,2.124316
2000-12-19,20.5625,20.75,20.375,20.75,316800,2.137191
2000-12-20,20.6875,20.6875,20.125,20.25,838400,2.085692
2000-12-21,20.375,21.0,20.25,21.0,652000,2.1629400000000003
2000-12-22,21.0,22.5,21.0,22.375,232000,2.304561
2000-12-26,22.4375,24.0,22.4375,23.5,272000,2.420433
2000-12-27,24.0,25.0,24.0,25.0,406400,2.574929
2000-12-28,25.0,28.625,25.0,28.25,1199200,2.90967
2000-12-29,28.25,29.375,28.25,28.75,590400,2.9611680000000002
2001-01-02,28.625,29.0,26.0,26.125,1202400,2.690801
2001-01-03,26.0,26.25,25.75,26.0625,487200,2.6843630000000003
2001-01-04,26.0,26.0,24.9375,25.0,1032000,2.574929
2001-01-05,24.875,25.0,24.375,24.375,274400,2.5105560000000002
2001-01-08,24.25,24.25,22.0,22.4375,480000,2.3109990000000002
2001-01-09,23.0,23.625,22.8125,23.25,709600,2.394684
2001-01-10,25.25,26.375,24.875,25.125,2014400,2.587803
2001-01-11,25.25,27.375,25.25,27.25,760000,2.8066720000000003
2001-01-12,27.0,27.5,26.625,26.625,578400,2.742299
2001-01-16,26.375,28.75,26.375,28.4375,269600,2.928982
2001-01-17,28.4375,30.5,28.25,29.0,1263200,2.986917
2001-01-18,29.0,30.1875,29.0,30.0,450400,3.089915
2001-01-19,30.5,30.5,30.0,30.375,424800,3.128539
2001-01-22,30.4375,31.625,30.4375,31.0,2515200,3.1929119999999998
2001-01-23,32.0,32.5,30.875,31.0,2376000,3.1929119999999998
2001-01-24,30.9375,30.9375,29.75,30.75,4156800,3.167162
2001-01-25,30.6875,30.75,30.125,30.25,5560000,3.1156639999999998
2001-01-26,30.25,30.5,30.25,30.5,2942400,3.141413
2001-01-29,30.620001000000002,31.48,30.51,30.98,936800,3.190852
2001-01-30,30.98,31.6,30.950001,31.35,1567200,3.228961
2001-01-31,31.6,34.0,31.6,33.75,3824800,3.476154
2001-02-01,33.799999,36.299999,33.700001,35.630001,2373600,3.6697889999999997
2001-02-02,36.400002,38.400002,35.849998,36.0,3716800,3.707898
2001-02-05,35.900002,36.0,34.82,35.18,2656800,3.62344
2001-02-06,35.0,35.200001,34.0,34.119999,3628000,3.5142629999999997
2001-02-07,34.0,36.200001,34.0,34.25,1839200,3.527653
2001-02-08,34.240002000000004,34.349998,33.5,33.799999,2738400,3.481304
2001-02-09,33.900002,34.099998,33.529999,33.75,856000,3.476154
2001-02-12,33.75,33.75,32.549999,32.799999,436800,3.378307
2001-02-13,32.849998,33.720001,32.799999,32.799999,660000,3.378307
2001-02-14,32.810001,33.950001,32.810001,33.950001,1584800,3.496753
2001-02-15,35.0,35.599998,34.25,34.25,696800,3.527653
2001-02-16,34.16,34.299999,33.950001,34.049999,158400,3.507053
2001-02-20,34.380001,34.5,33.75,33.849998,632000,3.486454
2001-02-21,35.799999,35.799999,34.450001,34.59,1096800,3.562672
2001-02-22,33.0,34.0,33.0,34.0,620800,3.501903
2001-02-23,33.75,33.759997999999996,33.0,33.0,1180000,3.3989059999999998
2001-02-26,33.009997999999996,33.279999,32.75,32.950001,2472000,3.3937559999999998
2001-02-27,32.75,32.84,32.439999,32.450001,882400,3.342258
2001-02-28,32.549999,32.549999,30.139999,30.139999,609600,3.104334
2001-03-01,30.01,30.02,28.0,28.5,1388000,2.935419
2001-03-02,28.4,28.4,27.549999,27.92,503200,2.875681
2001-03-05,27.92,28.1,27.92,28.030001000000002,455200,2.88701
2001-03-06,27.200001,27.200001,26.25,26.4,5880000,2.719125
2001-03-07,26.4,26.75,26.4,26.690001000000002,2145600,2.7489939999999997
2001-03-08,26.65,28.200001,26.65,28.1,2920800,2.8942200000000002
2001-03-09,28.5,28.5,28.200001,28.209999,1976000,2.90555
2001-03-12,28.15,28.450001,28.049999,28.16,1716800,2.9004
2001-03-13,28.049999,28.059998999999998,27.25,27.799999,1292800,2.863321
2001-03-14,27.0,27.549999,27.0,27.299999,1640000,2.8118220000000003
2001-03-15,27.25,27.5,26.549999,27.200001,6079200,2.801523
2001-03-16,27.1,27.379998999999998,27.1,27.27,669600,2.808732
2001-03-19,27.25,27.940001000000002,27.25,27.940001000000002,2302400,2.877741
2001-03-20,27.940001000000002,28.200001,27.940001000000002,28.01,4213600,2.88495
2001-03-21,27.25,27.58,27.25,27.5,974400,2.832422
2001-03-22,27.51,27.51,26.24,26.82,2184800,2.762384
2001-03-23,26.83,27.4,26.83,27.4,1296800,2.8221220000000002
2001-03-26,27.4,27.4,26.9,27.0,2141600,2.780923
2001-03-27,27.02,27.02,26.799999,27.0,3907200,2.780923
2001-03-28,27.969998999999998,27.969998999999998,27.5,27.629998999999998,4691200,2.845811
2001-03-29,27.639999,28.299999,27.6,28.25,5948000,2.90967
2001-03-30,28.25,29.25,28.01,28.91,3380800,2.977648
2001-04-02,28.799999,28.799999,27.91,28.0,3791200,2.8839200000000003
2001-04-03,28.0,28.0,27.200001,27.549999,4797600,2.837572
2001-04-04,27.950001,29.700001,27.950001,28.49,25472800,2.934389
2001-04-05,28.1,28.75,27.049999,28.75,28403200,2.9611680000000002
2001-04-06,28.74,28.74,27.74,28.049999,9994400,2.8890700000000002
2001-04-09,28.200001,28.5,28.0,28.25,3430400,2.90967
2001-04-10,28.219998999999998,28.65,27.799999,28.0,3284800,2.8839200000000003
2001-04-11,27.85,27.860001,25.049999,25.049999,3432000,2.580079
2001-04-12,25.049999,25.620001000000002,24.65,25.450001,5520000,2.6212779999999998
2001-04-16,25.549999,25.99,25.0,25.5,1620000,2.626427
2001-04-17,25.0,25.01,23.42,23.799999,12680000,2.451332
2001-04-18,23.799999,25.85,23.799999,25.25,10092800,2.600678
2001-04-19,25.700001,25.879998999999998,23.5,23.76,9121600,2.447212
2001-04-20,23.76,23.76,23.059998999999998,23.59,5872000,2.429703
2001-04-23,23.83,24.6,23.610001,24.0,11970400,2.471932
2001-04-24,26.049999,27.59,26.049999,26.620001000000002,17843200,2.741784
2001-04-25,26.620001000000002,30.0,26.620001000000002,29.52,17748000,3.040476
2001-04-26,29.5,30.110001,28.6,29.0,4340800,2.986917
2001-04-27,29.0,30.4,28.799999,30.299999,2013600,3.1208139999999998
2001-04-30,30.299999,32.450001,30.299999,32.439999,5860800,3.341228
2001-05-01,32.75,34.5,32.700001,34.299999,7440800,3.5328019999999998
2001-05-02,34.049999,35.189999,33.549999,34.75,8204000,3.5791510000000004
2001-05-03,34.700001,34.700001,31.65,31.799999,5105600,3.275309
2001-05-04,31.5,32.18,30.6,31.9,5235200,3.2856089999999996
2001-05-07,31.75,31.950001,31.299999,31.48,6393600,3.24235
2001-05-08,31.4,32.240002000000004,31.219998999999998,31.4,3772800,3.234111
2001-05-09,31.5,31.950001,31.5,31.799999,7036000,3.275309
2001-05-10,31.700001,32.689999,31.700001,32.07,2581600,3.303119
2001-05-11,32.200001,32.380001,31.549999,32.110001000000004,3056800,3.307239
2001-05-14,32.02,34.0,32.02,33.950001,3224800,3.496753
2001-05-15,33.959998999999996,35.299999,33.889998999999996,35.02,4774400,3.60696
2001-05-16,34.799999,36.66,34.799999,36.5,7289600,3.7593959999999997
2001-05-17,36.75,36.75,35.5,36.099998,4332000,3.718197
2001-05-18,36.0,36.0,34.759997999999996,35.0,1802400,3.6049
2001-05-21,35.25,36.98,35.200001,36.599998,2070400,3.7696959999999997
2001-05-22,36.650002,37.25,35.860001000000004,36.830002,3612800,3.793385
2001-05-23,36.830002,36.849998,36.080002,36.25,5021600,3.733647
2001-05-24,36.299999,36.5,36.16,36.450001,1200800,3.7542459999999997
2001-05-25,36.450001,37.0,36.450001,36.75,3122400,3.7851449999999995
2001-05-29,36.75,36.75,35.799999,36.02,4305600,3.7099580000000003
2001-05-30,36.0,36.349998,35.75,36.02,1851200,3.7099580000000003
2001-05-31,36.02,36.18,34.919998,35.049999,4641600,3.61005
2001-06-01,35.049999,36.0,35.049999,35.5,4426400,3.656399
2001-06-04,35.5,35.98,35.0,35.299999,1789600,3.635799
2001-06-05,35.5,36.380001,35.360001000000004,35.900002,2904800,3.697598
2001-06-06,35.91,36.099998,34.799999,35.02,2140000,3.60696
2001-06-07,34.77,35.200001,34.349998,35.16,2916000,3.6213800000000003
2001-06-08,35.66,36.0,35.66,35.889998999999996,3640800,3.696568
2001-06-11,35.900002,36.599998,35.639998999999996,35.759997999999996,2740000,3.683178
2001-06-12,36.0,36.0,35.029999,35.98,3774400,3.7058379999999995
2001-06-13,36.400002,37.799999,36.299999,37.049999,6325600,3.816044
2001-06-14,37.099998,37.150002,35.349998,35.689999,1756000,3.675968
2001-06-15,35.650002,35.700001,33.150002,34.959998999999996,3108800,3.6007800000000003
2001-06-18,35.299999,35.5,34.57,35.009997999999996,2198400,3.6059300000000003
2001-06-19,35.200001,36.25,35.099998,35.25,1117600,3.63065
2001-06-20,35.349998,35.849998,34.52,35.25,2042400,3.63065
2001-06-21,35.18,37.400002,35.18,37.25,2535200,3.836644
2001-06-22,37.240002000000004,37.259997999999996,36.0,36.599998,1374400,3.7696959999999997
2001-06-25,36.5,36.68,36.060001,36.41,1590400,3.7501260000000003
2001-06-26,36.259997999999996,39.349998,36.119999,37.970001,3476800,3.910802
2001-06-27,38.220001,38.880001,38.150002,38.490002000000004,5855200,3.9643610000000002
2001-06-28,39.0,39.790001000000004,38.150002,38.400002,3834400,3.9550910000000004
2001-06-29,38.650002,39.150002,37.299999,38.049999,7129600,3.9190419999999997
2001-07-02,38.200001,38.299999,37.599998,37.650002,3320000,3.877843
2001-07-03,37.5,38.919998,37.450001,38.549999,1352800,3.97054
2001-07-05,37.799999,38.080002,35.68,35.68,2525600,3.6749379999999996
2001-07-06,35.509997999999996,35.630001,31.76,35.02,7346400,3.60696
2001-07-09,35.049999,36.68,35.049999,36.68,5735200,3.777936
2001-07-10,36.68,37.900002,36.68,37.900002,5926400,3.9035919999999997
2001-07-11,37.900002,40.5,37.25,40.5,6111200,4.171385
2001-07-12,41.32,41.5,40.799999,41.5,8627200,4.274382
2001-07-13,41.25,41.25,39.299999,40.0,1928800,4.119886
2001-07-16,39.700001,41.369999,39.700001,40.970001,3047200,4.219794
2001-07-17,41.099998,42.75,40.849998,42.200001,3805600,4.346480000000001
2001-07-18,41.950001,41.98,41.049999,41.25,4532800,4.248633
2001-07-19,41.34,41.970001,40.700001,40.919998,3206400,4.214643
2001-07-20,40.799999,40.950001,39.599998,40.599998,904000,4.181684
2001-07-23,40.599998,40.98,39.209998999999996,39.209998999999996,1695200,4.038518
2001-07-24,39.259997999999996,40.349998,37.009997999999996,37.98,2984000,3.911832
2001-07-25,37.5,39.98,36.75,39.75,2112800,4.094137
2001-07-26,39.799999,41.5,39.650002,41.099998,7313600,4.233183
2001-07-27,41.150002,41.150002,38.799999,38.799999,2897600,3.996289
2001-07-30,39.049999,39.450001,38.299999,39.200001,3790400,4.037489
2001-07-31,39.049999,39.060001,37.299999,37.77,10376800,3.890203
2001-08-01,37.720001,38.75,36.0,36.400002,6897600,3.749097
2001-08-02,36.299999,37.75,36.220001,37.75,3233600,3.888143
2001-08-03,37.700001,39.0,36.349998,37.150002,2589600,3.826344
2001-08-06,37.349998,37.349998,35.150002,35.650002,1598400,3.671849
2001-08-07,35.650002,36.240002000000004,35.200001,36.060001,2730400,3.7140779999999998
2001-08-08,36.150002,36.950001,36.02,36.25,1676800,3.733647
2001-08-09,36.200001,36.98,35.799999,36.82,736000,3.792355
2001-08-10,36.82,36.849998,35.599998,35.599998,1597600,3.666699
2001-08-13,35.599998,35.599998,34.34,35.0,968800,3.6049
2001-08-14,35.25,36.130001,35.150002,35.950001,598400,3.702748
2001-08-15,35.849998,35.880001,34.849998,35.0,1158400,3.6049
2001-08-16,34.759997999999996,35.23,34.349998,35.150002,2407200,3.62035
2001-08-17,35.099998,35.099998,33.549999,33.650002,1864800,3.465854
2001-08-20,33.25,33.650002,32.209998999999996,33.119999,3686400,3.4112660000000004
2001-08-21,34.25,36.200001,33.709998999999996,34.040001000000004,6105600,3.5060230000000003
2001-08-22,34.16,35.200001,34.0,35.0,1044000,3.6049
2001-08-23,34.700001,35.580002,34.380001,35.200001,1724000,3.6255
2001-08-24,35.200001,35.98,34.650002,35.349998,871200,3.640949
2001-08-27,35.549999,37.630001,35.549999,36.799999,1085600,3.7902949999999995
2001-08-28,36.77,36.790001000000004,35.0,36.009997999999996,1589600,3.7089269999999996
2001-08-29,36.25,36.25,35.82,36.009997999999996,1313600,3.7089269999999996
2001-08-30,36.0,36.080002,35.450001,35.900002,2131200,3.697598
2001-08-31,36.0,37.0,36.0,36.299999,1248000,3.738797
2001-09-04,36.310001,36.549999,36.009997999999996,36.09,2128000,3.717167
2001-09-05,36.450001,37.240002000000004,36.0,37.0,1276000,3.810895
2001-09-06,37.200001,37.200001,34.799999,35.32,1308000,3.6378589999999997
2001-09-07,35.07,35.07,33.860001000000004,34.150002,1732000,3.517353
2001-09-10,33.650002,33.98,33.119999,33.200001,1718400,3.4195059999999997
2001-09-17,23.5,27.51,23.5,25.35,10522400,2.610978
