Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,50.4375,51.25,48.5625,49.5625,1619000,20.767404
2000-01-04,49.25,49.25,48.5,48.6875,966000,20.400766
2000-01-05,48.125,48.625,46.5,47.046799,952200,19.713289000000003
2000-01-06,47.0,48.5625,46.9375,48.4375,925400,20.296013000000002
2000-01-07,48.6875,50.1875,48.5,50.125,763800,21.0031
2000-01-10,51.25,51.875,50.625,51.75,757200,21.683998000000003
2000-01-11,51.0,51.1875,49.125,50.4375,1092200,21.134042
2000-01-12,50.4375,51.125,49.375,50.1875,1190400,21.029288
2000-01-13,50.1875,50.9375,49.75,50.375,866800,21.107853
2000-01-14,50.375,52.6875,50.375,52.6875,1422600,22.076824
2000-01-18,52.0,54.0,51.625,53.1875,1564400,22.286331
2000-01-19,53.1875,54.0,52.125,53.6875,893000,22.495838
2000-01-20,53.75,54.125,53.0625,53.6875,1044200,22.495838
2000-01-21,53.4375,55.5,52.875,53.5,1159600,22.417273
2000-01-24,54.125,55.875,53.5625,54.0,1682600,22.626781
2000-01-25,54.25,55.375,53.1875,54.125,796400,22.679157
2000-01-26,54.0,55.625,53.5,55.25,953600,23.150548999999998
2000-01-27,55.0,55.1875,51.625,53.1875,1138200,22.286331
2000-01-28,53.0625,53.125,51.4375,51.9375,1344200,21.762563
2000-01-31,51.0,51.9375,49.5,51.125,2393400,21.422114
2000-02-01,51.75,51.9375,50.75,51.75,1458800,21.683998000000003
2000-02-02,51.75,53.9375,50.6875,51.4375,1098200,21.553055999999998
2000-02-03,51.5,53.125,51.4375,51.8125,669600,21.710186
2000-02-04,51.875,52.1875,50.75,50.8125,261200,21.291172
2000-02-07,50.875,50.875,49.1875,50.375,815400,21.107853
2000-02-08,50.0,50.0625,49.0,50.0,1382000,20.950723
2000-02-09,51.0,51.0,48.25,50.4375,913400,21.134042
2000-02-10,50.0,50.3125,49.0,49.875,1710600,20.898346
2000-02-11,50.0,50.125,49.0625,49.75,1317600,20.845969
2000-02-14,49.875,49.875,48.6875,49.375,468200,20.688839
2000-02-15,49.125,50.3125,48.75,49.9375,614800,20.924534
2000-02-16,50.5,51.375,49.4375,49.9375,401800,20.924534
2000-02-17,50.125,51.4375,49.875,51.0,704800,21.369737
2000-02-18,51.0625,51.375,50.875,51.125,718200,21.422114
2000-02-22,50.875,51.625,49.875,51.625,541000,21.631621
2000-02-23,51.625,51.625,50.625,51.0,506600,21.369737
2000-02-24,51.375,51.375,46.8125,48.375,930800,20.269824
2000-02-25,47.875,47.875,46.0625,46.4375,588800,19.457984
2000-02-28,46.1875,47.0,41.5,45.9375,2444200,19.248476
2000-02-29,46.25,46.5625,42.5625,43.375,1811000,18.174751999999998
2000-03-01,45.0,45.5,44.25,45.0,2103400,18.85565
2000-03-02,44.75,46.0,44.3125,44.5625,1237800,18.672332
2000-03-03,45.125,46.0625,44.9375,45.75,783000,19.169911
2000-03-06,46.0,46.375,44.75,45.0625,991000,18.881839000000003
2000-03-07,42.625,42.625,38.125,41.25,3292000,17.284346
2000-03-08,41.75,42.25,40.0,42.125,2600600,17.650984
2000-03-09,42.3125,43.125,41.25,43.0,704600,18.017622
2000-03-10,44.25,44.25,39.75,40.0,2179600,16.760578
2000-03-13,39.5,41.0,39.125,40.25,1294800,16.865332000000002
2000-03-14,40.6875,41.625,40.0625,40.5625,1317600,17.017414000000002
2000-03-15,40.625,45.0625,40.0625,45.0,1352000,18.879104
2000-03-16,45.0,47.9375,42.875,47.1875,1331000,19.796838
2000-03-17,47.1875,47.1875,44.0,44.9375,878600,18.852883
2000-03-20,44.25,45.625,43.0625,44.625,1322400,18.721778
2000-03-21,46.375,46.625,45.625,46.5,1133400,19.508407000000002
2000-03-22,46.875,48.875,46.5625,48.5,2251200,20.347478
2000-03-23,48.5,50.625,47.875,50.375,1509000,21.134107999999998
2000-03-24,50.4375,50.75,46.875,48.5,961800,20.347478
2000-03-27,48.5,48.5,44.5625,45.75,1468800,19.193755
2000-03-28,45.75,48.6875,43.5625,48.5,2732000,20.347478
2000-03-29,48.5,49.125,47.9375,49.0,2154400,20.557246
2000-03-30,49.0,51.0625,49.0,50.5,1788400,21.18655
2000-03-31,52.375,53.25,50.0,50.0625,2445600,21.003003
2000-04-03,50.0625,52.375,50.0625,50.6875,991800,21.265213
2000-04-04,50.5,52.3125,49.1875,50.6875,1592600,21.265213
2000-04-05,50.8125,53.8125,50.8125,52.75,2084000,22.130505
2000-04-06,52.5625,52.8125,51.0,52.625,1964600,22.078063
2000-04-07,53.0,53.5,52.3125,53.3125,963400,22.366494
2000-04-10,53.5,54.3125,53.0,53.6875,905600,22.52382
2000-04-11,53.6875,53.6875,51.0,51.375,2417000,21.553643
2000-04-12,51.625,52.375,48.8125,51.3125,2470600,21.527422
2000-04-13,50.5625,53.0625,50.25,51.9375,1335800,21.789632
2000-04-14,50.0,50.0,47.0,47.0,1813800,19.718175
2000-04-17,46.625,48.375,45.9375,48.375,3380600,20.295036
2000-04-18,48.3125,48.375,46.25,47.0,1437200,19.718175
2000-04-19,46.5,46.75,46.0,46.375,1300800,19.455965
2000-04-20,46.5,47.0625,46.375,46.625,388800,19.560848999999997
2000-04-24,46.0,46.25,45.0625,45.625,932600,19.141313
2000-04-25,45.5625,45.5625,43.25,43.6875,2304000,18.328463
2000-04-26,43.875,43.875,42.1875,42.1875,2658000,17.69916
2000-04-27,42.1875,43.25,41.3125,42.4375,2169000,17.804044
2000-04-28,42.5625,44.25,41.8125,44.1875,1394600,18.538231
2000-05-01,44.0,44.75,43.1875,43.5,829800,18.2498
2000-05-02,43.5625,45.375,43.375,44.375,1383600,18.616894
2000-05-03,44.75,45.4375,43.3125,43.375,1357800,18.197357999999998
2000-05-04,43.5,43.5625,42.5625,43.0625,1121800,18.066253
2000-05-05,42.875,43.375,41.125,43.0625,1449200,18.066253
2000-05-08,42.5,43.125,42.5,42.8125,555200,17.961369
2000-05-09,42.75,43.5625,42.1875,43.0625,1677200,18.066253
2000-05-10,43.25,45.6875,43.1875,44.5,1331800,18.669335999999998
2000-05-11,44.5,46.625,44.5,46.0,1178400,19.298639
2000-05-12,45.875,46.125,44.9375,45.9375,838200,19.272418
2000-05-15,45.875,46.1875,45.125,46.0,960200,19.298639
2000-05-16,46.1875,47.75,45.5625,47.5625,784800,19.954164000000002
2000-05-17,47.75,48.4375,46.9375,48.25,1065200,20.242594
2000-05-18,48.625,49.875,48.625,49.5625,1198800,20.793235
2000-05-19,48.0,48.0,45.0625,45.6875,1912600,19.167534
2000-05-22,45.8125,46.1875,44.5,45.125,1204800,18.931546
2000-05-23,44.875,44.875,42.5625,42.625,1679800,17.882707
2000-05-24,42.625,43.1875,42.4375,42.5625,1484800,17.856486
2000-05-25,44.375,45.4375,42.6875,43.75,2699800,18.354684
2000-05-26,43.0,44.5625,43.0,44.25,9714400,18.564452
2000-05-30,44.0,45.1875,43.0625,45.0625,2273000,18.905325
2000-05-31,45.3125,45.3125,44.375,44.8125,2689200,18.800441
2000-06-01,44.6875,46.0,44.6875,45.6875,1344200,19.167534
2000-06-02,47.125,47.75,46.0625,47.3125,2436600,19.84928
2000-06-05,47.25,47.3125,46.5,46.8125,2335600,19.639512
2000-06-06,46.8125,46.8125,45.875,46.25,2191400,19.403523
2000-06-07,46.25,46.3125,45.25,45.4375,1266200,19.062651000000002
2000-06-08,45.4375,45.75,44.5625,45.75,1021800,19.193755
2000-06-09,45.5625,46.75,45.5625,46.5625,973800,19.534628
2000-06-12,47.0625,47.8125,47.0,47.3125,2099400,19.84928
2000-06-13,47.3125,47.375,46.6875,46.875,777000,19.665733
2000-06-14,46.9375,47.3125,46.75,47.0,1056200,19.739229
2000-06-15,47.75,47.75,46.3125,46.9375,1269000,19.712979999999998
2000-06-16,46.8125,47.0625,46.625,46.875,598200,19.686730999999998
2000-06-19,46.8125,46.8125,45.25,45.75,740600,19.214249
2000-06-20,45.25,45.3125,44.0,44.9375,652200,18.873013
2000-06-21,44.8125,45.75,44.8125,45.1875,793000,18.978009
2000-06-22,45.375,45.5,44.5,44.5,729400,18.68927
2000-06-23,44.625,46.8125,44.4687,45.875,844800,19.266747
2000-06-26,45.8125,45.8125,44.75,45.375,744200,19.056756
2000-06-27,45.3125,48.25,45.125,47.8125,1722000,20.080466
2000-06-28,47.875,48.1875,47.0,48.125,741800,20.211710999999998
2000-06-29,48.0,49.0,47.4375,48.375,623200,20.316706
2000-06-30,48.625,49.75,48.5,49.421799,1840600,20.756345
2000-07-03,49.3125,49.3125,48.5625,49.25,507600,20.684192000000003
2000-07-05,49.75,49.75,48.3125,49.0,1134200,20.579196
2000-07-06,49.0,49.0,47.5,47.875,681000,20.106714999999998
2000-07-07,47.5,48.0625,47.4375,48.0625,642600,20.185462
2000-07-10,47.75,47.75,46.375,47.4375,693200,19.922972
2000-07-11,47.25,47.25,46.3125,46.75,1731600,19.634233
2000-07-12,46.75,46.75,44.625,45.0625,1686000,18.925511
2000-07-13,45.0625,45.0625,43.0,44.1875,2902200,18.558025
2000-07-14,44.4375,45.4375,44.4375,44.875,1873800,18.846764
2000-07-17,44.8125,45.375,43.25,43.9375,1564600,18.453029
2000-07-18,43.9375,45.125,43.875,44.75,953400,18.794266
2000-07-19,44.5,44.75,44.125,44.625,702600,18.741768
2000-07-20,44.5625,44.9375,43.0,44.4375,997400,18.663021
2000-07-21,44.375,45.5,44.375,44.875,1067800,18.846764
2000-07-24,44.625,44.875,44.3125,44.875,336800,18.846764
2000-07-25,45.0625,46.0,45.0625,45.6875,808800,19.188001
2000-07-26,45.8125,45.9375,45.3125,45.875,548200,19.266747
2000-07-27,45.8125,45.875,44.625,44.9375,322400,18.873013
2000-07-28,45.0,45.25,44.1875,44.625,413000,18.741768
2000-07-31,44.625,44.625,43.0625,44.0,865600,18.479278
2000-08-01,44.0,44.75,43.75,44.75,1020000,18.794266
2000-08-02,45.25,45.9375,45.125,45.5,798200,19.109254
2000-08-03,45.5625,45.5625,44.625,45.3125,782400,19.030507
2000-08-04,45.375,45.375,44.6875,45.0,656800,18.899262
2000-08-07,45.0625,45.0625,43.75,43.75,481400,18.374282
2000-08-08,43.75,44.25,43.375,43.875,903400,18.426779999999997
2000-08-09,44.125,45.9375,44.125,44.5625,1876200,18.715519
2000-08-10,44.875,45.75,44.75,44.9375,1753000,18.873013
2000-08-11,45.4375,45.4375,44.75,45.125,1017600,18.95176
2000-08-14,45.625,46.375,45.625,46.0,824400,19.319245000000002
2000-08-15,46.1875,46.9375,44.8125,45.0625,821400,18.925511
2000-08-16,45.0625,45.125,41.8125,43.6875,4300400,18.348032999999997
2000-08-17,43.625,43.6875,42.5625,42.9375,2578400,18.033046
2000-08-18,42.9375,43.25,42.125,43.0,1301400,18.059295000000002
2000-08-21,43.0,43.0625,41.5625,42.25,1405800,17.744307
2000-08-22,42.375,42.8125,42.25,42.375,964600,17.796805
2000-08-23,42.5,42.75,41.75,42.25,1579600,17.744307
2000-08-24,42.375,42.5,41.5,42.0,1241400,17.639311
2000-08-25,42.0,42.1875,41.125,42.125,1206000,17.691809
2000-08-28,42.1875,42.5625,41.5,41.9375,1199000,17.613062
2000-08-29,41.875,42.0625,41.3125,41.8125,1496200,17.560564000000003
2000-08-30,41.75,42.0,41.1875,41.5625,972000,17.455568
2000-08-31,41.6875,41.875,40.8125,40.9375,646400,17.193078
2000-09-01,40.9375,42.0,40.5,41.8125,847600,17.560564000000003
2000-09-05,42.0,42.1875,41.75,42.125,719800,17.691809
2000-09-06,42.0625,42.5,41.3125,41.5,1058200,17.429319
2000-09-07,41.75,42.125,41.25,42.0625,573000,17.66556
2000-09-08,42.0625,42.0625,41.375,41.4375,510400,17.40307
2000-09-11,41.25,42.625,41.0625,42.5625,678600,17.875552
2000-09-12,42.4375,42.8125,42.25,42.5,740200,17.849303
2000-09-13,42.5,42.875,41.75,42.375,1240200,17.817767
2000-09-14,42.4375,42.5,38.75,41.125,4590800,17.292169
2000-09-15,41.125,41.5,39.75,40.375,3784000,16.976810999999998
2000-09-18,40.1875,40.375,39.125,39.375,1808400,16.556332
2000-09-19,39.375,39.375,37.5625,38.125,3929400,16.030735
2000-09-20,35.625,36.0,34.875,35.8125,7910800,15.058379
2000-09-21,35.75,36.125,34.5625,35.125,4117000,14.7693
2000-09-22,34.25,37.5,34.25,37.3125,6374600,15.689096
2000-09-25,37.125,37.75,36.125,37.3125,2980800,15.689096
2000-09-26,37.0625,37.125,35.9375,36.125,2189600,15.189778
2000-09-27,36.125,36.5,35.875,36.0,3189600,15.137217999999999
2000-09-28,36.0625,37.625,36.0,37.4375,3320800,15.741655999999999
2000-09-29,36.5,36.9375,36.25,36.625,1617600,15.400017000000002
2000-10-02,36.5,36.875,36.125,36.625,2259000,15.400017000000002
2000-10-03,36.5625,36.9375,35.625,36.25,2042400,15.242338
2000-10-04,36.125,37.4375,35.9375,36.8125,1191800,15.478857000000001
2000-10-05,37.25,38.5,37.25,38.125,4201600,16.030735
2000-10-06,38.0,38.125,37.1875,37.4375,1704400,15.741655999999999
2000-10-09,37.5625,37.75,37.0,37.375,1577000,15.715376000000001
2000-10-10,37.5,37.5,36.9375,37.375,2104000,15.715376000000001
2000-10-11,37.3125,37.3125,35.8125,36.5,5107200,15.347457
2000-10-12,36.5,36.5625,34.75,35.375,4318400,14.874419
2000-10-13,35.375,36.3125,34.5625,35.125,2809800,14.7693
2000-10-16,35.25,37.125,35.25,36.1875,3187200,15.216057999999999
2000-10-17,36.1875,36.4375,35.125,35.375,1581400,14.874419
2000-10-18,34.5,36.75,33.75,35.125,4098400,14.7693
2000-10-19,35.0,36.75,34.5,36.6875,8254400,15.426297
2000-10-20,37.25,37.875,37.0,37.6875,2208200,15.846775
2000-10-23,37.375,37.375,36.5625,37.3125,1526800,15.689096
2000-10-24,38.75,41.25,38.625,40.8125,3040800,17.16077
2000-10-25,41.5,44.0625,41.4375,43.1875,2819600,18.159406
