Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.9375,48.3125,46.375,46.4375,502400,13.291621
2000-01-04,46.4375,47.0625,45.1875,45.3125,412400,12.969617
2000-01-05,45.875,47.75,45.8125,47.5625,598600,13.613626000000002
2000-01-06,47.5625,50.75,47.5,50.5625,506000,14.472304000000001
2000-01-07,50.5625,50.625,49.75,50.4375,830600,14.436526
2000-01-10,50.1875,50.1875,48.5625,48.875,511000,13.989297
2000-01-11,49.125,49.5625,48.25,48.3125,451800,13.828295
2000-01-12,48.375,50.125,48.375,49.875,450800,14.275523000000002
2000-01-13,49.875,49.875,49.3125,49.3125,265200,14.114521
2000-01-14,49.1875,49.1875,48.4375,48.5,279200,13.881963
2000-01-18,48.5625,48.5625,47.1875,47.3125,475000,13.542069
2000-01-19,47.125,47.1875,44.625,45.75,901600,13.094841
2000-01-20,46.0,46.1875,44.0625,44.875,883200,12.844393
2000-01-21,44.25,44.5625,43.375,43.6875,973400,12.5045
2000-01-24,43.75,44.25,43.5,43.625,767600,12.486611
2000-01-25,43.75,43.75,40.25,41.0625,976000,11.753157
2000-01-26,41.5625,42.5,41.4375,42.375,856400,12.128828
2000-01-27,41.0,43.4375,41.0,42.8125,1044400,12.254052
2000-01-28,37.75,41.0,37.6875,39.9375,1261200,11.431152
2000-01-31,40.0,40.0,38.3125,39.875,1067200,11.413263
2000-02-01,40.0625,40.25,39.125,39.6875,1595800,11.359596
2000-02-02,39.6875,39.875,39.5,39.75,700600,11.377485
2000-02-03,39.75,40.5,39.625,40.125,588000,11.48482
2000-02-04,40.1875,40.1875,39.875,40.0625,546200,11.46693
2000-02-07,39.8125,40.1875,39.8125,39.875,564200,11.413263
2000-02-08,39.75,40.1875,39.75,39.9375,630800,11.431152
2000-02-09,40.0,40.5,39.9375,40.0,896600,11.449041000000001
2000-02-10,40.0,40.0,38.4375,38.9375,625000,11.144926
2000-02-11,38.9375,39.125,38.125,38.5625,655000,11.037591
2000-02-14,38.5,38.9375,38.125,38.75,524400,11.091258999999999
2000-02-15,38.6875,40.0625,38.6875,39.5,595000,11.305928
2000-02-16,39.375,39.8125,38.875,39.125,474800,11.198594
2000-02-17,39.125,39.125,38.625,38.625,451000,11.055481
2000-02-18,38.25,38.5,37.0625,37.3125,511200,10.679808999999999
2000-02-22,37.0,40.0,37.0,39.625,685600,11.341707000000001
2000-02-23,39.75,40.25,38.375,38.375,661000,10.983924
2000-02-24,38.4375,38.4375,35.625,36.5,811400,10.44725
2000-02-25,36.4375,36.4375,35.4375,35.8125,842000,10.25047
2000-02-28,36.125,38.5,35.875,37.5,662200,10.733476
2000-02-29,37.5,37.5625,35.6875,35.9375,880200,10.286247999999999
2000-03-01,35.9375,35.9375,33.625,34.6875,1506400,9.928466
2000-03-02,34.6875,34.9375,33.6875,34.4375,1033600,9.856909
2000-03-03,34.375,37.0,34.3125,36.75,864800,10.518807
2000-03-06,36.625,36.9375,35.9375,36.0,453600,10.304136999999999
2000-03-07,36.0,36.0,34.1875,34.1875,687400,9.785353
2000-03-08,34.1875,35.5625,34.1875,35.25,568800,10.089468
2000-03-09,35.125,35.5,34.3125,34.625,767000,9.910575999999999
2000-03-10,34.625,36.3125,34.625,36.125,551400,10.339915
2000-03-13,35.625,36.5,34.4375,36.3125,665000,10.521738000000001
2000-03-14,36.0625,36.25,35.0625,35.375,563200,10.250092
2000-03-15,36.25,40.0,35.6875,39.5625,1243200,11.463442
2000-03-16,40.0,41.8125,39.6875,41.5625,1157000,12.042953
2000-03-17,41.0,41.0,39.6875,39.8125,719800,11.535881
2000-03-20,42.375,44.6875,42.25,43.5625,1491200,12.622463
2000-03-21,43.5625,43.6875,43.0,43.25,1144800,12.531915
2000-03-22,43.125,43.125,41.75,41.75,576200,12.097282
2000-03-23,41.75,43.0625,41.5625,43.0,660200,12.459475999999999
2000-03-24,42.9375,43.875,42.625,42.875,564200,12.423257000000001
2000-03-27,43.75,44.8125,43.75,43.8125,1319200,12.694902
2000-03-28,44.0,45.3125,43.9375,44.0,853000,12.749231
2000-03-29,44.0,44.9375,44.0,44.1875,564400,12.803560000000001
2000-03-30,44.4375,46.125,44.125,45.625,1149400,13.220084
2000-03-31,45.625,47.375,45.3125,45.5,1019600,13.183864000000002
2000-04-03,46.25,48.3125,46.25,48.0,895400,13.908252
2000-04-04,48.0,49.375,46.4375,46.9375,1122600,13.600387
2000-04-05,48.0,48.5,46.5625,46.625,559800,13.509839000000001
2000-04-06,47.125,48.0,46.375,46.875,1322200,13.582278
2000-04-07,47.0,47.625,46.0625,46.0625,630400,13.346851000000001
2000-04-10,45.8125,47.5,45.8125,47.25,1463800,13.690935999999999
2000-04-11,47.0,48.875,47.0,48.25,1609400,13.980691
2000-04-12,48.25,49.5,48.25,48.9375,1572000,14.179898000000001
2000-04-13,48.875,49.375,48.125,48.3125,1186800,13.998801
2000-04-14,48.0,48.0,45.8125,45.9375,941000,13.310632
2000-04-17,46.0,46.5,45.0625,45.9375,635000,13.310632
2000-04-18,46.125,46.1875,44.6875,44.9375,480800,13.020877
2000-04-19,44.9375,45.125,44.0,44.125,376800,12.785451
2000-04-20,43.625,46.75,43.625,46.4375,668000,13.45551
2000-04-24,46.375,48.0,46.0,46.9375,492600,13.600387
2000-04-25,47.1875,48.125,46.6875,48.0625,552200,13.926362
2000-04-26,47.6875,47.6875,45.625,46.25,753200,13.401181
2000-04-27,46.5,46.5625,45.875,46.4375,898600,13.45551
2000-04-28,49.875,53.9375,49.0,52.3125,2935400,15.157822
2000-05-01,52.3125,53.0,51.9375,52.5,1586000,15.212151
2000-05-02,52.5,52.8125,51.75,52.75,1412400,15.28459
2000-05-03,52.6875,52.6875,51.3125,51.8125,427200,15.012944000000001
2000-05-04,51.75,53.5625,51.3125,52.1875,916200,15.121602
2000-05-05,52.125,52.625,51.25,52.1875,622600,15.121602
2000-05-08,51.0625,52.1875,50.875,51.4375,886200,14.904285999999999
2000-05-09,51.4375,52.625,51.3125,51.625,816600,14.958615
2000-05-10,50.75,51.375,50.75,50.9375,563600,14.759407999999999
2000-05-11,51.375,53.3125,51.375,53.0,1130200,15.357029
2000-05-12,53.0625,53.25,51.5625,52.1875,765000,15.121602
2000-05-15,52.0625,54.75,52.0,53.4375,655200,15.483796
2000-05-16,53.5,53.5,52.5625,52.875,641200,15.320808999999999
2000-05-17,51.875,52.0625,51.1875,51.9375,641000,15.049164000000001
2000-05-18,51.75,52.0,51.0,51.5625,632200,14.940504999999998
2000-05-19,51.375,53.3125,51.125,52.875,735600,15.320808999999999
2000-05-22,52.9375,54.625,52.9375,54.125,775600,15.683003
2000-05-23,54.125,54.5625,52.5,53.375,476200,15.465686999999999
2000-05-24,54.0,54.4375,52.125,52.625,440800,15.248370000000001
2000-05-25,52.4375,52.4375,49.0625,49.75,666600,14.415323999999998
2000-05-26,49.875,49.875,48.5,49.0,1010800,14.198007
2000-05-30,49.0,49.0,48.3125,48.625,644600,14.089348999999999
2000-05-31,46.0,47.0,45.375,45.5625,1960400,13.201974
2000-06-01,45.4375,47.875,45.3125,47.5625,1354400,13.781483999999999
2000-06-02,47.875,47.9375,47.375,47.4375,384600,13.745265
2000-06-05,47.1875,47.1875,45.75,46.0625,1399800,13.346851000000001
2000-06-06,46.25,47.0,46.125,46.9375,441200,13.600387
2000-06-07,46.9375,48.25,46.9375,47.8125,869000,13.853923000000002
2000-06-08,47.6875,47.8125,47.0,47.6875,511200,13.817704
2000-06-09,47.6875,48.25,47.6875,48.1875,956200,13.962581
2000-06-12,48.25,48.875,47.6875,47.6875,392600,13.817704
2000-06-13,47.0625,47.625,47.0,47.3125,613200,13.836713
2000-06-14,47.5625,49.0,47.375,48.125,427400,14.074332
2000-06-15,48.0,48.4375,47.875,48.0,422400,14.037775
2000-06-16,48.0,48.1875,46.9375,47.5,514200,13.891548
2000-06-19,47.25,47.4375,45.625,45.75,529400,13.379754
2000-06-20,46.25,46.25,44.875,45.3125,528400,13.251806
2000-06-21,45.625,46.4375,45.5,45.9375,919200,13.434589
2000-06-22,46.125,46.3125,45.8125,45.9375,596600,13.434589
2000-06-23,46.3125,46.4375,46.0,46.125,496000,13.489424
2000-06-26,46.125,46.6875,46.0,46.5,883200,13.599095000000002
