Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.5,20.6875,20.3125,20.6875,276400,11.947391
2000-01-04,20.5,20.875,20.375,20.6875,291500,11.947391
2000-01-05,20.5625,21.0,20.5625,20.8125,284400,12.019581
2000-01-06,20.5625,21.3125,20.5625,21.0625,130000,12.163960000000001
2000-01-07,20.9375,21.25,20.8125,21.25,85700,12.272245
2000-01-10,21.125,21.3125,20.75,21.0625,151400,12.163960000000001
2000-01-11,21.0625,21.125,21.0,21.0,299700,12.127865
2000-01-12,21.0,21.125,20.9375,21.125,412000,12.200055
2000-01-13,21.0625,21.125,20.625,20.9375,547700,12.09177
2000-01-14,20.9375,21.0,20.625,20.625,239400,11.911296
2000-01-18,20.625,20.625,20.0,20.125,169600,11.622537
2000-01-19,20.125,20.625,20.0625,20.125,302300,11.622537
2000-01-20,20.3125,20.625,20.3125,20.625,211700,11.911296
2000-01-21,20.625,20.625,20.375,20.5625,158200,11.875200999999999
2000-01-24,20.375,20.4375,19.5625,19.75,957100,11.405968
2000-01-25,19.875,20.0,19.625,19.875,1354700,11.478158
2000-01-26,20.125,20.3125,20.0,20.25,618400,11.694727
2000-01-27,20.25,20.625,20.25,20.5625,407300,11.875200999999999
2000-01-28,20.5625,20.75,20.375,20.4375,178200,11.803011999999999
2000-01-31,20.4375,20.5,20.0,20.5,199600,11.839107
2000-02-01,20.375,20.5,20.125,20.3125,189800,11.730822
2000-02-02,20.3125,20.6875,20.3125,20.3125,652200,11.730822
2000-02-03,20.25,20.5625,20.25,20.4375,189400,11.803011999999999
2000-02-04,20.4375,20.5,20.125,20.1875,124200,11.658632
2000-02-07,20.0625,20.1875,20.0,20.1875,256900,11.658632
2000-02-08,20.0625,20.3125,20.0625,20.125,225400,11.622537
2000-02-09,20.125,20.5,20.0625,20.25,132400,11.694727
2000-02-10,20.0625,20.25,19.875,19.875,163800,11.478158
2000-02-11,20.0,20.0,19.1875,19.375,350900,11.189399
2000-02-14,19.5,19.5625,19.3125,19.3125,577800,11.153305
2000-02-15,19.3125,19.4375,19.1875,19.1875,489100,11.081114999999999
2000-02-16,19.1875,19.25,18.5,18.9375,1361000,10.936736
2000-02-17,19.0,19.4375,18.75,19.1875,266900,11.081114999999999
2000-02-18,19.0,19.0625,18.875,18.9375,254000,10.936736
2000-02-22,18.9375,19.0,18.4375,18.4375,246300,10.647977000000001
2000-02-23,18.4375,18.75,18.4375,18.75,253000,10.828451
2000-02-24,18.625,18.6875,18.0,18.3125,321200,10.575787
2000-02-25,18.1875,18.375,18.125,18.25,341300,10.539692
2000-02-28,18.25,18.875,18.1875,18.8125,342600,10.864546
2000-02-29,18.75,18.8125,18.5,18.8125,280800,10.864546
2000-03-01,18.8125,19.3125,18.625,19.1875,736600,11.081114999999999
2000-03-02,19.125,19.5,19.125,19.375,1770700,11.248021000000001
2000-03-03,19.375,19.5,19.0,19.5,245200,11.320589
2000-03-06,19.75,19.75,18.8125,19.1875,215600,11.13917
2000-03-07,19.1875,19.5625,19.125,19.5,239900,11.320589
2000-03-08,19.4375,19.75,19.375,19.625,211800,11.393157
2000-03-09,19.6875,19.6875,19.1875,19.375,378400,11.248021000000001
2000-03-10,19.4375,19.875,19.375,19.875,305500,11.538293
2000-03-13,19.625,19.75,19.5,19.5625,250500,11.356873
2000-03-14,19.4375,19.5,19.375,19.375,383500,11.248021000000001
2000-03-15,19.375,19.625,18.875,19.375,956500,11.248021000000001
2000-03-16,19.5,20.0625,19.4375,19.8125,519200,11.502009
2000-03-17,19.5625,19.9375,19.5625,19.875,228100,11.538293
2000-03-20,19.8125,20.1875,19.75,20.125,206400,11.683428999999999
2000-03-21,19.9375,20.25,19.9375,20.0625,251500,11.647145
2000-03-22,20.0625,20.1875,19.5625,20.125,257700,11.683428999999999
2000-03-23,20.0,20.625,19.9375,20.625,260600,11.9737
2000-03-24,20.5,20.5625,20.375,20.5,232800,11.901132
2000-03-27,20.375,20.875,20.3125,20.875,557600,12.118836
2000-03-28,20.75,20.9375,20.625,20.9375,282000,12.15512
2000-03-29,20.625,20.9375,20.625,20.875,180400,12.118836
2000-03-30,20.9375,21.125,20.875,21.0625,321400,12.227688
2000-03-31,21.125,21.5,21.0,21.5,450500,12.481675
2000-04-03,21.375,21.5,20.875,21.0,420900,12.191403999999999
2000-04-04,21.0,21.1875,20.875,21.0,199000,12.191403999999999
2000-04-05,21.1875,21.375,20.875,20.875,91200,12.118836
2000-04-06,21.0,21.0,20.9375,20.9375,31500,12.15512
2000-04-07,20.9375,21.0,20.875,21.0,68100,12.191403999999999
2000-04-10,21.0,21.4375,20.9375,21.375,225100,12.409108
2000-04-11,21.375,21.4375,21.0625,21.1875,168000,12.300256
2000-04-12,21.1875,21.625,21.1875,21.375,119400,12.409108
2000-04-13,21.125,21.5,21.0,21.5,136400,12.481675
2000-04-14,21.5,21.8125,21.4375,21.625,179700,12.554243
2000-04-17,21.625,21.875,21.5,21.5625,425100,12.517959
2000-04-18,21.5,21.5,20.875,21.0,336100,12.191403999999999
2000-04-19,21.0625,21.5,20.8125,21.5,216100,12.481675
2000-04-20,21.5,21.5,21.0625,21.4375,152700,12.445391
2000-04-24,21.4375,21.5,21.3125,21.375,332200,12.409108
2000-04-25,21.375,21.6875,21.375,21.6875,484200,12.590527
2000-04-26,21.625,22.1875,21.625,21.875,944900,12.699378999999999
2000-04-27,21.8125,22.1875,21.625,21.625,194700,12.554243
2000-04-28,21.625,21.875,21.5,21.5,397000,12.481675
2000-05-01,21.5,21.5625,21.125,21.1875,150200,12.300256
2000-05-02,21.1875,21.375,21.0625,21.125,163900,12.263972
2000-05-03,21.125,21.25,21.0,21.0625,269100,12.227688
2000-05-04,21.1875,21.625,21.125,21.5625,177700,12.517959
2000-05-05,21.4375,21.8125,21.3125,21.75,712600,12.626811
2000-05-08,21.75,22.3125,21.75,22.1875,183000,12.880799
2000-05-09,22.0625,22.3125,21.875,22.25,571600,12.917083
2000-05-10,22.0,22.375,22.0,22.125,367900,12.844515
2000-05-11,22.3125,22.5625,22.25,22.4375,258100,13.025934
2000-05-12,22.625,22.6875,22.25,22.375,476800,12.989651
2000-05-15,22.3125,22.3125,21.75,21.875,363600,12.699378999999999
2000-05-16,21.875,22.3125,21.75,22.3125,149600,12.953367
2000-05-17,22.0625,22.1875,21.375,21.8125,117400,12.663095
2000-05-18,21.75,22.3125,21.5,21.5,154000,12.481675
2000-05-19,21.5,22.25,21.4375,22.1875,125500,12.880799
2000-05-22,22.3125,22.3125,21.8125,22.0,96500,12.771947
2000-05-23,21.9375,22.375,21.875,21.875,150200,12.699378999999999
2000-05-24,21.9375,22.3125,21.8125,22.25,244600,12.917083
2000-05-25,22.25,22.375,22.0625,22.125,203800,12.844515
2000-05-26,22.0625,22.3125,21.875,22.125,965900,12.844515
2000-05-30,22.0,22.125,21.875,21.9375,728700,12.793486999999999
2000-05-31,22.0,22.375,21.875,22.125,227000,12.902833
2000-06-01,22.25,22.25,21.75,22.0,297900,12.829935
2000-06-02,22.125,22.3125,21.75,21.8125,144800,12.720589
2000-06-05,21.625,21.75,21.375,21.5625,215000,12.574795
2000-06-06,21.5,22.25,21.4375,22.25,132900,12.97573
2000-06-07,22.0,22.125,21.75,21.8125,80800,12.720589
2000-06-08,22.0,22.125,21.875,22.0625,254100,12.866384
2000-06-09,22.0625,22.375,22.0625,22.375,379400,13.048627
2000-06-12,22.3125,22.4375,22.1875,22.4375,77000,13.085075999999999
2000-06-13,22.4375,22.625,22.4375,22.625,77600,13.194422
2000-06-14,22.625,22.625,22.3125,22.375,107800,13.048627
2000-06-15,22.375,22.8125,22.3125,22.8125,333900,13.303768
2000-06-16,22.5625,23.125,22.5625,23.0,375500,13.413114000000002
2000-06-19,22.75,22.9375,22.5,22.8125,119100,13.303768
2000-06-20,22.6875,22.875,22.5625,22.625,128500,13.194422
2000-06-21,22.75,23.0,22.625,22.875,140400,13.340217
2000-06-22,22.875,22.875,22.1875,22.3125,1096000,13.012179
2000-06-23,22.4375,22.75,22.375,22.625,134700,13.194422
2000-06-26,22.625,22.625,22.125,22.5,612500,13.121525
2000-06-27,22.5,22.625,22.1875,22.1875,316700,12.939281
2000-06-28,22.1875,22.5,22.0625,22.4375,299500,13.085075999999999
2000-06-29,22.5625,22.5625,22.0625,22.1875,290600,12.939281
2000-06-30,22.1875,22.5,21.75,21.75,498500,12.684141
2000-07-03,21.8125,22.125,21.8125,21.9375,333900,12.793486999999999
2000-07-05,21.9375,22.1875,21.9375,22.1875,419000,12.939281
2000-07-06,22.125,22.4375,22.125,22.4375,123900,13.085075999999999
2000-07-07,22.4375,22.5625,22.1875,22.5,244500,13.121525
2000-07-10,22.375,22.875,22.375,22.8125,174300,13.303768
2000-07-11,22.8125,22.8125,22.5,22.8125,169500,13.303768
2000-07-12,22.8125,22.8125,22.5625,22.6875,367000,13.230870999999999
2000-07-13,22.5625,22.8125,22.5,22.75,262200,13.267319
2000-07-14,22.6875,22.875,22.0625,22.0625,344000,12.866384
2000-07-17,22.625,22.75,22.4375,22.5625,201600,13.157973000000002
2000-07-18,22.5,22.75,22.5,22.5625,176600,13.157973000000002
2000-07-19,22.625,22.8125,22.5625,22.8125,227600,13.303768
