Date,Open,High,Low,Close,Volume,Adj Close
2000-12-01,21.0,28.125,21.0,27.0,23200,11.025043
2000-12-04,27.75,30.0,27.25,30.0,31000,12.250047
2000-12-05,31.0,31.0,30.0,30.25,12800,12.352131
2000-12-06,30.0,30.375,30.0,30.0,10400,12.250047
2000-12-07,30.0,30.0,29.625,29.625,2600,12.096922
2000-12-08,29.875,30.0,29.875,30.0,4200,12.250047
2000-12-11,29.875,30.375,29.625,30.375,32600,12.403172999999999
2000-12-12,29.75,30.25,29.75,30.25,3600,12.352131
2000-12-13,30.5,30.75,30.5,30.75,2400,12.556299000000001
2000-12-14,30.625,30.625,30.5,30.5,2800,12.454215
2000-12-15,30.125,30.25,29.5,29.5,83000,12.04588
2000-12-18,29.5,30.25,29.5,30.25,23200,12.352131
2000-12-19,30.0,30.5,30.0,30.25,3600,12.352131
2000-12-20,30.0,30.0,29.25,29.5,42400,12.04588
2000-12-21,29.375,29.375,28.75,28.875,243400,11.790671000000001
2000-12-22,29.5,33.125,29.5,32.625,585200,13.321926000000001
2000-12-26,32.5625,32.875,32.125,32.3125,278600,13.194322
2000-12-27,32.4375,33.0625,32.4375,33.0625,421000,13.500573000000001
2000-12-28,32.6875,33.25,32.625,33.1875,316200,13.551615
2000-12-29,33.0625,33.3125,31.75,33.0625,539800,13.500573000000001
2001-01-02,33.0,34.625,33.0,34.25,570400,13.985470999999999
2001-01-03,34.875,35.125,34.3125,34.75,824200,14.189638
2001-01-04,34.625,34.75,34.25,34.625,525200,14.138596
2001-01-05,34.4375,34.6875,33.5,33.625,1357600,13.730260999999999
2001-01-08,34.0,34.0625,33.5,33.6875,1843600,13.755782
2001-01-09,33.4375,33.625,33.3125,33.5625,422200,13.70474
2001-01-10,33.3125,33.625,33.25,33.5625,414200,13.70474
2001-01-11,33.5625,33.6875,33.1875,33.4375,523400,13.653699
2001-01-12,33.3125,33.4375,33.25,33.25,802600,13.577136
2001-01-16,32.75,33.125,32.75,33.0,541000,13.475052
2001-01-17,33.0,33.75,32.875,33.4375,410600,13.653699
2001-01-18,33.25,33.5625,33.0625,33.4375,798200,13.653699
2001-01-19,33.1875,33.375,32.8125,32.9375,511200,13.449531
2001-01-22,32.4375,32.875,32.1875,32.4375,368400,13.245364000000002
2001-01-23,32.25,32.625,32.0,32.625,583000,13.321926000000001
2001-01-24,32.5,32.6875,32.0,32.5625,479800,13.296406
2001-01-25,32.5,33.25,32.5,33.1875,408200,13.551615
2001-01-26,33.1875,33.4375,33.0625,33.1875,645400,13.551615
2001-01-29,33.02,33.18,32.75,32.82,772400,13.401551999999999
2001-01-30,32.57,32.57,31.700001,31.82,377200,12.993217
2001-01-31,31.200001,32.540001000000004,31.200001,32.439999,633200,13.246383999999999
2001-02-01,31.6,36.0,31.6,34.509997999999996,1433400,14.091637
2001-02-02,34.400002,35.25,34.099998,34.119999,1039600,13.932387
2001-02-05,33.919998,35.349998,33.700001,33.700001,665000,13.760887
2001-02-06,33.189999,35.189999,33.189999,35.009997999999996,726600,14.295805
2001-02-07,35.009997999999996,36.450001,35.009997999999996,36.220001,829800,14.789891
2001-02-08,36.0,38.009997999999996,35.889998999999996,38.009997999999996,1198400,15.520809
2001-02-09,37.630001,38.52,37.299999,38.52,755000,15.729060999999998
2001-02-12,38.52,39.470001,38.259997999999996,39.400002,781600,16.088396
2001-02-13,38.599998,39.900002,38.459998999999996,39.189999,968800,16.002645
2001-02-14,38.700001,39.099998,38.450001,38.700001,559000,15.802560999999999
2001-02-15,38.900002,39.43,38.860001000000004,39.18,502200,15.998562
2001-02-16,38.0,38.299999,37.240002000000004,37.540001000000004,446000,15.328892999999999
2001-02-20,37.509997999999996,37.889998999999996,36.200001,36.200001,402600,14.781723999999999
2001-02-21,36.200001,36.560001,36.07,36.099998,363600,14.74089
2001-02-22,36.099998,36.75,35.669998,36.709998999999996,635600,14.989973999999998
2001-02-23,36.709998999999996,37.150002,36.700001,37.049999,913000,15.128808
2001-02-26,37.5,40.0,37.5,39.5,2160800,16.129229000000002
2001-02-27,38.5,38.98,38.330002,38.48,835800,15.712727
2001-02-28,38.0,39.200001,37.970001,38.119999,804800,15.565726000000002
2001-03-01,38.75,39.0,37.369999,38.25,734800,15.61881
2001-03-02,38.150002,40.5,38.049999,40.41,1102600,16.500814000000002
2001-03-05,41.0,47.0,40.200001,46.349998,2998800,18.926322
2001-03-06,44.5,45.779999,42.0,43.060001,3856400,17.582902
2001-03-07,42.5,45.299999,42.5,44.799999,2447200,18.293404000000002
2001-03-08,44.700001,47.5,44.700001,46.75,2596400,19.089657
2001-03-09,46.0,46.990002000000004,45.810001,46.84,2293600,19.126407
2001-03-12,46.25,47.0,46.049999,46.209998999999996,1365600,18.869156
2001-03-13,46.25,46.450001,44.099998,45.0,1012200,18.438916
2001-03-14,44.5,45.349998,42.5,42.970001,1622000,17.607116
2001-03-15,43.200001,45.07,43.099998,44.959998999999996,1240600,18.422525
2001-03-16,44.349998,44.349998,43.580002,44.099998,1990600,18.070137
2001-03-19,44.200001,44.849998,43.5,43.639998999999996,776200,17.88165
2001-03-20,43.700001,44.099998,43.450001,43.459998999999996,533000,17.807895000000002
2001-03-21,43.75,43.75,42.150002,42.380001,597000,17.365361
2001-03-22,42.130001,42.59,39.400002,40.32,853000,16.521268
2001-03-23,40.900002,41.75,40.700001,41.41,881000,16.9679
2001-03-26,41.200001,42.150002,41.099998,41.540001000000004,558000,17.021168
2001-03-27,41.599998,41.889998999999996,41.400002,41.880001,676000,17.160485
2001-03-28,42.380001,42.700001,42.040001000000004,42.080002,758400,17.242435999999998
2001-03-29,42.080002,45.490002000000004,42.080002,45.27,3210400,18.549549
2001-03-30,45.75,46.0,44.400002,44.5,3574000,18.234039000000003
2001-04-02,43.700001,44.580002,42.700001,43.23,1173400,17.713651000000002
2001-04-03,43.299999,43.5,41.049999,41.43,673800,16.976095
2001-04-04,41.43,42.5,41.400002,42.220001,965400,17.299801000000002
2001-04-05,42.650002,42.990002000000004,42.139998999999996,42.32,302600,17.340776
2001-04-06,42.25,42.32,40.610001000000004,40.970001,361800,16.787609
2001-04-09,41.0,42.150002,41.0,41.970001,563600,17.197362
2001-04-10,42.110001000000004,43.0,42.049999,42.689999,798800,17.492384
2001-04-11,42.490002000000004,42.650002,41.889998999999996,42.049999,447000,17.230142
2001-04-12,41.900002,42.599998,41.619999,42.16,370000,17.275215
2001-04-16,42.650002,44.099998,42.650002,44.0,641800,18.029162
2001-04-17,43.75,44.540001000000004,43.599998,44.5,950400,18.234039000000003
2001-04-18,44.349998,45.450001,44.349998,45.240002000000004,1656400,18.537257
2001-04-19,45.25,45.330002,44.639998999999996,45.0,452000,18.438916
2001-04-20,45.25,45.490002000000004,44.900002,45.130001,642800,18.492183999999998
2001-04-23,43.75,45.549999,43.75,45.549999,825600,18.664279999999998
2001-04-24,45.799999,48.939999,45.799999,48.200001,2779800,19.750128
2001-04-25,47.5,51.700001,47.5,51.700001,3340000,21.184266
2001-04-26,52.0,54.5,51.959998999999996,54.25,3440400,22.229136999999998
2001-04-27,54.200001,55.23,53.0,55.150002,1261600,22.597916
2001-04-30,54.900002,54.91,52.259997999999996,52.709998999999996,2507000,21.598116
2001-05-01,52.799999,54.799999,51.5,54.650002,1268800,22.393039
2001-05-02,54.0,54.5,51.459998999999996,51.700001,2498000,21.184266
2001-05-03,51.599998,51.599998,50.299999,51.0,1657200,20.897438
2001-05-04,49.950001,52.400002,49.0,52.400002,1734200,21.471093
2001-05-07,52.400002,53.25,51.810001,51.98,1192000,21.298996
2001-05-08,52.200001,52.75,51.799999,52.09,1081600,21.344069
2001-05-09,52.200001,52.450001,51.209998999999996,51.68,718600,21.176070000000003
2001-05-10,51.93,54.889998999999996,51.880001,54.349998,1858000,22.270112
2001-05-11,54.349998,54.799999,53.349998,53.759997999999996,817400,22.028357
2001-05-14,53.509997999999996,54.099998,53.5,53.98,635200,22.118503
2001-05-15,53.400002,53.900002,53.380001,53.709998999999996,573800,22.00787
2001-05-16,53.939999,57.0,53.66,56.900002,3878000,23.314985
2001-05-17,57.0,59.849998,57.0,59.0,3601800,24.175467
2001-05-18,58.799999,59.040001000000004,57.709998999999996,58.5,1690000,23.970589999999998
2001-05-21,58.200001,58.889998999999996,57.900002,58.810001,1559600,24.097614
2001-05-22,58.810001,63.200001,58.799999,62.650002,2849200,25.671069
2001-05-23,62.639998999999996,62.639998999999996,60.27,60.540001000000004,1443000,24.806488
2001-05-24,60.650002,61.060001,57.709998999999996,60.549999,1561200,24.810585
2001-05-25,60.5,60.700001,58.150002,58.25,792400,23.868152
2001-05-29,58.25,59.0,57.400002,58.209998999999996,711600,23.851761
2001-05-30,57.959998999999996,58.73,56.5,58.27,1076400,23.876347
2001-05-31,58.400002,59.5,58.189999,58.32,1059800,23.896835
2001-06-01,58.540001000000004,58.799999,56.950001,57.709998999999996,929400,23.646885
2001-06-04,57.959998999999996,58.549999,57.310001,57.400002,777400,23.519862
2001-06-05,57.5,57.669998,54.5,54.759997999999996,1387800,22.438111
2001-06-06,54.759997999999996,54.759997999999996,52.5,52.799999,1088600,21.634994
2001-06-07,52.25,53.209998999999996,52.0,52.75,1584200,21.614507
2001-06-08,53.0,53.849998,52.580002,53.150002,851200,21.778409
2001-06-11,53.299999,53.490002000000004,51.759997999999996,52.110001000000004,686600,21.352265
2001-06-12,51.860001000000004,52.490002000000004,51.450001,52.139998999999996,923000,21.364557
2001-06-13,52.299999,54.720001,52.299999,54.119999,1151000,22.175869
2001-06-14,54.369999,54.369999,53.099998,53.720001,1173000,22.011968
2001-06-15,52.599998,53.75,52.060001,53.0,1994800,21.716945000000003
2001-06-18,52.650002,53.740002000000004,52.509997999999996,53.18,855000,21.856683
2001-06-19,53.599998,54.849998,52.07,52.07,832600,21.400479
2001-06-20,52.200001,53.09,44.959998999999996,45.0,3978400,18.494748
2001-06-21,45.0,48.84,44.860001000000004,48.779999,4742000,20.048307
2001-06-22,44.0,45.5,43.279999,45.040001000000004,7063200,18.511189
2001-06-25,45.290001000000004,46.200001,43.48,43.700001,1358800,17.960456
2001-06-26,42.5,44.5,42.5,43.849998,1171600,18.022104000000002
2001-06-27,43.599998,44.400002,43.060001,43.68,697400,17.952236
2001-06-28,43.68,45.099998,43.049999,44.060001,1080400,18.108414
2001-06-29,44.0,46.150002,44.0,45.150002,1578200,18.556398
2001-07-02,45.400002,45.549999,45.290001000000004,45.450001,1079000,18.679696
2001-07-03,45.400002,45.599998,45.09,45.490002000000004,753200,18.696136
2001-07-05,45.0,45.0,39.700001,39.959998999999996,2851400,16.423336
2001-07-06,41.0,42.700001,40.25,42.290001000000004,2830800,17.380954
2001-07-09,42.23,42.290001000000004,40.25,41.009997999999996,1673400,16.854879999999998
2001-07-10,41.5,41.799999,40.799999,41.040001000000004,544200,16.867210999999998
2001-07-11,40.900002,41.060001,39.119999,39.310001,1098400,16.156191
2001-07-12,40.400002,41.279999,39.700001,40.0,1530600,16.439776000000002
2001-07-13,40.0,40.540001000000004,39.599998,39.98,893000,16.431556
2001-07-16,40.099998,40.439999,36.799999,37.57,1478000,15.44106
2001-07-17,37.57,37.799999,35.150002,35.299999,3543200,14.508102
2001-07-18,35.599998,39.549999,35.599998,39.400002,1278000,16.193179999999998
2001-07-19,39.299999,41.189999,39.299999,40.099998,1107000,16.480875
2001-07-20,40.0,40.150002,39.549999,39.779999,507000,16.349357
2001-07-23,39.75,40.299999,38.0,38.400002,713000,15.782186
2001-07-24,38.400002,38.700001,36.599998,37.259997999999996,1432200,15.313651
2001-07-25,37.25,37.73,36.650002,37.16,760800,15.272552
2001-07-26,37.099998,37.599998,36.200001,37.5,842200,15.412289999999999
2001-07-27,37.75,38.900002,37.259997999999996,38.580002,704200,15.856164999999999
2001-07-30,38.57,39.060001,38.57,38.790001000000004,969600,15.942473999999999
2001-07-31,38.779999,40.299999,38.75,39.529999,651200,16.246609
2001-08-01,39.5,39.799999,37.450001,37.639998999999996,2857600,15.469829
2001-08-02,38.099998,39.330002,37.5,39.16,1342000,16.094541
2001-08-03,39.299999,39.799999,38.599998,39.279999,1528600,16.14386
2001-08-06,38.799999,39.150002,37.799999,38.5,687600,15.823285
2001-08-07,38.349998,38.700001,37.639998999999996,37.66,476000,15.478048999999999
2001-08-08,37.0,37.98,36.279999,37.509997999999996,1411000,15.4164
2001-08-09,37.310001,38.400002,37.119999,37.98,553600,15.609568
