Date,Open,High,Low,Close,Volume,Adj Close
2000-12-08,15.8125,22.875,15.125,20.0,17149800,6.587789999999999
2000-12-11,22.6875,22.75,19.875,21.1875,2919200,6.97894
2000-12-12,21.2187,21.25,19.375,19.875,1077400,6.546616
2000-12-13,20.75,20.875,19.75,19.875,422400,6.546616
2000-12-14,19.984301000000002,20.25,19.875,20.125,265400,6.628963000000001
2000-12-15,20.25,20.25,18.0,20.125,950200,6.628963000000001
2000-12-18,20.5,20.5,19.4375,20.0625,483600,6.608376
2000-12-19,20.046801000000002,20.0625,19.25,19.625,457400,6.464269
2000-12-20,19.375,19.625,18.0,18.25,1228800,6.011358
2000-12-21,18.0625,18.5,17.75,18.1875,1017400,5.990771
2000-12-22,18.625,19.375,18.5,19.25,416000,6.3407480000000005
2000-12-26,19.3125,19.375,18.875,19.0,754000,6.2584
2000-12-27,18.9062,19.125,18.25,18.5625,361400,6.114292
2000-12-28,18.625,19.375,18.3125,18.625,1048600,6.134879
2000-12-29,19.0,20.125,18.75,19.75,232800,6.5054419999999995
2001-01-02,20.171801000000002,20.25,18.6875,19.25,330400,6.3407480000000005
2001-01-03,18.7812,19.375,17.5,17.625,545400,5.80549
2001-01-04,17.9375,19.0,17.625,18.0625,287600,5.949598
2001-01-05,18.109301000000002,18.5,17.75,18.125,962000,5.970184
2001-01-08,18.0,18.1875,17.5,17.5,631000,5.764316
2001-01-09,17.9062,18.0,17.0,17.25,821800,5.6819690000000005
2001-01-10,17.1875,17.25,16.75,17.0,976800,5.599621
2001-01-11,17.0312,18.5,17.0,18.1875,1357000,5.990771
2001-01-12,18.5937,19.25,18.5,19.125,566200,6.299574
2001-01-16,19.625,20.5,18.875,19.0,663200,6.2584
2001-01-17,19.109301000000002,19.875,18.875,19.375,486000,6.381921
2001-01-18,19.484301000000002,19.5,18.5,19.0,292800,6.2584
2001-01-19,19.0625,19.25,18.25,18.375,254200,6.052532
2001-01-22,18.625,18.625,17.625,17.875,764600,5.887837
2001-01-23,18.25,18.375,17.875,17.875,442600,5.887837
2001-01-24,17.8906,18.0,16.9375,17.0,1197200,5.599621
2001-01-25,17.25,18.0,16.25,17.875,985800,5.887837
2001-01-26,17.5,19.375,17.375,18.625,249000,6.134879
2001-01-29,18.984301000000002,20.0,18.625,19.9375,206600,6.567203
2001-01-30,19.9375,20.0625,18.9375,20.0625,188800,6.608376
2001-01-31,19.7656,20.0625,19.375,19.4375,84200,6.402508
2001-02-01,19.375,20.0625,19.375,19.875,100600,6.546616
2001-02-02,20.0625,21.75,20.0,21.625,477200,7.123048
2001-02-05,22.0625,24.375,21.75,23.875,562400,7.864174
2001-02-06,24.234301000000002,25.6875,23.875,24.75,585600,8.152389999999999
2001-02-07,24.125,25.0,23.875,24.375,189400,8.028869
2001-02-08,24.2656,25.375,24.25,25.125,451400,8.275911
2001-02-09,25.0625,25.1875,24.0,24.0,730200,7.905347999999999
2001-02-12,24.25,24.375,23.5,23.5,2362200,7.740653
2001-02-13,23.8125,24.625,23.375,24.375,228600,8.028869
2001-02-14,24.5,24.625,21.375,22.25,1363600,7.328916
2001-02-15,22.75,23.0,20.75,21.25,359400,6.9995270000000005
2001-02-16,21.1875,22.375,20.125,21.375,264200,7.0407
2001-02-20,22.0,22.0,19.125,19.625,391400,6.464269
2001-02-21,19.2656,20.125,18.875,19.625,196800,6.464269
2001-02-22,19.609301000000002,19.625,18.5625,18.5625,197400,6.114292
2001-02-23,18.5,20.5625,18.375,20.5,122800,6.752484
2001-02-26,20.5,21.5,20.4531,21.2187,118600,6.989217
2001-02-27,21.5,22.0,21.375,22.0,271800,7.246569
2001-02-28,22.125,22.125,21.8125,21.875,142600,7.205394999999999
2001-03-01,21.75,21.875,18.875,20.0,232000,6.587789999999999
2001-03-02,20.1875,20.25,19.25,20.125,167000,6.628963000000001
2001-03-05,20.5,21.125,20.1875,20.875,110000,6.876005
2001-03-06,21.0,21.375,20.0,20.0,257000,6.587789999999999
2001-03-07,20.7187,20.875,20.0625,20.625,175800,6.793658
2001-03-08,20.75,20.75,19.5,19.875,137000,6.546616
2001-03-09,19.9687,20.5,19.5,19.625,140000,6.464269
2001-03-12,19.25,19.625,18.125,18.125,255000,5.970184
2001-03-13,18.375,19.0,18.1875,18.875,229200,6.217226
2001-03-14,18.5,20.25,18.25,19.8125,184000,6.526029
2001-03-15,19.9375,20.5,19.875,20.25,57200,6.6701369999999995
2001-03-16,20.375,20.375,19.6875,19.6875,75800,6.4848550000000005
2001-03-19,19.6875,19.75,18.875,19.375,120800,6.381921
2001-03-20,19.5,20.5,19.125,19.125,309800,6.299574
2001-03-21,19.125,20.125,19.125,19.9375,75200,6.567203
2001-03-22,20.109301000000002,20.125,19.25,19.625,126800,6.464269
2001-03-23,20.0,20.625,19.625,20.0,339800,6.587789999999999
2001-03-26,20.0,20.625,19.875,20.25,491400,6.6701369999999995
2001-03-27,19.875,20.25,19.75,19.75,230800,6.5054419999999995
2001-03-28,19.625,19.875,18.0,18.75,172400,6.176053
2001-03-29,18.75,19.125,18.125,19.0625,129600,6.278987
2001-03-30,19.0,20.0,19.0,19.875,97200,6.546616
2001-04-02,19.375,20.0,19.375,19.75,125000,6.5054419999999995
2001-04-03,20.0,20.125,18.5,18.5,224600,6.093705
2001-04-04,18.875,20.25,18.375,20.0625,190000,6.608376
2001-04-05,20.25,20.375,19.9375,20.25,109600,6.6701369999999995
2001-04-06,20.125,20.125,19.0,19.125,138800,6.299574
2001-04-09,18.92,18.92,17.950001,18.25,801400,6.011358
2001-04-10,18.65,18.75,18.450001,18.549999,488200,6.110175
2001-04-11,18.9,18.9,18.26,18.32,347600,6.034415
2001-04-12,18.200001,18.5,18.1,18.1,120000,5.96195
2001-04-16,18.1,18.440001000000002,17.9,18.049999,149600,5.94548
2001-04-17,18.16,18.5,18.16,18.4,80600,6.060766
2001-04-18,18.549999,19.0,17.799999,18.0,599400,5.929011
2001-04-19,18.08,18.139999,18.0,18.0,258400,5.929011
2001-04-20,18.5,18.620001000000002,18.190001000000002,18.559998999999998,391200,6.113469
2001-04-23,18.5,18.5,18.35,18.469998999999998,151600,6.083824
2001-04-24,18.299999,18.5,18.26,18.4,135400,6.060766
2001-04-25,18.33,18.6,18.129998999999998,18.200001,366200,5.994889
2001-04-26,18.16,18.75,18.15,18.65,350600,6.143114
2001-04-27,18.75,20.049999,18.700001,20.049999,956000,6.604259
2001-04-30,20.75,23.049999,19.389999,21.0,1306400,6.917178999999999
2001-05-01,21.0,21.700001,21.0,21.540001,393600,7.09505
2001-05-02,21.65,22.0,20.91,21.0,754200,6.917178999999999
2001-05-03,21.0,21.200001,20.9,21.059998999999998,512600,6.936942
2001-05-04,21.08,22.139999,21.0,21.85,189000,7.19716
2001-05-07,22.0,22.0,21.530001000000002,21.799999,76000,7.180689999999999
2001-05-08,22.15,23.09,21.9,23.02,244000,7.582546000000001
2001-05-09,23.049999,23.5,23.0,23.41,108800,7.7110080000000005
2001-05-10,23.75,24.6,23.690001000000002,24.469998999999998,306400,8.06016
2001-05-11,24.459999,24.700001,23.799999,23.9,448400,7.872408999999999
2001-05-14,23.9,23.9,22.799999,22.799999,278200,7.51008
2001-05-15,23.0,23.85,22.610001,23.549999,375200,7.757122
2001-05-16,23.879998999999998,23.889999,22.700001,23.08,210600,7.602309
2001-05-17,23.4,24.790001,23.0,24.68,348400,8.129333
2001-05-18,24.690001000000002,24.700001,24.0,24.26,335600,7.990989
2001-05-21,24.110001,24.110001,23.450001,23.65,182800,7.790061
2001-05-22,23.5,23.9,22.9,23.0,337800,7.575958
2001-05-23,23.0,23.41,22.93,22.93,96600,7.552900999999999
2001-05-24,23.1,23.299999,23.0,23.299999,452400,7.674775
2001-05-25,23.299999,23.299999,22.950001,23.07,342200,7.599015
2001-05-29,23.049999,23.200001,22.01,22.049999,731200,7.263038000000001
2001-05-30,21.74,21.799999,19.9,20.299999,647200,6.686605999999999
2001-05-31,19.75,20.129998999999998,19.16,20.01,830400,6.5910839999999995
2001-06-01,19.940001000000002,20.1,19.82,20.01,571800,6.5910839999999995
2001-06-04,19.92,20.08,19.25,19.879998999999998,617800,6.5482629999999995
2001-06-05,19.629998999999998,21.799999,19.629998999999998,20.85,1325200,6.867771
2001-06-06,20.860001,22.4,20.65,21.309998999999998,1691400,7.01929
2001-06-07,21.48,22.450001,21.120001000000002,22.1,375800,7.279508
2001-06-08,22.559998999999998,22.93,22.15,22.6,436200,7.444202000000001
2001-06-11,22.51,22.6,21.799999,21.959999,275400,7.2333929999999995
2001-06-12,22.059998999999998,22.290001,21.9,22.15,212000,7.295977000000001
2001-06-13,22.370001000000002,22.65,21.75,22.0,297200,7.246569
2001-06-14,22.1,22.200001,21.9,22.0,178200,7.246569
2001-06-15,21.9,22.59,21.9,22.549999,155800,7.427733
2001-06-18,22.549999,22.6,22.200001,22.25,84200,7.328916
2001-06-19,22.41,22.549999,21.91,22.25,210000,7.328916
2001-06-20,22.200001,22.5,22.0,22.450001,185000,7.394794
2001-06-21,22.299999,22.35,21.9,22.08,163400,7.27292
2001-06-22,22.110001,22.57,22.059998999999998,22.5,394400,7.411263000000001
2001-06-25,22.450001,22.67,22.4,22.41,272600,7.381618
2001-06-26,22.540001,22.540001,22.35,22.35,210000,7.361855
2001-06-27,22.35,23.0,22.299999,22.99,316600,7.572664
2001-06-28,23.0,23.299999,22.65,22.99,311800,7.572664
2001-06-29,23.02,23.25,22.6,22.85,282400,7.52655
2001-07-02,23.110001,23.25,23.0,23.16,155400,7.628660000000001
2001-07-03,23.24,23.299999,23.0,23.16,75800,7.628660000000001
