Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,63.5,63.625,62.0625,62.4375,815400,24.030272
2000-01-04,61.625,62.0,61.0,61.1875,728000,23.549185
2000-01-05,61.1875,61.1875,60.25,60.75,556400,23.380805
2000-01-06,60.8125,60.8125,60.0,60.5625,590400,23.308642000000003
2000-01-07,60.4375,60.5,59.625,60.25,816000,23.188370000000003
2000-01-10,60.25,60.6875,60.125,60.5625,1099000,23.308642000000003
2000-01-11,60.5,61.8125,60.375,61.1875,966600,23.549185
2000-01-12,60.5,60.875,59.0625,59.25,857000,22.803501
2000-01-13,59.5,60.125,59.25,59.5,456400,22.899718
2000-01-14,60.0,60.75,59.9375,60.6875,2087000,23.356751000000003
2000-01-18,60.4375,62.5,60.0,62.3125,1931000,23.982163
2000-01-19,66.5,70.0,66.0,69.375,4421200,26.700302
2000-01-20,69.375,72.875,68.0,72.5,2339600,27.903018
2000-01-21,72.25,72.25,70.375,71.375,2595000,27.47004
2000-01-24,71.4375,72.0625,71.125,71.375,1283200,27.47004
2000-01-25,77.0,77.5,74.0,75.6875,5017000,29.129789000000002
2000-01-26,75.75,76.5,74.0,74.875,3005400,28.817083
2000-01-27,75.0625,75.5,74.4375,74.9375,3135000,28.841137
2000-01-28,74.9375,75.1875,70.375,71.0,21130400,27.325714
2000-01-31,70.25,71.5625,69.0625,70.1875,3028000,27.013008000000003
2000-02-01,70.1875,71.9375,70.0,71.3125,1882000,27.445985999999998
2000-02-02,71.875,71.875,70.75,71.4375,2016800,27.494095
2000-02-03,71.1875,72.0,70.625,72.0,1431000,27.710584000000004
2000-02-04,71.75,71.8125,70.5,70.9375,753000,27.30166
2000-02-07,70.125,70.9375,69.9375,70.75,1264400,27.229497
2000-02-08,70.0,72.0,69.9375,71.375,1374000,27.47004
2000-02-09,71.0,71.875,70.25,70.25,1080000,27.037063
2000-02-10,69.8125,70.625,69.8125,70.125,1158000,26.988954
2000-02-11,70.0625,70.0625,69.5,70.0,941000,26.940845
2000-02-14,70.25,70.25,68.625,69.3125,1137400,26.676247999999998
2000-02-15,69.75,70.125,68.0625,70.125,865600,26.988954
2000-02-16,69.6875,69.75,67.875,68.0,1008000,26.171107
2000-02-17,68.25,68.25,66.125,66.875,959600,25.738129
2000-02-18,68.0,69.5,66.6875,66.875,1838200,25.738129
2000-02-22,68.0,68.0625,66.625,67.625,1032600,26.026781
2000-02-23,67.0,67.4375,65.875,66.375,747600,25.545694
2000-02-24,66.625,66.75,64.25,64.8125,832200,24.944336
2000-02-25,65.5,69.5,64.625,68.9375,2004600,26.531921999999998
2000-02-28,69.75,70.0,68.6875,69.0625,956800,26.580029999999997
2000-02-29,69.0625,69.0625,67.375,68.125,842400,26.219215000000002
