Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,21.1875,21.1875,20.125,20.625,1145000,5.9189739999999995
2000-01-04,20.125,20.75,19.8125,20.0,1927200,5.739611
2000-01-05,20.125,20.4375,19.75,20.0,1285600,5.739611
2000-01-06,20.125,21.625,20.0,21.1875,577000,6.080401
2000-01-07,21.8125,22.4375,21.375,21.6875,563800,6.223891
2000-01-10,21.6875,21.8125,20.875,21.625,499400,6.205955
2000-01-11,21.875,22.375,21.25,22.25,780600,6.385318
2000-01-12,22.25,22.75,22.0,22.0,650400,6.313573
2000-01-13,22.0,23.1875,22.0,22.5,739400,6.457063
2000-01-14,22.5,23.875,22.375,23.375,754400,6.708171000000001
2000-01-18,23.125,24.0625,23.125,23.375,906600,6.708171000000001
2000-01-19,22.5,24.75,22.4375,24.25,812800,6.9592789999999995
2000-01-20,23.875,23.875,22.5,22.6875,621400,6.510872
2000-01-21,22.9375,24.25,22.9375,23.625,591600,6.779916
2000-01-24,23.5625,24.0625,22.875,23.25,671800,6.672298
2000-01-25,23.25,23.9375,22.9375,23.375,707400,6.708171000000001
2000-01-26,23.125,24.5,23.125,23.5,1347000,6.744043
2000-01-27,23.6875,24.25,22.75,22.9375,836000,6.582617
2000-01-28,23.0625,23.5625,22.5,22.625,503200,6.492935
2000-01-31,22.6875,23.5625,22.5,23.5,571800,6.744043
2000-02-01,23.375,24.0,23.125,24.0,291600,6.887534
2000-02-02,23.375,24.5,23.1875,23.25,640200,6.672298
2000-02-03,23.4375,24.0625,23.0625,23.5,570800,6.744043
2000-02-04,23.5,24.0,23.3125,23.5625,312000,6.76198
2000-02-07,23.3125,24.75,23.3125,24.625,436800,7.066897
2000-02-08,24.875,24.875,23.5,23.875,583000,6.851661
2000-02-09,23.875,23.875,23.0,23.0,742800,6.600553
2000-02-10,23.125,24.25,23.125,24.0625,485200,6.905469999999999
2000-02-11,23.875,24.375,23.6875,23.8125,521800,6.853663
2000-02-14,24.0,25.0,23.3125,24.75,987800,7.123492
2000-02-15,24.875,26.0,24.875,25.75,563600,7.41131
2000-02-16,25.625,26.375,25.3125,26.0,521000,7.483264999999999
2000-02-17,26.1875,26.4375,25.25,26.375,569200,7.591196000000001
2000-02-18,26.125,26.125,24.8125,24.875,338000,7.1594690000000005
2000-02-22,24.8125,25.0,23.75,24.3125,464200,6.997572
2000-02-23,24.25,24.25,23.625,23.6875,230400,6.817686
2000-02-24,23.1875,25.375,23.1875,25.125,604800,7.2314240000000005
2000-02-25,24.875,24.875,23.9375,24.3125,394400,6.997572
2000-02-28,23.875,25.4375,23.6875,25.3125,396400,7.28539
2000-02-29,25.0625,26.6875,25.0625,26.625,684200,7.663150999999999
2000-03-01,26.375,26.875,25.8125,26.875,778600,7.735105
2000-03-02,26.875,28.5625,26.875,28.25,769600,8.130855
2000-03-03,28.375,28.375,27.25,28.0,1317600,8.0589
2000-03-06,27.625,28.75,27.625,28.375,644800,8.166832000000001
2000-03-07,28.375,29.5625,28.375,29.125,734000,8.382695
2000-03-08,28.75,28.75,26.875,28.0,580600,8.0589
2000-03-09,28.0,28.0625,26.875,26.9375,656400,7.753094
2000-03-10,27.0,28.625,26.875,27.0,945400,7.771082000000001
2000-03-13,26.9375,27.9375,26.5625,27.25,893800,7.843037
2000-03-14,27.3125,27.3125,25.1875,26.375,458400,7.591196000000001
2000-03-15,26.375,26.4375,25.0625,25.75,363600,7.41131
2000-03-16,25.875,27.25,25.3125,27.25,803600,7.843037
2000-03-17,26.25,26.625,25.8125,26.375,487400,7.591196000000001
2000-03-20,26.4375,26.4375,25.25,25.5,353200,7.3393559999999995
2000-03-21,25.3125,26.875,25.3125,26.875,466000,7.735105
2000-03-22,26.25,28.1875,26.25,27.3125,714200,7.861025
2000-03-23,27.125,27.8125,26.875,27.4375,388600,7.897003
2000-03-24,27.4375,28.5,27.125,27.9375,1019600,8.040911999999999
2000-03-27,27.6875,28.875,27.2187,28.5,469200,8.202809
2000-03-28,28.25,28.9375,27.375,27.875,503800,8.022923
2000-03-29,27.25,29.0,27.125,28.875,634000,8.310741
2000-03-30,28.75,29.9375,28.6875,29.734301000000002,1396200,8.558063
2000-03-31,29.75,31.25,29.625,31.0,1931000,8.922353999999999
2000-04-03,31.125,32.0,30.5625,31.8125,866800,9.156206
2000-04-04,31.8125,31.8125,28.75,30.3125,744800,8.724478999999999
2000-04-05,30.3125,30.625,29.3125,29.4375,728600,8.472638
2000-04-06,30.0,30.75,29.875,30.5,542200,8.778445
2000-04-07,30.375,31.5,30.375,31.0625,702600,8.940342
2000-04-10,30.8125,30.8125,28.75,29.0625,518600,8.364707000000001
2000-04-11,30.0,30.875,29.8125,30.75,695000,8.850399000000001
2000-04-12,30.625,32.3125,30.625,32.25,833400,9.282126
2000-04-13,31.625,32.25,30.25,30.375,483200,8.742467999999999
2000-04-14,30.625,31.75,30.0,30.6875,980000,8.832411
2000-04-17,30.6875,30.8125,29.0,29.9375,789800,8.616547
2000-04-18,29.375,31.3125,29.375,30.75,865400,8.850399000000001
2000-04-19,30.0,31.3125,29.875,30.125,661600,8.670513
2000-04-20,30.125,31.75,30.125,31.375,637600,9.030286
2000-04-24,31.375,32.25,30.75,30.75,731400,8.850399000000001
2000-04-25,30.6875,31.625,30.1875,30.375,563600,8.742467999999999
2000-04-26,30.3125,31.4375,29.25,31.0625,755800,8.940342
2000-04-27,30.5,32.375,30.5,31.4375,552000,9.048274000000001
2000-04-28,31.375,31.8125,31.0,31.3125,421400,9.012297
2000-05-01,31.1875,31.9375,30.375,31.1875,457600,8.97632
2000-05-02,31.0,32.5,30.875,31.9375,548800,9.192183
2000-05-03,31.875,32.375,31.0,31.5,654400,9.066263000000001
2000-05-04,31.25,32.8125,31.25,32.3125,659400,9.300115
2000-05-05,32.375,34.3125,32.375,34.125,1160200,9.821785
2000-05-08,34.0,35.5,33.875,33.9375,884800,9.767819
2000-05-09,33.75,34.1875,33.125,33.8125,552200,9.731842
2000-05-10,33.9375,33.9375,32.25,32.6875,482200,9.408046
2000-05-11,32.375,33.5625,32.0625,33.5,575600,9.662591
2000-05-12,33.375,34.0,32.75,33.9375,293600,9.788781
2000-05-15,34.0625,36.375,33.625,36.0,982800,10.38368
2000-05-16,35.375,35.9375,34.125,35.4375,688800,10.221435000000001
2000-05-17,34.9375,36.3125,34.75,36.3125,710800,10.473816000000001
2000-05-18,36.1875,36.1875,34.5625,35.0,544200,10.095244000000001
2000-05-19,35.0,35.125,34.5625,34.6875,276400,10.005108
2000-05-22,34.5625,34.75,33.625,33.8125,633800,9.752727
2000-05-23,33.1875,34.875,33.1875,34.8125,669600,10.041163000000001
2000-05-24,34.8125,35.25,33.375,34.1875,848000,9.86089
2000-05-25,34.1875,34.3125,33.25,34.0625,475600,9.824836
2000-05-26,34.625,35.125,34.4375,34.5,424800,9.951025999999999
2000-05-30,34.4375,35.625,34.4375,34.6875,474200,10.005108
2000-05-31,34.625,37.375,34.625,37.25,823600,10.744224
2000-06-01,37.125,37.3125,35.875,36.75,737800,10.600006
2000-06-02,37.0,37.5,34.8125,34.8125,599800,10.041163000000001
2000-06-05,34.625,35.9375,33.3125,33.375,721400,9.626536
2000-06-06,33.625,35.8125,33.625,35.375,365600,10.203408
2000-06-07,35.375,35.6875,34.25,35.0625,662200,10.113271000000001
2000-06-08,35.1875,36.9375,35.1875,36.9375,515800,10.654088
2000-06-09,36.8125,36.8125,35.0625,35.3125,482600,10.18538
2000-06-12,35.4375,37.75,35.4375,37.25,680200,10.744224
2000-06-13,37.125,37.9375,36.375,36.5625,509400,10.545925
2000-06-14,36.5625,38.0,35.5625,36.0625,411400,10.401707
2000-06-15,36.625,37.6875,36.0,36.5,732000,10.527898
2000-06-16,35.625,36.9375,35.625,36.9375,868400,10.654088
2000-06-19,37.0625,37.0625,35.0,36.25,548000,10.455789
2000-06-20,36.0625,36.625,34.5625,36.0,941400,10.38368
2000-06-21,35.875,37.75,35.4375,37.75,907200,10.888442
2000-06-22,37.75,38.0,35.4375,36.1875,869000,10.437761
2000-06-23,36.1875,37.6875,36.1875,37.125,555800,10.708169999999999
2000-06-26,37.1875,37.5,34.9375,35.5,505600,10.239462
2000-06-27,35.5,35.625,34.8125,35.4375,871600,10.221435000000001
2000-06-28,35.4375,35.4375,34.0,34.0625,618400,9.824836
2000-06-29,34.125,35.1875,34.125,34.8125,759800,10.041163000000001
2000-06-30,34.1875,37.390598,33.75,37.390598,2297800,10.784778
2000-07-03,37.0625,37.0625,35.3125,35.6875,500200,10.293544
2000-07-05,35.75,35.75,32.875,33.1875,700800,9.572455
2000-07-06,33.125,34.3125,32.9375,33.1875,577000,9.572455
2000-07-07,33.3125,33.625,32.625,32.9375,326200,9.500346
2000-07-10,32.6875,33.375,31.8125,32.6875,660800,9.428237
2000-07-11,32.5625,35.125,32.5625,35.0,1131000,10.095244000000001
2000-07-12,35.1875,35.1875,33.4375,33.5,565200,9.662591
2000-07-13,33.5,33.5,32.5937,33.0625,604400,9.5364
2000-07-14,33.3125,34.0,32.875,33.6875,317200,9.716673
2000-07-17,33.625,33.625,31.9375,32.25,705400,9.302046
2000-07-18,32.25,34.25,32.25,33.25,600800,9.590482000000002
2000-07-19,33.0,33.5625,32.5625,33.0625,421000,9.5364
2000-07-20,33.0,33.125,31.6875,32.875,980000,9.482319
2000-07-21,33.0,33.0,31.6875,32.0,631200,9.229938
2000-07-24,31.875,32.1875,30.8125,31.0,701800,8.941502
2000-07-25,31.0,31.6875,29.75,29.875,863400,8.617011999999999
2000-07-26,29.875,30.5,29.6875,30.0625,688400,8.671094
2000-07-27,30.125,31.375,30.125,30.8125,810800,8.88742
2000-07-28,31.1875,31.6875,30.75,31.5625,424600,9.103747
2000-07-31,31.625,32.0,31.0,32.0,365000,9.229938
2000-08-01,31.8125,32.9375,31.8125,32.75,362400,9.446264
2000-08-02,32.9375,33.8125,32.9375,33.25,542200,9.590482000000002
2000-08-03,34.0,34.0,33.25,33.5,782400,9.662591
2000-08-04,33.625,34.125,32.8125,33.5625,448600,9.680617999999999
2000-08-07,33.6875,34.75,33.3125,34.265598,323800,9.883417
2000-08-08,34.3125,35.0,34.125,34.3125,206200,9.896945
2000-08-09,34.625,35.4375,34.125,34.9375,618600,10.077217
2000-08-10,34.9375,35.1875,34.5,34.8125,361600,10.041163000000001
2000-08-11,34.6875,35.375,33.75,35.1875,383400,10.171239
2000-08-14,35.0625,36.5,35.0625,36.375,360200,10.514496000000001
2000-08-15,36.625,37.125,34.875,35.3125,443400,10.207371
2000-08-16,35.5625,38.5,34.625,38.5,659400,11.128744000000001
2000-08-17,35.625,36.375,35.4375,36.125,720400,10.442231
2000-08-18,36.3125,36.3125,35.0625,35.625,380000,10.297702000000001
2000-08-21,36.0,36.3125,35.4375,35.75,342600,10.333834
2000-08-22,35.8125,36.25,35.75,36.25,306600,10.478363
2000-08-23,36.625,37.5625,36.625,37.375,624200,10.803554
2000-08-24,37.375,37.4375,35.75,36.125,238000,10.442231
2000-08-25,36.375,36.375,35.4375,36.25,254000,10.478363
2000-08-28,36.25,37.4375,35.8125,36.75,351000,10.622892
2000-08-29,36.75,38.1875,36.5625,37.0625,397400,10.713223
2000-08-30,37.0,37.4375,36.0625,36.8125,309400,10.640959
2000-08-31,36.125,37.4375,36.125,36.9375,386200,10.677091
2000-09-01,36.9375,37.375,36.375,37.375,205600,10.803554
2000-09-05,37.5625,37.6875,36.3125,36.9375,265000,10.677091
2000-09-06,37.625,38.5,37.375,38.3125,392600,11.074546
2000-09-07,38.3125,38.3125,37.3125,38.0,254800,10.984214999999999
2000-09-08,38.0,38.0,36.625,37.5,484800,10.839686
2000-09-11,37.5625,38.625,37.25,37.8125,631000,10.930017
2000-09-12,37.9375,38.4375,37.125,37.875,457800,10.948083
2000-09-13,37.875,37.875,35.8125,35.8125,794000,10.3519
2000-09-14,36.0625,37.25,35.625,36.8125,484800,10.640959
2000-09-15,36.75,38.0,36.75,37.4375,433600,10.82162
2000-09-18,37.25,37.875,35.6875,36.0,614000,10.406099000000001
2000-09-19,36.0,36.0,35.0,35.4375,454600,10.243503
2000-09-20,35.8125,36.5,34.25,34.5625,908400,9.990577
2000-09-21,34.0,35.3125,33.0,33.0,531800,9.538924
2000-09-22,32.9375,34.5625,32.9375,33.8125,615000,9.773784
2000-09-25,33.5,34.375,33.0,34.0625,745600,9.846048
2000-09-26,34.3125,34.875,34.1875,34.25,335400,9.900247
2000-09-27,34.75,35.4375,34.125,35.3125,407200,10.207371
2000-09-28,35.375,35.5,34.5,35.25,290400,10.189305000000001
2000-09-29,35.625,36.8125,35.5,36.125,477600,10.442231
2000-10-02,36.1875,36.75,35.0,36.6875,372600,10.604826
2000-10-03,37.0,37.0,36.0,36.4375,454200,10.532561999999999
2000-10-04,36.1875,36.1875,34.25,34.3125,454600,9.918313000000001
2000-10-05,34.25,34.375,33.125,33.75,437400,9.755718
2000-10-06,34.0,35.4375,34.0,34.25,354400,9.900247
2000-10-09,34.625,35.125,33.5625,34.5,435400,9.972511
2000-10-10,34.9375,35.9375,34.8125,35.5,399200,10.261569999999999
2000-10-11,36.0,37.375,34.8125,36.3125,582800,10.496429
2000-10-12,36.3125,37.6875,36.125,37.5,573600,10.839686
2000-10-13,37.8125,37.8125,35.875,36.1875,573200,10.460297
2000-10-16,36.1875,36.1875,33.5,33.9375,695800,9.809916000000001
2000-10-17,34.1875,34.9375,34.0625,34.375,477800,9.936378999999999
2000-10-18,34.3125,34.875,33.1875,34.0,340600,9.827982
2000-10-19,34.1875,35.125,33.5625,34.0625,249000,9.846048
2000-10-20,34.25,35.375,33.75,35.25,469600,10.189305000000001
2000-10-23,35.25,35.25,33.3125,34.0,424600,9.827982
2000-10-24,33.875,34.125,32.75,33.0625,526400,9.556989999999999
2000-10-25,33.0,33.0625,31.0625,31.25,626000,9.033072
2000-10-26,32.125,33.25,31.9375,32.8125,853600,9.484725
2000-10-27,32.8125,32.875,31.375,31.75,989800,9.177601
2000-10-30,30.5,32.625,30.5,31.3125,583000,9.051138
2000-10-31,31.5625,32.1875,30.9375,31.4375,529600,9.08727
2000-11-01,31.6875,33.6875,31.6875,33.6875,604400,9.737651
2000-11-02,33.5,33.5,31.5625,32.3125,856200,9.340196
2000-11-03,31.0,32.75,30.9375,31.8125,794600,9.195667
2000-11-06,31.8125,31.8125,29.875,30.25,1065000,8.744014
2000-11-07,30.9375,32.0625,30.8125,32.0,713800,9.249866
2000-11-08,31.625,32.5625,31.5625,32.25,369000,9.32213
2000-11-09,32.125,32.1875,30.25,31.0,441800,8.960807
2000-11-10,31.0,31.5,29.875,30.125,552600,8.707881
2000-11-13,30.0625,30.5625,28.8125,28.9375,680800,8.385501
2000-11-14,29.1875,31.0625,28.875,30.9375,1728600,8.965060000000001
2000-11-15,31.5,32.75,31.5,32.5625,646200,9.435952
2000-11-16,32.4375,33.8125,32.125,33.25,966000,9.635176
2000-11-17,33.25,33.25,32.1875,32.5,865600,9.417841000000001
2000-11-20,32.75,33.6875,32.0625,32.5,663200,9.417841000000001
2000-11-21,32.5,33.8125,32.5,33.25,415200,9.635176
2000-11-22,33.0,33.0,31.8125,32.125,473000,9.309174
2000-11-24,32.3125,33.8125,32.125,33.5625,206000,9.725732
2000-11-27,33.5625,33.8125,32.5625,33.1875,435600,9.617065
2000-11-28,32.875,34.1875,32.6875,32.8125,463800,9.508397
2000-11-29,32.875,32.875,30.875,31.4375,693400,9.10995
2000-11-30,31.0625,31.8125,29.125,29.8125,428400,8.639058
2000-12-01,30.3125,31.75,29.625,30.5,652200,8.838282000000001
2000-12-04,31.25,31.6875,31.0,31.4375,559600,9.10995
2000-12-05,31.3125,32.0,31.25,31.5625,664400,9.146172
2000-12-06,31.8125,32.75,31.8125,32.3125,494600,9.363507
2000-12-07,32.3125,33.875,32.3125,33.6875,541800,9.761954
2000-12-08,33.6875,35.0,33.375,35.0,519400,10.14229
2000-12-11,35.125,36.5625,35.125,36.5625,794000,10.595071
2000-12-12,36.0625,36.9375,35.8125,36.5,454200,10.57696
2000-12-13,36.375,37.25,36.0,36.375,600000,10.540737
2000-12-14,36.3125,37.1875,34.875,35.0625,537400,10.160402000000001
2000-12-15,35.0,36.5,35.0,36.0625,546600,10.450181
2000-12-18,36.6875,38.5,36.6875,38.3125,1024600,11.102186
2000-12-19,39.125,39.75,38.5,38.5625,684200,11.174631
2000-12-20,38.5,38.5,37.3125,38.1875,717600,11.065963
2000-12-21,38.125,38.9375,37.5,38.9375,579400,11.283298
2000-12-22,39.0625,40.0625,39.0625,40.0,849800,11.591189
2000-12-26,39.9375,44.0,39.9375,43.1875,1233200,12.514861999999999
2000-12-27,43.0,43.9375,41.6875,43.5625,1001400,12.623529
2000-12-28,43.4375,44.8125,43.3125,44.1875,569400,12.804641
2000-12-29,44.0,44.6875,43.0,43.875,897800,12.714085
2001-01-02,44.125,44.6875,43.0,43.875,860400,12.714085
2001-01-03,43.0625,43.0625,40.1875,42.0625,1053400,12.18886
2001-01-04,42.0625,42.0625,39.5,40.8125,793400,11.826635000000001
2001-01-05,40.875,41.875,40.5,40.75,783200,11.808524
2001-01-08,40.75,42.125,40.75,41.1875,662600,11.935302
2001-01-09,41.6875,42.8125,41.0625,41.625,609200,12.062081
2001-01-10,42.0,43.75,42.0,43.125,1247600,12.496751
2001-01-11,43.625,43.9375,42.75,43.875,803400,12.714085
2001-01-12,43.75,43.75,42.5625,43.25,577400,12.532973
2001-01-16,43.125,43.3125,41.75,42.75,820600,12.388083
2001-01-17,42.8125,42.8125,40.75,41.0625,1320400,11.89908
2001-01-18,41.0625,41.0625,38.0625,39.625,885200,11.482522
2001-01-19,39.125,40.4375,38.3125,39.75,785400,11.518744
2001-01-22,39.875,41.375,39.875,40.875,747800,11.844746
2001-01-23,40.875,42.5625,40.875,42.5,805400,12.315638
2001-01-24,42.5,43.9375,42.0625,43.625,799200,12.641639999999999
2001-01-25,43.6875,47.375,43.6875,46.5625,2739600,13.492868
2001-01-26,46.625,47.1875,45.0,46.375,1250600,13.438535
2001-01-29,46.57,48.77,46.549999,47.880001,1750000,13.874653
2001-01-30,47.889998999999996,48.369999,47.25,47.299999,970400,13.706581
2001-01-31,47.299999,47.98,47.279999,47.810001,884200,13.854369
2001-02-01,47.990002000000004,47.990002000000004,46.509997999999996,46.599998,662200,13.503735
2001-02-02,46.630001,48.200001,46.630001,47.990002000000004,1027800,13.906529
2001-02-05,48.09,50.240002000000004,47.98,50.02,1801600,14.494782
2001-02-06,50.400002,50.5,49.299999,50.27,1431600,14.567226999999999
2001-02-07,50.299999,53.0,49.75,52.91,1490600,15.332245
2001-02-08,52.700001,52.700001,51.18,52.0,2014000,15.068546
2001-02-09,52.0,53.700001,51.650002,52.759997999999996,1242200,15.288778
2001-02-12,52.759997999999996,53.189999,52.009997999999996,52.799999,904400,15.300369
2001-02-13,52.470001,54.5,52.16,54.07,975800,15.690679000000001
2001-02-14,54.07,54.900002,53.759997999999996,54.0,669400,15.670364999999999
2001-02-15,53.849998,53.849998,52.009997999999996,52.110001000000004,904600,15.121903
2001-02-16,52.200001,53.799999,52.200001,52.900002,1278000,15.351154999999999
2001-02-20,52.349998,54.200001,52.349998,54.049999,1354800,15.684875
2001-02-21,54.25,54.599998,52.400002,53.82,1160800,15.618131
2001-02-22,52.75,52.82,49.759997999999996,50.919998,1286800,14.776573
2001-02-23,50.720001,51.82,49.830002,51.330002,876800,14.895553
2001-02-26,51.27,52.75,51.09,52.700001,1474800,15.293116
2001-02-27,52.950001,53.259997999999996,51.950001,52.939999,669400,15.362760999999999
2001-02-28,52.939999,52.939999,51.5,51.889998999999996,622200,15.058060000000001
2001-03-01,51.889998999999996,52.700001,51.82,52.279999,884000,15.171235000000001
2001-03-02,52.369999,54.490002000000004,52.369999,54.400002,938200,15.786442000000001
2001-03-05,54.75,55.98,54.599998,55.400002,844200,16.076634
2001-03-06,57.0,57.200001,56.119999,56.68,1692600,16.448079999999997
2001-03-07,57.049999,58.68,56.91,58.509997999999996,1139200,16.979129999999998
2001-03-08,58.509997999999996,58.73,56.860001000000004,58.009997999999996,1061800,16.834034
2001-03-09,58.200001,58.689999,57.0,57.509997999999996,647400,16.688938
2001-03-12,58.060001,58.099998,55.0,55.07,867200,15.980870999999999
2001-03-13,55.07,55.07,52.119999,52.360001000000004,1214800,15.194451
2001-03-14,50.66,53.299999,50.509997999999996,51.34,1223200,14.898454999999998
2001-03-15,51.34,51.349998,49.029999,49.650002,1339600,14.408031
2001-03-16,49.650002,50.990002000000004,48.540001000000004,48.889998999999996,970000,14.187484
2001-03-19,48.900002,50.939999,48.900002,50.939999,869600,14.782376999999999
2001-03-20,50.709998999999996,53.099998,50.709998999999996,52.310001,1334600,15.179941
2001-03-21,52.200001,52.580002,50.419998,51.830002,1308800,15.040648999999998
2001-03-22,51.299999,51.349998,48.400002,50.23,1025200,14.576341000000001
2001-03-23,50.48,52.18,49.369999,51.689999,791800,15.000020999999998
2001-03-26,52.700001,53.200001,51.009997999999996,51.75,740800,15.017432999999999
2001-03-27,51.950001,51.950001,49.400002,51.209998999999996,795800,14.860729000000001
2001-03-28,49.349998,49.900002,48.5,48.75,931600,14.146857
2001-03-29,47.75,47.75,45.669998,45.990002000000004,1044400,13.345928
2001-03-30,45.990002000000004,47.349998,45.900002,46.299999,1589800,13.435887
2001-04-02,46.709998999999996,46.709998999999996,43.900002,44.689999,1288400,12.968678
2001-04-03,44.599998,45.150002,42.799999,43.279999,859200,12.559507
2001-04-04,43.799999,45.860001000000004,43.799999,45.02,1102000,13.064442
2001-04-05,45.200001,47.669998,44.779999,47.0,836600,13.639022
2001-04-06,46.75,48.299999,45.049999,47.169998,786200,13.688354
2001-04-09,47.419998,49.18,47.279999,48.150002,1339800,13.972743
2001-04-10,48.950001,50.049999,48.049999,49.68,682000,14.416735999999998
2001-04-11,49.68,49.68,48.099998,48.419998,602000,14.051094
2001-04-12,48.419998,50.450001,48.419998,49.34,1258200,14.318071
2001-04-16,49.740002000000004,50.939999,49.740002000000004,50.5,547200,14.654693
2001-04-17,50.5,51.310001,49.5,50.09,912200,14.535715
2001-04-18,50.0,50.540001000000004,48.41,48.740002000000004,823400,14.143956
2001-04-19,48.75,48.75,46.0,47.200001,1237000,13.69706
