Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,43.5,43.875,41.6875,41.8125,939200,6.3788800000000005
2000-01-04,42.25,44.5,40.125,40.6875,4182800,6.207251
2000-01-05,41.0,44.875,41.0,44.5,4955200,6.788883
2000-01-06,44.0,44.375,42.625,44.0625,1614800,6.722138
2000-01-07,44.1875,46.0,44.1875,45.5625,1527200,6.950977000000001
2000-01-10,45.4375,45.625,44.6875,45.1875,828400,6.8937669999999995
2000-01-11,45.0,48.0,44.8125,47.625,2268800,7.265630000000001
2000-01-12,47.625,48.25,46.625,47.5,1739200,7.246560000000001
2000-01-13,47.375,47.5,46.375,47.375,1216800,7.2274899999999995
2000-01-14,47.25,47.25,46.25,46.5625,1292800,7.103536
2000-01-18,46.4375,46.6875,46.0,46.125,1086800,7.036791
2000-01-19,46.0,46.625,45.8125,45.875,1524400,6.998652000000001
2000-01-20,45.375,45.4375,44.6875,45.25,721200,6.903302
2000-01-21,45.25,45.25,44.125,44.9375,1639200,6.855627
2000-01-24,45.125,45.25,43.625,43.8125,1156800,6.683998
2000-01-25,43.9375,43.9375,42.5625,43.5,1735600,6.636324
2000-01-26,43.75,44.375,43.3125,43.6875,1256800,6.664928
2000-01-27,43.75,44.625,43.25,43.8125,1490800,6.683998
2000-01-28,43.625,43.75,42.5,43.75,1366000,6.674463
2000-01-31,43.75,43.75,43.0,43.125,1068000,6.579114
2000-02-01,43.125,44.0,42.375,42.5625,1871600,6.4932989999999995
2000-02-02,42.375,44.6875,42.3125,44.5,1673600,6.788883
2000-02-03,44.5625,45.6875,44.5625,45.375,2622800,6.922372
2000-02-04,45.125,46.0,44.625,46.0,1538800,7.017721000000001
2000-02-07,45.625,45.6875,45.3125,45.4375,1466000,6.931907000000001
2000-02-08,45.375,45.875,45.0625,45.3125,1636000,6.912837
2000-02-09,45.1875,45.1875,42.8125,43.0625,1392400,6.569578999999999
2000-02-10,43.0,43.25,42.3125,43.125,1899200,6.579114
2000-02-11,43.0625,43.5,43.0,43.1875,1075200,6.588649
2000-02-14,43.1875,43.3125,42.75,42.75,1627200,6.521904
2000-02-15,42.9375,43.375,42.375,43.375,1233200,6.617253999999999
2000-02-16,43.25,43.9375,42.75,42.9375,1738000,6.550509
2000-02-17,43.0,43.0,40.5625,40.6875,1798800,6.207251
2000-02-18,40.875,41.5625,39.5,40.375,1432400,6.159576
2000-02-22,40.375,41.1875,39.9375,40.4375,1156000,6.169111
2000-02-23,40.1875,41.1875,40.1875,40.6875,1468000,6.207251
2000-02-24,41.125,42.5,41.125,42.5,3400800,6.483764
