Date,Open,High,Low,Close,Volume,Adj Close
2000-07-28,29.875,42.25,29.5,39.171879,18615200,19.585939
2000-07-31,38.25,38.6875,31.5,35.0,2481800,17.5
2000-08-01,34.8125,40.125,33.0,35.5,1216200,17.75
2000-08-02,33.625,39.0,33.5625,38.125,856400,19.0625
2000-08-03,38.125,47.75,37.0,44.25,1368000,22.125
2000-08-04,45.484379,45.5,39.75,40.9375,1284200,20.46875
2000-08-07,42.9375,48.25,39.0,42.25,565600,21.125
2000-08-08,42.1875,44.5,40.5625,40.984379,329600,20.492189
2000-08-09,41.6875,42.8125,40.0,42.8125,326800,21.40625
2000-08-10,42.625,47.25,41.5,45.0,657800,22.5
2000-08-11,44.9375,45.0,41.875,41.875,394800,20.9375
2000-08-14,42.625,42.75,39.625,40.0,473400,20.0
2000-08-15,40.4375,41.0,39.0,40.0,307000,20.0
2000-08-16,42.0625,43.75,41.75,42.625,554200,21.3125
2000-08-17,42.375,43.875,41.875,41.875,487200,20.9375
2000-08-18,41.875,47.0,41.875,44.0,164800,22.0
2000-08-21,44.0,47.75,44.0,45.1875,314400,22.59375
2000-08-22,45.25,45.25,42.125,42.125,362600,21.0625
2000-08-23,42.5,44.0,40.75,41.125,332400,20.5625
2000-08-24,41.25,41.875,39.875,40.015621,214000,20.007811
2000-08-25,40.0625,42.375,40.0625,41.75,558400,20.875
2000-08-28,43.625,43.75,40.75,41.625,319200,20.8125
2000-08-29,41.625,42.5,41.375,42.5,172400,21.25
2000-08-30,41.75,42.0,39.4375,40.0,842800,20.0
2000-08-31,39.875,47.25,39.875,44.75,890600,22.375
2000-09-01,46.0,47.0,43.5,46.625,376200,23.3125
2000-09-05,47.125,47.4375,43.0,45.75,192000,22.875
2000-09-06,46.8125,46.8125,41.75,42.0,443000,21.0
2000-09-07,43.75,45.0,41.125,45.0,324800,22.5
2000-09-08,45.0,45.0,42.375,42.9375,353000,21.46875
2000-09-11,43.0,44.0,40.375,41.125,601600,20.5625
2000-09-12,41.25,41.625,39.0,40.75,247800,20.375
2000-09-13,39.906239,41.0,35.125,36.5,617400,18.25
2000-09-14,36.906239,37.625,35.875,37.0,275800,18.5
2000-09-15,37.0,38.0,36.5,37.75,232200,18.875
2000-09-18,35.5,37.0,32.1875,34.0,342000,17.0
2000-09-19,34.0,35.1875,33.0,33.3125,567200,16.65625
2000-09-20,33.875,35.1875,32.625,34.0,483200,17.0
2000-09-21,35.4375,35.625,34.875,35.375,72400,17.6875
2000-09-22,34.0625,39.875,34.0625,39.25,174400,19.625
2000-09-25,40.531239,40.875,39.5,39.875,534800,19.9375
2000-09-26,40.0,40.0,39.0,39.8125,599200,19.90625
2000-09-27,39.375,42.75,39.375,41.625,148200,20.8125
2000-09-28,40.75,43.875,40.75,43.75,109800,21.875
2000-09-29,43.75,51.625,43.0,45.375,470000,22.6875
2000-10-02,47.25,48.75,44.0,45.75,91600,22.875
2000-10-03,45.5625,46.3125,37.375,40.0,161800,20.0
2000-10-04,39.625,39.625,35.25,36.125,388000,18.0625
2000-10-05,36.5,37.375,35.5,35.625,286200,17.8125
2000-10-06,36.0,36.0,30.0,30.0625,543200,15.03125
2000-10-09,32.0,32.9375,29.25,30.75,1147400,15.375
2000-10-10,30.890619,32.75,30.25,32.5,689000,16.25
2000-10-11,32.078121,33.5,31.5,32.0,149000,16.0
2000-10-12,32.5,32.75,31.0,32.25,310600,16.125
2000-10-13,32.0,35.125,31.75,35.125,56600,17.5625
2000-10-16,36.0,40.0,35.3125,35.5,255600,17.75
2000-10-17,35.25,37.125,35.125,36.1875,228400,18.09375
2000-10-18,34.5,35.5,33.0,34.75,92200,17.375
2000-10-19,35.6875,36.875,32.5,34.625,64400,17.3125
2000-10-20,33.5,34.5,33.0,33.0,108000,16.5
2000-10-23,34.25,34.375,32.125,34.0,132200,17.0
2000-10-24,34.5,34.625,33.25,34.125,415200,17.0625
2000-10-25,34.125,38.0,32.8125,36.0,124200,18.0
2000-10-26,35.125,38.875,35.125,38.75,502400,19.375
2000-10-27,40.0,40.234379,36.5,36.5,463600,18.25
2000-10-30,36.5,36.5,31.0,32.5,160200,16.25
2000-10-31,32.5,33.0,31.875,32.5,117000,16.25
2000-11-01,32.75,33.875,32.0,33.5625,512400,16.78125
2000-11-02,34.0,36.375,33.375,35.625,337000,17.8125
2000-11-03,34.25,37.25,34.25,36.5,119600,18.25
2000-11-06,38.125,42.0,37.875,40.625,512200,20.3125
2000-11-07,40.734379,41.0,40.0,41.0,181200,20.5
2000-11-08,41.125,41.125,40.5,40.625,46000,20.3125
2000-11-09,40.625,41.0,38.4375,38.875,347000,19.4375
2000-11-10,38.25,39.1875,38.0,38.0,159200,19.0
2000-11-13,38.015621,38.015621,32.25,37.0,170800,18.5
2000-11-14,37.265621,37.875,32.75,33.9375,81800,16.96875
2000-11-15,33.5,34.0,31.5,31.75,226800,15.875
2000-11-16,32.5,32.5,25.375,25.375,524200,12.6875
2000-11-17,25.515619,26.875,21.625,22.875,397400,11.4375
2000-11-20,23.0,23.625,21.375,21.375,415400,10.6875
2000-11-21,21.375,22.125,21.3125,21.3125,2234000,10.65625
2000-11-22,20.78124,21.625,14.375,16.0,474600,8.0
2000-11-24,16.0,20.625,16.0,19.5,561400,9.75
2000-11-27,20.375,20.375,17.5,19.1875,646200,9.59375
2000-11-28,19.0,19.375,16.3125,17.75,408400,8.875
2000-11-29,17.75,18.625,17.625,18.0625,384000,9.03125
2000-11-30,16.75,18.3125,15.0625,18.3125,208800,9.15625
2000-12-01,19.0,20.0,18.625,19.25,883000,9.625
2000-12-04,19.9375,20.1875,19.25,19.625,146200,9.8125
2000-12-05,21.0,25.0,20.375,24.125,412800,12.0625
2000-12-06,24.125,24.375,22.875,23.375,199600,11.6875
2000-12-07,22.75,24.25,22.25,23.25,463000,11.625
2000-12-08,23.5,23.75,20.6875,22.75,153400,11.375
2000-12-11,22.0,22.375,21.0,21.0,120200,10.5
2000-12-12,20.5625,22.875,20.5,21.875,793800,10.9375
2000-12-13,22.375,24.0,22.25,22.5625,736800,11.28125
2000-12-14,22.5625,22.5625,21.0,21.625,110800,10.8125
2000-12-15,23.359381,23.375,20.625,23.0,96800,11.5
2000-12-18,22.78124,24.125,22.75,23.625,407800,11.8125
2000-12-19,23.5,24.5,21.625,21.75,459200,10.875
2000-12-20,20.5,20.5,17.0,17.875,157400,8.9375
2000-12-21,19.0,20.25,17.875,18.0,539400,9.0
2000-12-22,19.296881,21.75,18.375,19.0,122400,9.5
2000-12-26,18.640619,18.6875,17.75,17.875,46400,8.9375
2000-12-27,18.375,18.625,16.75,17.5,154600,8.75
2000-12-28,17.875,18.0,16.5,17.0,183200,8.5
2000-12-29,17.0,17.0,15.375,16.0625,470000,8.03125
2001-01-02,16.0,16.5,15.0,15.25,145200,7.625
2001-01-03,15.234379999999998,15.25,11.75,13.8125,177800,6.90625
2001-01-04,15.25,16.0,13.75,14.125,632800,7.0625
2001-01-05,14.125,14.125,11.5,11.9375,699000,5.96875
2001-01-08,13.0,14.25,8.125,8.875,507600,4.4375
