Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,57.6875,57.6875,53.5625,54.3125,948700,45.295103000000005
2000-01-04,54.0,54.0,49.75,50.0,1250200,41.698599
2000-01-05,49.9375,49.9375,48.125,48.875,1522800,40.76038
2000-01-06,49.0,50.0625,47.875,49.0,984800,40.864627
2000-01-07,49.5,50.875,48.875,50.75,1341700,42.324078
2000-01-10,49.75,52.5,49.6875,52.3125,1541100,43.627159000000006
2000-01-11,52.0,52.4375,51.375,52.0625,1126900,43.418665999999995
2000-01-12,52.0,52.375,51.625,51.875,1129800,43.262296
2000-01-13,51.875,53.0,51.75,52.25,992700,43.575036
2000-01-14,52.5,53.625,52.125,53.25,1451400,44.409008
2000-01-18,52.625,54.4375,52.375,54.0,805500,45.034487
2000-01-19,54.0,55.9375,53.5,55.5625,1375700,46.337568
2000-01-20,55.5625,55.5625,53.1875,53.3125,645500,44.461131
2000-01-21,52.3125,53.125,51.5625,52.75,1050900,43.992022
2000-01-24,52.75,52.75,50.5625,50.875,465700,42.428323999999996
2000-01-25,50.6875,51.5,50.4375,50.9375,916900,42.480447999999996
2000-01-26,50.9375,51.5625,49.75,50.6875,609400,42.271955
2000-01-27,50.9375,51.1875,47.5,48.375,1005500,40.343394
2000-01-28,48.75,48.75,46.3125,47.0,753300,39.196683
2000-01-31,47.0,47.0,45.25,46.0,850900,38.362711
2000-02-01,46.125,48.375,45.75,48.1875,941500,40.187025
2000-02-02,48.0,49.3125,47.875,48.3125,682400,40.291271
2000-02-03,48.25,49.875,48.25,49.0,772000,40.864627
2000-02-04,49.3125,50.3125,49.1875,50.0625,661900,41.750721999999996
2000-02-07,49.875,50.0,49.25,49.5,750400,41.281613
2000-02-08,49.9375,50.75,49.9375,50.375,734200,42.011338
2000-02-09,49.75,49.8125,47.375,47.75,1043400,39.822162
2000-02-10,48.0,48.25,46.6875,46.9375,923600,39.14456
2000-02-11,46.25,46.75,45.8125,46.0625,1173400,38.414834
2000-02-14,46.0,46.125,45.75,45.875,545900,38.258464000000004
2000-02-15,45.9375,46.125,45.4375,45.9375,735400,38.310588
2000-02-16,46.0,46.0,45.5,45.6875,846100,38.102095
2000-02-17,45.9375,45.9375,44.5,44.5625,803000,37.163876
2000-02-18,44.6875,45.75,44.5,44.875,1430100,37.424492
2000-02-22,45.5,45.875,44.625,45.0,1046100,37.528739
2000-02-23,44.75,45.375,42.875,43.0,1360800,35.860795
2000-02-24,42.0,42.625,39.9375,42.125,2390900,35.200653
2000-02-25,41.875,41.9375,36.0,38.3125,5279000,32.014837
2000-02-28,38.0,39.3125,37.0,39.1875,1546800,32.746008
2000-02-29,39.875,41.0,39.5,40.1875,1960300,33.581631
2000-03-01,40.1875,41.5,39.6875,41.5,1644400,34.678388
2000-03-02,41.0,41.375,40.5,41.375,1151700,34.573935
2000-03-03,40.875,42.4375,40.75,42.1875,838200,35.252879
2000-03-06,42.1875,42.1875,40.875,41.3125,893200,34.521708000000004
2000-03-07,41.0625,41.125,40.0625,40.125,1555500,33.529405
2000-03-08,40.0625,40.1875,38.6875,39.5,938300,33.00714
2000-03-09,39.25,39.25,36.625,37.625,1907600,31.440346
2000-03-10,37.4375,37.9375,36.5,37.0,1581100,30.918081
2000-03-13,37.0,37.4375,36.375,37.0625,1133900,30.970307000000002
2000-03-14,37.5,38.5,37.125,38.0,1351300,31.753704
2000-03-15,38.125,38.75,37.875,38.0,1539800,31.753704
2000-03-16,38.625,40.8125,38.3125,40.8125,1311800,34.103896
2000-03-17,40.8125,42.4375,40.8125,42.125,1454200,35.200653
2000-03-20,42.375,43.5,41.0,41.5625,1171200,34.730614
2000-03-21,41.5625,41.75,40.75,41.3125,977500,34.521708000000004
2000-03-22,40.9375,42.625,40.875,42.4375,685900,35.461785
2000-03-23,42.5,43.75,42.1875,43.375,1278300,36.245182
2000-03-24,43.5,44.0,43.375,43.75,1121800,36.558541
2000-03-27,44.125,47.5,44.0,45.6875,1602600,38.177562
2000-03-28,45.875,46.5625,45.6875,46.0625,917600,38.490921
2000-03-29,46.125,48.5,45.9375,48.25,2002900,40.318847999999996
2000-03-30,48.0625,48.9375,47.5,48.0625,1088600,40.162169
2000-03-31,47.8125,48.3125,47.1875,47.25,932000,39.483225
2000-04-03,47.25,47.5,46.75,47.375,637100,39.587678000000004
2000-04-04,48.25,49.1875,46.4375,47.25,1979500,39.483225
2000-04-05,47.25,47.375,45.875,47.0625,882500,39.326545
2000-04-06,47.0,48.75,46.9375,48.25,869900,40.318847999999996
2000-04-07,48.125,48.25,46.5,47.4375,788400,39.639904
2000-04-10,47.375,47.375,46.3125,46.625,1445800,38.96096
2000-04-11,46.625,46.75,45.625,45.875,926500,38.334241999999996
2000-04-12,46.0,46.0625,44.0,44.875,1037900,37.498618
2000-04-13,44.375,44.375,42.6875,43.5625,1147100,36.401862
2000-04-14,43.0,43.0,39.125,40.9375,1364600,34.208349
2000-04-17,39.125,39.375,37.1875,38.0,2191600,31.753704
2000-04-18,38.625,39.25,38.0,38.4375,2573000,32.11929
2000-04-19,38.6875,39.1875,38.0625,38.5,1287200,32.171516
2000-04-20,38.6875,39.1875,38.5625,39.125,961500,32.693781
2000-04-24,39.125,39.625,38.25,38.8125,939300,32.432649
2000-04-25,39.0,40.0625,39.0,39.6875,1620000,33.16382
2000-04-26,42.25,42.75,41.25,41.25,2866600,34.469482
2000-04-27,39.75,41.125,39.75,40.75,1924600,34.05167
2000-04-28,40.75,41.625,40.75,41.0,808600,34.260576
2000-05-01,41.125,41.8125,40.125,41.0,562500,34.260576
2000-05-02,41.25,41.5,40.25,40.25,449500,33.633858000000004
2000-05-03,39.5,40.3125,39.1875,39.8125,813400,33.268273
2000-05-04,40.25,41.875,39.9375,41.5625,944700,34.730614
2000-05-05,41.125,42.75,40.75,42.1875,653800,35.252879
2000-05-08,42.0,42.125,40.6875,41.75,470700,34.887294
2000-05-09,41.5,42.8125,41.0,42.5,968100,35.514012
2000-05-10,42.625,42.875,42.1875,42.4375,729000,35.461785
2000-05-11,42.3125,43.1875,41.625,41.75,521400,34.887294
2000-05-12,42.0,43.8125,42.0,43.375,861900,36.245182
2000-05-15,43.0,43.25,42.25,42.75,407600,35.722916999999995
2000-05-16,44.0,44.5,43.25,43.9375,653900,36.715221
2000-05-17,43.375,43.875,43.0,43.5,513700,36.349635
2000-05-18,43.625,43.75,42.1875,42.75,465700,35.722916999999995
2000-05-19,42.625,42.75,41.0625,41.75,827500,34.887294
2000-05-22,42.0,42.125,40.8125,41.0625,421400,34.312802000000005
2000-05-23,41.25,41.75,40.5625,41.4375,519600,34.626160999999996
2000-05-24,40.75,41.4375,40.375,41.1875,710200,34.417255
2000-05-25,41.0625,42.0625,40.5625,41.6875,795500,34.915601
2000-05-26,42.0,42.125,41.375,41.75,670200,34.967948
2000-05-30,41.8125,43.1875,41.75,43.1875,679100,36.171935
2000-05-31,43.1875,43.6875,42.5,42.9375,610800,35.962546
2000-06-01,42.6875,43.5,42.125,43.0625,748800,36.067240000000005
2000-06-02,43.875,45.1875,43.75,44.875,855300,37.58531
2000-06-05,44.625,46.3125,44.625,45.625,626100,38.213476
2000-06-06,45.0,45.375,44.0,44.75,639800,37.480615
2000-06-07,44.1875,44.625,43.75,44.375,306600,37.166532000000004
2000-06-08,44.25,44.375,43.375,44.0,495200,36.852447999999995
2000-06-09,44.0,44.5,43.75,44.1875,249400,37.00949
2000-06-12,44.5625,44.875,43.1875,43.53125,499700,36.459844
2000-06-13,43.25,44.4375,43.1875,44.0625,430800,36.904796000000005
2000-06-14,44.3125,45.3125,44.1875,44.625,1135000,37.375921000000005
2000-06-15,44.875,45.875,44.625,45.25,1118700,37.899392999999996
2000-06-16,45.1875,47.0,45.1875,46.8125,1877800,39.208073999999996
2000-06-19,46.5625,47.5,45.3125,47.4375,988300,39.731546
2000-06-20,47.375,47.5,46.25,47.5,933200,39.783893
2000-06-21,47.5,47.5,46.8125,47.1875,461500,39.522157
2000-06-22,47.0625,47.4375,46.125,46.3125,1050700,38.789296
2000-06-23,46.3125,46.3125,46.0,46.3125,759200,38.789296
2000-06-26,46.375,46.375,44.4375,44.75,551800,37.480615
2000-06-27,44.875,44.875,43.75,43.875,601300,36.747754
2000-06-28,43.9375,43.9375,42.625,42.84375,1264500,35.884025
2000-06-29,42.9375,43.25,42.375,42.75,1059900,35.805504
