Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,22.0,22.3125,20.25,20.25,3011300,13.203423999999998
2000-01-04,20.0,21.3125,20.0,20.9375,3593500,13.651688
2000-01-05,21.25,21.625,20.5,21.0625,1721200,13.733191
2000-01-06,21.0,21.75,21.0,21.375,1750700,13.936947
2000-01-07,21.75,22.0625,21.1875,21.4375,2203200,13.977699
2000-01-10,21.375,21.5,20.5625,20.625,1361000,13.447932000000002
2000-01-11,20.5,20.75,19.75,19.9375,2236100,12.999667
2000-01-12,20.0,21.25,20.0,21.1875,3562400,13.814693
2000-01-13,21.4375,21.4375,20.5625,20.75,2871700,13.529434
2000-01-14,20.75,20.9375,20.5,20.5,1609300,13.366429
2000-01-18,21.0,21.25,19.75,20.0,3763800,13.040419
2000-01-19,20.0625,20.75,20.0,20.6875,2270500,13.488682999999998
2000-01-20,20.5,20.6875,20.375,20.5625,2321600,13.407179999999999
2000-01-21,20.75,21.1875,20.625,21.0,2340600,13.69244
2000-01-24,20.9375,21.0625,19.5625,19.5625,1917000,12.755158999999999
2000-01-25,19.5625,19.9375,19.125,19.25,2022500,12.551403
2000-01-26,19.4375,20.0625,19.25,20.0625,2020300,13.08117
2000-01-27,19.9375,20.0,19.0,19.4375,2236300,12.673657
2000-01-28,19.0,19.9375,18.3125,18.875,2213200,12.306894999999999
2000-01-31,18.3125,18.875,18.1875,18.5,1528600,12.062387
2000-02-01,18.75,18.875,18.375,18.6875,737300,12.184641000000001
2000-02-02,18.4375,18.8125,18.1875,18.6875,1633700,12.184641000000001
2000-02-03,18.625,18.9375,18.5,18.625,1830200,12.143889999999999
2000-02-04,18.75,19.3125,18.375,19.125,2012900,12.4699
2000-02-07,19.25,19.5,18.25,18.75,1633700,12.225392
2000-02-08,18.3125,18.375,17.875,18.375,2110300,11.980885
2000-02-09,17.875,18.5,17.875,18.375,1863800,11.980885
2000-02-10,18.0625,18.5,18.0625,18.3125,1814500,11.940133
2000-02-11,18.125,18.3125,17.375,17.5,1821000,11.410366
2000-02-14,17.75,18.125,17.5,18.0625,1839400,11.777128
2000-02-15,18.0,18.1875,17.8125,18.125,1273200,11.817879
2000-02-16,17.5,18.0625,17.5,17.75,1630600,11.573372
2000-02-17,17.9375,18.25,17.8125,18.0,4412100,11.736377000000001
2000-02-18,17.75,17.875,17.0,17.4375,1651200,11.369615
2000-02-22,17.0625,18.0,17.0625,18.0,1411100,11.736377000000001
2000-02-23,17.9375,17.9375,17.5,17.8125,1358100,11.614123
2000-02-24,17.625,17.6875,17.1875,17.5625,1248100,11.451118
2000-02-25,17.625,17.9375,17.5625,17.75,1691300,11.573372
2000-02-28,17.5625,17.625,17.125,17.5,1022400,11.410366
2000-02-29,17.4375,17.875,17.125,17.4375,1285400,11.369615
2000-03-01,17.4375,17.6875,17.375,17.6875,1331700,11.53262
2000-03-02,17.5,17.5625,17.0,17.125,1398200,11.235735
2000-03-03,17.0625,17.1875,16.875,17.0,1733200,11.153722
2000-03-06,17.75,18.25,17.75,18.0,3775600,11.809823
2000-03-07,18.0,18.0,17.3125,17.3125,1289900,11.358754
2000-03-08,17.25,17.625,17.25,17.625,2051400,11.563785000000001
2000-03-09,17.5,17.5,17.0,17.125,1706700,11.235735
2000-03-10,17.125,17.125,16.6875,16.8125,2631700,11.030702999999999
2000-03-13,16.8125,17.0,16.625,16.9375,1434800,11.112716
2000-03-14,17.0,17.0,16.5,16.625,1853600,10.907684
2000-03-15,16.625,17.1875,16.5,17.125,4062700,11.235735
2000-03-16,17.1875,18.25,17.0,18.0625,3771400,11.850829
2000-03-17,18.0625,18.75,17.625,18.0,6524300,11.809823
2000-03-20,18.0,18.0,17.625,17.7656,1103600,11.656033
