Date,Open,High,Low,Close,Volume,Adj Close
2010-04-28,22.25,22.25,21.700001,22.0,5244400,15.200695000000001
2010-04-29,22.0,23.25,21.9,23.0,8773600,15.891635999999998
2010-04-30,22.950001,23.0,22.25,22.299999,1644400,15.407976999999999
2010-05-03,22.75,22.950001,22.65,22.799999,3302700,15.753447
2010-05-04,22.799999,22.799999,21.5,21.5,2276500,14.855225
2010-05-05,22.0,22.0,20.0,20.59,6999200,14.226469
2010-05-06,20.5,20.549999,18.450001,19.450001,8029400,13.438797000000001
2010-05-07,19.5,19.549999,17.9,18.6,3881500,12.851497
2010-05-10,19.75,19.85,18.700001,19.01,3861100,13.134782000000001
2010-05-11,18.75,19.280001000000002,18.75,18.9,2626900,13.058779
2010-05-12,19.200001,20.040001,19.200001,19.799999,5714300,13.680625
2010-05-13,19.85,20.1,19.6,19.65,2475900,13.576984
2010-05-14,19.299999,19.4,18.75,18.75,3133400,12.955138
2010-05-17,19.0,19.200001,18.700001,18.85,10117000,13.024232000000001
2010-05-18,19.049999,19.32,18.25,18.790001,6219800,12.982776
2010-05-19,18.9,18.93,17.549999,17.700001,6227700,12.229650999999999
2010-05-20,17.139999,17.139999,16.200001,16.9,10248400,11.676897
2010-05-21,16.35,17.120001000000002,16.25,16.549999,4560800,11.435068
2010-05-24,16.700001,17.15,16.68,16.9,1761300,11.676897
2010-05-25,16.790001,16.790001,16.200001,16.57,4649600,11.448887
2010-05-26,16.99,17.4,16.799999,17.15,2079300,11.849632000000001
2010-05-27,17.65,18.0,17.65,17.9,3156100,12.367838
2010-05-28,17.9,17.9,16.25,17.77,222200,12.278016000000001
2010-06-01,17.65,17.799999,17.200001,17.5,900800,12.091462
2010-06-02,17.610001,17.66,17.219998999999998,17.33,829900,11.974002
2010-06-03,17.450001,17.5,17.15,17.33,2173600,11.974002
2010-06-04,17.049999,17.1,16.75,17.049999,3147200,11.780538
2010-06-07,17.15,17.200001,16.74,16.889999,2826800,11.669988
2010-06-08,17.030001000000002,17.030001000000002,16.5,16.75,2037700,11.573256
2010-06-09,16.790001,17.1,16.700001,16.790001,1410200,11.600895
2010-06-10,16.969998999999998,17.07,16.85,16.969998999999998,1401000,11.725263
2010-06-11,16.940001000000002,17.190001000000002,16.940001000000002,17.139999,452500,11.842723
2010-06-14,17.190001000000002,17.58,17.190001000000002,17.49,1008500,12.084552
2010-06-15,17.48,18.0,17.35,17.969998999999998,1974300,12.416203999999999
2010-06-16,17.93,17.969998999999998,17.629998999999998,17.639999,1041500,12.188193
2010-06-17,17.68,17.75,17.139999,17.299999,1090600,11.953273
2010-06-18,17.33,17.35,17.15,17.209999,1373700,11.891088
2010-06-21,17.450001,17.530001000000002,17.09,17.1,514100,11.815086
2010-06-22,17.09,17.1,16.799999,16.84,1502900,11.635441
2010-06-23,16.9,16.950001,16.6,16.65,1125700,11.504161999999999
2010-06-24,16.690001000000002,16.92,16.35,16.799999,2151600,11.607803
2010-06-25,16.9,16.92,16.700001,16.82,612000,11.621622
2010-06-28,16.870001000000002,16.870001000000002,16.700001,16.870001000000002,355800,11.65617
2010-06-29,16.74,16.74,16.25,16.25,2561000,11.227786
2010-06-30,16.27,16.5,16.15,16.15,1534100,11.158692
2010-07-01,16.24,16.299999,15.4,15.55,4006100,10.744128
2010-07-02,15.58,15.69,15.4,15.48,231700,10.695761
2010-07-06,15.5,15.59,14.9,15.06,833700,10.405567
2010-07-07,15.05,15.15,14.86,15.0,2137200,10.36411
2010-07-08,14.95,15.15,14.95,15.05,2422200,10.398657
2010-07-09,15.1,16.02,15.0,15.8,1478700,10.916863000000001
2010-07-12,15.82,16.02,15.8,15.82,786100,10.930681
2010-07-13,15.83,16.5,15.83,16.4,1647300,11.331427
