Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,39.9375,40.0625,38.9375,39.625,4520600,25.849083
2000-01-04,39.3125,39.5625,38.375,38.8125,4216500,25.319055
2000-01-05,38.8125,40.375,38.8125,39.4375,5231600,25.726769
2000-01-06,39.125,39.375,38.6875,38.875,4809400,25.359826
2000-01-07,39.0,40.0,38.875,39.875,5124700,26.012169
2000-01-10,40.0,41.0,39.75,40.0625,4113900,26.134483
2000-01-11,40.125,41.5,40.125,41.0,5440200,26.746055
2000-01-12,40.9375,43.0625,40.625,42.75,8090000,27.887655
2000-01-13,42.6875,43.625,41.875,42.3125,5700200,27.602255
2000-01-14,42.8125,42.8125,41.875,42.609299,3365400,27.795869
2000-01-18,42.375,42.5,41.1875,41.5,3401100,27.072226
2000-01-19,41.0,42.625,41.0,42.375,3344700,27.643026000000003
2000-01-20,42.5625,42.5625,41.0,42.5625,3309700,27.765340000000002
2000-01-21,41.625,41.875,40.4375,41.0625,3722600,26.786826
2000-01-24,41.25,41.4375,39.5,39.5,3593500,25.76754
2000-01-25,39.75,40.25,39.1875,39.8125,3304500,25.971398
2000-01-26,39.625,39.625,34.6875,35.75,16703200,23.321254999999997
2000-01-27,36.0,37.9375,35.875,37.625,12082200,24.544398
2000-01-28,37.125,37.4375,36.375,36.75,4444200,23.973598000000003
2000-01-31,37.25,38.0,37.125,37.375,4838300,24.381312
2000-02-01,37.4375,37.5625,36.5,36.625,4679500,23.892055
2000-02-02,36.625,36.75,35.375,35.5,5769100,23.158169
2000-02-03,35.5625,36.1875,34.4375,35.0,9225700,22.831998000000002
2000-02-04,35.875,35.875,34.625,35.125,7752200,22.913541
2000-02-07,35.25,35.625,34.0,34.9375,9992900,22.791226
2000-02-08,36.0,37.625,35.5,36.3125,12144800,23.688198
2000-02-09,36.6875,36.6875,35.375,35.875,5915400,23.402798
2000-02-10,35.5,36.25,35.125,35.5,5353400,23.158169
2000-02-11,35.0625,35.4375,34.8125,34.9375,3920500,22.791226
2000-02-14,35.3125,35.3125,33.3125,33.875,4426400,22.098112
2000-02-15,33.75,34.125,33.4375,33.75,4669200,22.016569
2000-02-16,33.75,34.4375,33.25,33.375,3804900,21.771941
2000-02-17,33.5625,34.0625,33.375,33.75,4272000,22.016569
2000-02-18,33.5625,33.6875,32.3125,32.5,5494900,21.201141
2000-02-22,32.25,33.1875,32.1875,32.3125,4479500,21.078827
2000-02-23,32.4375,33.375,32.375,32.625,4927400,21.282684
2000-02-24,32.125,32.375,31.0,31.375,6154300,20.467254999999998
2000-02-25,31.5,31.8125,30.75,31.0,4551200,20.222627
2000-02-28,31.25,31.6875,30.625,31.125,3880600,20.304170000000003
2000-02-29,31.75,32.4375,31.5625,31.75,4883900,20.711884
2000-03-01,31.875,31.9375,31.125,31.25,4969800,20.385711999999998
2000-03-02,31.125,31.4375,30.75,30.875,4884600,20.141084
2000-03-03,31.0,32.3125,30.5625,32.3125,5193900,21.078827
2000-03-06,32.5,32.5,31.125,31.5625,4175100,20.589570000000002
2000-03-07,31.5,31.5625,29.8125,29.875,6183300,19.488741
2000-03-08,30.375,31.25,30.0,30.75,4015900,20.059541
2000-03-09,30.625,32.0,30.0,32.0,4779200,20.874969
2000-03-10,31.4375,32.375,31.0,31.75,4819200,20.711884
2000-03-13,32.0,32.4375,31.3125,32.4375,5659700,21.160369
2000-03-14,32.4375,32.5,30.0625,30.5,5235700,19.896455
2000-03-15,30.6875,32.875,30.4375,32.5,7044600,21.201141
2000-03-16,33.375,34.375,32.75,34.0625,8241900,22.220426
2000-03-17,35.0,35.1875,33.75,33.8125,5463000,22.057341
2000-03-20,34.25,34.875,34.125,34.5625,2736000,22.546598
2000-03-21,34.75,35.5,34.5,35.25,4239900,22.995084
2000-03-22,35.25,35.75,35.0,35.25,3754000,22.995084
2000-03-23,34.0,35.9375,33.9375,35.1875,4034900,22.954311999999998
2000-03-24,35.125,35.9375,34.6875,34.8125,3188100,22.709684
2000-03-27,34.1875,35.1875,34.125,34.75,2189900,22.668912
2000-03-28,34.0,35.375,34.0,35.125,2963500,22.913541
2000-03-29,34.875,37.0625,34.8125,36.8125,5292800,24.014369
2000-03-30,36.8125,38.25,36.8125,37.625,4939100,24.544398
2000-03-31,37.875,37.9375,36.8125,37.375,3738300,24.381312
2000-04-03,37.8125,38.625,37.5625,38.5,4459400,25.115198
2000-04-04,38.6875,39.3125,37.6875,38.5312,5145500,25.135551
2000-04-05,38.0,38.625,37.25,38.5625,4143600,25.155969
2000-04-06,37.75,38.0625,36.875,37.0,4124100,24.136682999999998
2000-04-07,36.375,37.3125,36.125,37.0,3155400,24.136682999999998
2000-04-10,36.875,36.9375,35.875,36.375,3234600,23.728969
2000-04-11,36.125,37.75,35.875,37.6875,3354100,24.585169
2000-04-12,37.25,38.1875,36.3125,36.3125,4548200,23.688198
2000-04-13,36.0,36.0,34.125,34.125,7400300,22.261198
2000-04-14,33.5625,34.8125,33.0,33.5625,5744700,21.894254999999998
2000-04-17,33.5,34.125,33.0625,33.6875,4728900,21.975798
2000-04-18,33.75,33.8125,31.9375,32.5,5440000,21.201141
2000-04-19,32.9375,33.1875,32.5,33.0625,3473000,21.568084
2000-04-20,34.0,36.0,33.75,35.8125,7009700,23.362026
2000-04-24,35.25,39.0,35.125,39.0,9601600,25.441369
2000-04-25,38.9375,39.4375,38.1875,38.75,3975100,25.278283
2000-04-26,38.375,39.375,38.375,38.875,3479300,25.359826
2000-04-27,38.125,39.125,38.0625,38.8125,2904600,25.319055
2000-04-28,38.5625,38.75,37.5625,38.0625,2936500,24.829798
2000-05-01,38.0,39.3125,38.0,38.875,3089100,25.359826
2000-05-02,38.375,39.625,38.3125,39.1875,3129800,25.563682999999997
2000-05-03,38.25,38.6875,37.0625,37.3125,5243800,24.340541
2000-05-04,36.625,36.6875,35.5625,35.75,6515400,23.321254999999997
2000-05-05,35.5,36.1875,35.0,35.6875,4968100,23.280484
2000-05-08,35.75,36.125,35.1875,35.8125,3115600,23.362026
2000-05-09,36.25,37.1875,36.1875,37.0,3165700,24.136682999999998
2000-05-10,37.1875,38.8125,37.125,38.625,5995500,25.196741
2000-05-11,38.5,38.8125,38.125,38.1875,3185200,24.911341
2000-05-12,38.25,38.25,37.25,37.5625,2410500,24.503626
2000-05-15,37.4375,38.5625,37.375,38.1875,2840100,24.911341
2000-05-16,38.8125,39.25,38.4375,39.1875,2753400,25.563682999999997
2000-05-17,38.6875,39.3125,38.3125,39.0625,2017900,25.48214
2000-05-18,38.8125,39.0625,38.5625,38.625,1933700,25.196741
2000-05-19,37.8125,38.75,37.625,37.8125,2985300,24.666712
2000-05-22,37.875,39.125,37.8125,38.875,3145000,25.359826
2000-05-23,38.375,39.25,37.75,39.125,2757100,25.522911999999998
2000-05-24,39.125,39.9375,38.125,38.75,5108400,25.278283
2000-05-25,38.0,38.5625,37.125,37.3125,3453100,24.340541
2000-05-26,37.25,37.9375,37.1875,37.75,3130700,24.625941
2000-05-30,37.0,37.0625,35.9375,36.5625,4210200,23.851283
2000-05-31,36.0,36.5625,35.3125,35.8125,3880700,23.362026
2000-06-01,35.5625,35.8125,35.25,35.625,2979100,23.239712
2000-06-02,36.125,36.3125,35.1875,36.125,3701800,23.565884
2000-06-05,36.0,36.0,35.25,35.5,1957900,23.158169
2000-06-06,35.125,35.625,34.875,35.125,3577600,22.913541
2000-06-07,35.125,35.3125,34.3125,34.875,2518000,22.750455
2000-06-08,34.5,35.75,34.5,35.4375,3312300,23.117398
2000-06-09,35.5,36.0,31.625,33.875,15301500,22.098112
2000-06-12,33.25,33.3125,32.0,32.625,8145700,21.282684
2000-06-13,32.25,33.1875,32.0625,32.375,6046900,21.119598
