Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,21.437519,21.437519,20.062481,20.25,839600,4.399099
2000-01-04,20.187519,20.187519,19.375,19.562481,911200,4.249743
2000-01-05,19.375,20.062481,19.312481,19.375,1540000,4.209015
2000-01-06,19.25,21.062481,19.187519,20.5,2677200,4.453409
2000-01-07,20.687519,21.125,20.625,20.812481,1256800,4.521292
2000-01-10,20.875,20.875,20.0,20.125,1205200,4.371944
2000-01-11,20.062481,20.75,20.062481,20.5,677600,4.453409
2000-01-12,20.5,20.562481,20.187519,20.312481,589600,4.412673000000001
2000-01-13,20.375,20.625,20.25,20.562481,1234400,4.466982
2000-01-14,20.312481,20.375,19.437519,19.937519,1082800,4.331216
2000-01-18,20.187519,22.25,20.187519,21.875,4741600,4.752113
2000-01-19,21.625,22.187519,21.375,22.062481,2240800,4.792842
2000-01-20,22.125,22.187519,21.812481,22.0,2066400,4.779268
2000-01-21,22.375,23.187519,22.375,22.437519,1889200,4.874315
2000-01-24,22.687519,23.25,21.437519,21.437519,964400,4.657075
2000-01-25,21.437519,21.687519,20.75,21.0,1358800,4.562029
2000-01-26,21.25,21.5,20.75,20.75,1199200,4.507719
2000-01-27,20.75,20.937519,20.125,20.5,1587600,4.453409
2000-01-28,20.312481,20.687519,19.937519,20.0,1055200,4.344789
2000-01-31,20.187519,20.75,20.0,20.062481,1082800,4.358363
2000-02-01,20.25,21.437519,20.062481,21.312481,2078400,4.629912
2000-02-02,21.25,22.375,21.125,21.125,2538000,4.5891839999999995
2000-02-03,21.5,22.625,21.5,22.187519,2930800,4.820005
2000-02-04,22.0,23.0,21.437519,21.437519,1830800,4.657075
2000-02-07,21.437519,22.625,21.437519,22.312481,1367600,4.8471519999999995
2000-02-08,22.375,22.687519,21.375,21.437519,1909200,4.657075
2000-02-09,21.375,21.625,20.625,20.625,1239600,4.480564
2000-02-10,20.625,22.125,20.562481,22.062481,1200000,4.792842
2000-02-11,22.062481,22.437519,21.375,21.375,1179200,4.651928
2000-02-14,21.562481,22.062481,21.5,21.625,738800,4.706336
2000-02-15,21.75,23.0,21.75,22.75,1274400,4.951175
2000-02-16,22.625,22.75,22.375,22.625,1619600,4.92397
2000-02-17,22.812481,23.437519,22.312481,22.937519,2508400,4.991985
2000-02-18,22.812481,23.0,21.75,22.187519,1489200,4.82876
2000-02-22,22.187519,22.375,21.437519,21.75,810000,4.733541000000001
2000-02-23,21.687519,21.937519,20.812481,21.187519,1131200,4.6111260000000005
2000-02-24,21.062481,21.187519,20.812481,20.937519,2065200,4.556717
2000-02-25,20.75,20.75,20.375,20.625,762400,4.488702
2000-02-28,21.25,22.375,21.187519,21.5,1988800,4.679132
2000-02-29,21.687519,22.812481,21.687519,22.5,1389600,4.896766
2000-03-01,22.75,24.375,22.28124,23.75,2625600,5.1688089999999995
2000-03-02,24.625,27.0,24.437519,26.187519,2502400,5.6992959999999995
2000-03-03,26.25,26.375,24.75,25.562481,1413200,5.5632660000000005
2000-03-06,25.312481,26.0,25.25,25.5,961600,5.549668
2000-03-07,25.75,29.312481,25.75,29.0,3309200,6.311388
2000-03-08,28.625,29.687519,27.937519,28.812481,3350000,6.270576999999999
2000-03-09,29.375,30.0,28.25,28.5,2909600,6.20257
2000-03-10,28.25,29.062481,27.312481,27.375,1709600,5.957732
2000-03-13,27.375,28.312481,26.937519,27.062481,914400,5.889717
2000-03-14,27.0,27.75,26.0,27.562481,2443600,5.998533999999999
2000-03-15,27.437519,27.562481,26.562481,27.312481,1425200,5.944126
2000-03-16,27.187519,28.812481,27.187519,28.562481,1804400,6.216168
2000-03-17,28.562481,28.562481,27.437519,28.062481,950400,6.107351
2000-03-20,28.187519,28.5,27.5,28.5,1879600,6.20257
2000-03-21,28.125,29.125,27.812481,28.125,1110400,6.120958
2000-03-22,28.25,28.5,27.687519,28.0,1442000,6.0937529999999995
2000-03-23,28.0,28.0,27.187519,28.0,1048000,6.0937529999999995
2000-03-24,27.875,29.437519,27.875,28.812481,2346800,6.270576999999999
2000-03-27,28.687519,28.687519,27.625,28.375,1426800,6.175366
2000-03-28,28.125,28.937519,28.125,28.437519,1809200,6.188973000000001
2000-03-29,28.187519,30.562481,28.187519,30.312481,3785200,6.597028
2000-03-30,30.187519,32.625,30.187519,32.125,3845200,6.991494
2000-03-31,32.5,33.625,32.312481,32.812481,4690800,7.141113000000001
2000-04-03,32.812481,34.25,32.625,33.75,1836800,7.345149
2000-04-04,34.0,34.875,31.875,31.937519,1832800,6.950692
2000-04-05,31.812481,32.25,30.562481,31.125,1784000,6.773860000000001
2000-04-06,31.0,31.437519,30.812481,31.375,1971600,6.828268
2000-04-07,31.375,31.625,30.437519,30.562481,1695600,6.651437
2000-04-10,30.562481,30.625,29.375,29.625,1784000,6.4474089999999995
2000-04-11,29.375,30.125,29.125,30.0,2804400,6.529022
2000-04-12,30.75,32.375,30.562481,31.937519,2288800,6.950692
2000-04-13,31.5,32.437519,31.5,31.875,3719200,6.937085000000001
2000-04-14,31.75,32.437519,31.125,31.625,1594000,6.882677
2000-04-17,30.75,31.187519,30.125,30.375,1370800,6.610633999999999
2000-04-18,30.125,31.937519,30.125,31.812481,2260000,6.9234789999999995
2000-04-19,31.687519,33.375,31.5,33.375,2570400,7.263536
2000-04-20,33.375,33.625,32.75,33.562481,992000,7.304339
2000-04-24,33.562481,35.25,33.562481,35.25,2050000,7.6716
2000-04-25,35.312481,36.562481,35.312481,35.875,2248400,7.807622
2000-04-26,35.875,35.937519,34.375,34.625,1874800,7.535578999999999
2000-04-27,34.687519,36.125,34.687519,35.625,1781200,7.753213000000001
2000-04-28,35.875,36.5,35.875,36.062481,1614000,7.8484240000000005
2000-05-01,36.312481,39.5,36.312481,39.062481,4446800,8.501325999999999
2000-05-02,39.062481,39.812481,38.75,39.562481,1914000,8.610142999999999
2000-05-03,39.812481,39.875,36.437519,37.25,2758800,8.106867999999999
2000-05-04,37.187519,39.625,36.687519,39.437519,2299200,8.592172999999999
2000-05-05,39.687519,39.875,38.437519,38.937519,2117200,8.483239
2000-05-08,38.687519,39.937519,38.187519,38.875,3163600,8.469619
2000-05-09,39.0,39.625,38.25,39.437519,1344400,8.592172999999999
2000-05-10,39.187519,39.75,38.562481,39.687519,1255200,8.64664
2000-05-11,39.75,42.0,39.75,41.875,2169600,9.123223
2000-05-12,41.875,42.375,39.375,41.562481,2562800,9.055135
2000-05-15,41.062481,41.125,39.75,40.0,3549600,8.71472
2000-05-16,40.437519,40.437519,38.875,39.625,2456000,8.63302
2000-05-17,39.312481,40.562481,39.125,40.437519,1746400,8.810041
2000-05-18,40.5,40.937519,40.0,40.187519,1200400,8.755574000000001
2000-05-19,39.0,39.5,39.0,39.5,1418000,8.605786
2000-05-22,39.75,40.187519,38.437519,38.75,1150000,8.442385
2000-05-23,38.75,39.937519,38.687519,38.687519,1262000,8.428772
2000-05-24,38.875,38.875,37.562481,37.875,1217600,8.251750999999999
2000-05-25,38.062481,38.125,37.187519,37.687519,809200,8.210904
2000-05-26,37.875,38.5,37.5,37.75,1418000,8.224517
2000-05-30,37.875,38.25,37.812481,38.125,898000,8.306218
2000-05-31,37.937519,39.312481,37.937519,39.312481,3809200,8.564932
2000-06-01,39.5,39.562481,37.5,38.437519,1850800,8.374305
2000-06-02,38.75,39.625,37.312481,37.375,2393600,8.142816999999999
2000-06-05,37.625,38.25,35.75,36.25,3882000,7.897715
2000-06-06,36.437519,37.875,36.312481,37.375,2335200,8.142816999999999
2000-06-07,37.625,37.687519,35.625,37.625,2356800,8.197284
2000-06-08,37.375,38.812481,37.375,37.937519,1531600,8.265371
2000-06-09,38.0,38.312481,37.437519,37.937519,946000,8.265371
2000-06-12,37.937519,39.062481,37.937519,38.625,978000,8.415152
2000-06-13,38.875,39.0,37.75,37.812481,1649200,8.23813
2000-06-14,38.062481,39.0,37.75,37.875,1652800,8.251750999999999
2000-06-15,37.875,39.0,36.5,36.75,2754400,8.006649000000001
2000-06-16,36.375,39.125,36.375,38.75,2146000,8.442385
2000-06-19,38.75,39.125,37.0,37.187519,1489200,8.10197
2000-06-20,37.187519,38.312481,37.125,37.937519,1453200,8.265371
2000-06-21,38.187519,39.062481,37.375,38.937519,1815600,8.483239
2000-06-22,39.0,39.625,37.187519,37.75,1933200,8.224517
2000-06-23,37.875,39.375,37.875,38.687519,1593600,8.428772
2000-06-26,38.812481,39.062481,38.0,38.062481,2212800,8.292597
2000-06-27,38.25,38.812481,37.312481,38.437519,1529600,8.374305
2000-06-28,38.062481,38.187519,36.812481,37.687519,1910400,8.210904
2000-06-29,37.937519,39.437519,37.687519,39.25,1448800,8.551319
2000-06-30,39.125,39.25,37.0,37.25,2309200,8.115583
2000-07-03,37.25,38.25,37.25,37.875,529600,8.251750999999999
2000-07-05,37.75,37.75,33.875,33.875,2268400,7.380278999999999
2000-07-06,34.125,35.75,34.125,34.437519,4249600,7.502833
2000-07-07,34.312481,34.875,33.812481,34.625,1268800,7.54368
2000-07-10,34.375,35.5,34.0,34.312481,1055600,7.475592
2000-07-11,34.312481,35.875,34.312481,35.75,2426000,7.788781
2000-07-12,35.687519,36.0,34.75,35.25,2626000,7.6798470000000005
2000-07-13,35.125,35.187519,34.0,34.312481,1059600,7.475592
2000-07-14,34.562481,34.625,33.625,33.875,1207600,7.380278999999999
2000-07-17,34.125,35.0,34.125,34.625,1871600,7.54368
2000-07-18,34.687519,35.75,34.687519,35.562481,1566400,7.747927000000001
2000-07-19,35.562481,35.812481,35.0,35.062481,1011600,7.638992999999999
2000-07-20,35.062481,35.125,33.312481,33.625,1576400,7.325811999999999
2000-07-21,33.75,33.812481,32.125,32.375,1262400,7.053477
2000-07-24,32.25,32.375,30.812481,30.875,1738000,6.726675
2000-07-25,30.937519,31.562481,29.25,29.25,2400800,6.3726389999999995
2000-07-26,29.25,29.812481,28.875,29.625,6772400,6.45434
2000-07-27,29.937519,30.625,29.812481,30.187519,4495200,6.576894
2000-07-28,30.25,30.5,29.75,30.375,3338000,6.6177410000000005
2000-07-31,30.312481,30.5,29.562481,30.0,1614400,6.53604
2000-08-01,29.812481,31.25,29.75,31.125,1423200,6.781142
2000-08-02,31.062481,32.25,31.062481,31.937519,2142400,6.958163000000001
2000-08-03,31.625,32.5,30.0,30.062481,1685200,6.557866000000001
2000-08-04,30.312481,30.875,29.625,30.5,1264400,6.653307000000001
2000-08-07,30.75,31.562481,30.687519,31.062481,1671200,6.776007000000001
2000-08-08,30.562481,31.812481,30.562481,31.125,1000000,6.789645
2000-08-09,31.5,32.75,31.5,32.437519,1758800,7.07596
2000-08-10,32.812481,33.437519,32.562481,33.312481,1058800,7.266825
2000-08-11,33.312481,33.5,33.125,33.25,1610800,7.253195
2000-08-14,33.187519,36.0,33.187519,35.468761,2679200,7.737199
2000-08-15,35.562481,36.437519,35.156239,35.156239,2820400,7.669025
2000-08-16,35.25,36.25,35.125,36.25,1416000,7.907619
2000-08-17,36.625,37.562481,36.625,37.406239,1751200,8.159842
2000-08-18,37.5,37.625,35.875,36.312481,1295600,7.921249
2000-08-21,36.312481,37.062481,36.062481,36.25,1512800,7.907619
