Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,49.3125,49.5625,47.75,48.125,8014400,5.004525
2000-01-04,47.0,47.3125,45.375,45.5,9810400,4.7315510000000005
2000-01-05,45.75,48.375,45.75,48.125,6542400,5.004525
2000-01-06,47.875,47.875,46.5625,47.875,4891200,4.978528
2000-01-07,47.6875,48.0,47.0,47.875,3993600,4.978528
2000-01-10,48.125,48.9375,48.0,48.6875,3946400,5.06302
2000-01-11,49.375,52.25,49.25,51.125,10976000,5.316496
2000-01-12,50.875,51.0,49.125,49.375,10050400,5.134513
2000-01-13,49.0625,50.4375,48.4375,50.0,5144800,5.199507
2000-01-14,50.625,51.875,50.375,51.3125,7680800,5.335994
2000-01-18,50.75,51.625,50.0625,50.625,8356000,5.264501
2000-01-19,51.75,53.5,51.4375,52.8125,10299200,5.491979
2000-01-20,53.25,53.375,51.25,51.5625,5103200,5.361991000000001
2000-01-21,51.5625,51.5625,50.5,50.6875,10265600,5.271
2000-01-24,49.625,50.25,49.25,49.6875,5733600,5.167009999999999
2000-01-25,49.5625,50.125,48.5,48.875,3823200,5.082518
2000-01-26,46.125,49.75,46.125,49.5,12886400,5.147512
2000-01-27,48.0,48.625,46.375,47.25,6304000,4.913533999999999
2000-01-28,47.0,47.0,46.0,46.875,3556000,4.874537999999999
2000-01-31,46.0,46.1875,45.4375,45.5,4627200,4.7315510000000005
2000-02-01,45.4375,47.125,45.25,46.6875,5971200,4.85504
2000-02-02,46.625,48.5,46.1875,47.4375,5572800,4.933032
2000-02-03,47.3125,47.875,46.5625,47.875,3973600,4.978528
2000-02-04,47.875,47.875,46.625,46.6875,12485600,4.85504
2000-02-07,46.625,46.625,44.6875,45.25,6455200,4.705554
2000-02-08,45.0,45.0,36.125,37.0,65707200,3.847635
2000-02-09,36.5,36.5,32.375,33.75,62571200,3.509667
2000-02-10,33.375,34.8125,32.875,33.75,25032800,3.509667
2000-02-11,34.125,34.5,33.125,34.0,12644800,3.5356650000000003
2000-02-14,33.5,34.0625,32.125,32.3125,17859200,3.360181
2000-02-15,32.0625,32.125,30.25,30.4375,30056000,3.1652
2000-02-16,30.4375,30.75,29.25,29.5,22678400,3.067709
2000-02-17,29.3125,29.875,28.8125,29.0,14977600,3.015714
2000-02-18,28.875,29.125,27.375,28.0,26087200,2.911724
2000-02-22,28.625,28.75,27.0,27.0,12847200,2.807734
2000-02-23,28.25,28.5,27.9375,28.0625,12624800,2.918223
2000-02-24,28.0,28.0625,26.625,27.0625,16156800,2.814233
2000-02-25,27.0,27.0625,26.5,26.5625,14830400,2.762238
2000-02-28,26.9375,28.25,26.8125,27.875,16385600,2.898725
2000-02-29,27.875,29.125,27.875,28.4375,12575200,2.95722
2000-03-01,28.4375,28.6875,27.9375,28.125,9884800,2.9247229999999997
2000-03-02,28.375,29.9375,28.125,29.4375,11260800,3.06121
2000-03-03,30.0625,30.25,29.125,29.375,6912800,3.05471
2000-03-06,29.5,29.625,28.1875,28.5,7684800,2.9637189999999998
2000-03-07,28.75,28.8125,27.6875,27.875,9532000,2.898725
2000-03-08,27.25,27.625,27.0,27.25,10000000,2.833731
2000-03-09,27.125,27.25,25.8125,26.75,14059200,2.781736
2000-03-10,26.9375,27.4375,26.8125,26.875,12566400,2.7947349999999997
2000-03-13,27.125,29.25,26.5,28.75,20965600,2.989716
2000-03-14,29.0,30.125,28.25,28.875,18244000,3.0027150000000002
2000-03-15,28.625,33.5,28.5625,33.0,25912800,3.431675
2000-03-16,32.9375,38.0,31.375,35.75,17427200,3.724419
2000-03-17,34.625,36.125,32.125,34.0,30021600,3.5421050000000003
2000-03-20,32.3125,33.375,32.3125,33.0,14386400,3.437925
2000-03-21,33.125,33.4375,32.25,33.125,13809600,3.4509480000000003
2000-03-22,34.25,34.5,33.4375,33.75,11780000,3.51606
2000-03-23,33.625,34.625,33.25,34.0,12538400,3.5421050000000003
2000-03-24,34.0,34.5,33.6875,33.875,7305600,3.529082
2000-03-27,36.0,36.25,35.0,35.9375,16704800,3.743953
2000-03-28,36.1875,36.8125,35.75,36.8125,9060800,3.83511
2000-03-29,36.8125,39.25,36.8125,39.0,17080800,4.063003
2000-03-30,39.0625,39.125,37.6875,38.6875,13088800,4.0304459999999995
2000-03-31,38.75,40.0,38.4375,39.625,15036800,4.128115
2000-04-03,41.0,41.0,40.0,40.0,14220800,4.167182
2000-04-04,40.0,40.125,36.375,38.9375,12149600,4.056491
2000-04-05,39.5,40.5,38.875,39.1875,5654400,4.082536
2000-04-06,39.3125,41.75,39.3125,41.5625,11058400,4.329962999999999
2000-04-07,42.5,42.9375,41.8125,42.9375,12285600,4.47321
2000-04-10,42.8125,43.1875,42.0,43.0,6696800,4.479721
2000-04-11,43.875,45.75,43.875,45.125,18799200,4.701102
2000-04-12,45.0625,45.3125,43.9375,44.4375,9212800,4.629479
2000-04-13,44.5,45.1875,43.75,43.9375,9680000,4.577389
2000-04-14,42.5,43.25,40.875,42.625,17863200,4.440653
2000-04-17,42.875,43.0,40.875,42.0,12481600,4.375541
2000-04-18,41.8125,43.5,40.9375,42.375,11352000,4.414609
2000-04-19,43.375,45.875,43.0,44.0625,9402400,4.590412000000001
2000-04-20,44.125,44.375,43.75,43.9375,6341600,4.577389
2000-04-24,44.0625,45.375,43.0625,43.1875,7215200,4.4992540000000005
2000-04-25,43.125,45.8125,42.875,45.625,6885600,4.753191999999999
2000-04-26,45.25,45.25,43.1875,43.875,4333600,4.5708779999999996
2000-04-27,43.0,43.5625,42.625,43.3125,3830400,4.512277
2000-04-28,44.5,44.9375,43.125,43.4375,7720000,4.5252989999999995
2000-05-01,43.4375,47.125,43.375,46.5625,8130400,4.85086
2000-05-02,46.3125,46.3125,44.625,45.25,4469600,4.714125
2000-05-03,43.25,43.6875,41.625,42.375,8126400,4.414609
2000-05-04,43.0,44.0,42.5,42.75,6128800,4.453676000000001
2000-05-05,42.75,43.3125,41.75,42.75,4955200,4.453676000000001
2000-05-08,42.75,43.875,42.625,43.0625,6868000,4.486232
2000-05-09,42.8125,43.4375,42.25,43.1875,6644000,4.4992540000000005
2000-05-10,42.5,42.625,41.5625,42.25,4293600,4.401586
2000-05-11,42.25,42.75,42.0625,42.6875,2653600,4.447165
2000-05-12,42.0,42.8125,41.75,42.8125,2688000,4.460187
2000-05-15,42.875,44.4375,42.25,44.125,5956000,4.596923
2000-05-16,43.875,44.75,43.625,44.1875,3246400,4.603434
2000-05-17,43.625,43.6875,41.125,41.3125,5001600,4.303918
2000-05-18,41.375,42.0625,40.25,40.75,7704000,4.245317
2000-05-19,39.8125,40.1875,38.375,40.0,9682400,4.167182
2000-05-22,40.0,41.125,39.125,39.625,5794400,4.128115
2000-05-23,39.75,41.6875,37.875,41.3125,11746400,4.303918
2000-05-24,42.0,44.75,42.0,43.5,13967200,4.531811
2000-05-25,43.75,43.9375,43.125,43.375,8943200,4.518788
2000-05-26,43.5,44.25,43.125,43.5625,4872000,4.538322
2000-05-30,43.5,44.375,41.6875,44.25,5676800,4.609945
2000-05-31,44.125,44.125,40.625,42.875,7727200,4.466698
2000-06-01,43.125,43.4375,42.6875,43.25,4212800,4.505766
2000-06-02,44.375,44.75,43.875,44.25,4600000,4.609945
2000-06-05,44.25,44.875,43.5625,44.1875,3837600,4.603434
2000-06-06,44.0,44.0,41.5,42.0,3589600,4.375541
2000-06-07,42.0,44.0,41.4375,43.9375,4171200,4.577389
2000-06-08,42.5,43.0,42.0,42.9375,2794400,4.47321
2000-06-09,42.6875,43.0,41.0,41.5625,5871200,4.329962999999999
2000-06-12,39.125,40.625,37.0,40.4062,15022400,4.2095
2000-06-13,40.4375,40.5,38.0,39.0,6928800,4.063003
2000-06-14,39.0,39.8125,38.9375,39.5625,5578400,4.127954
2000-06-15,39.5,39.5,37.625,38.3125,6023200,3.997529
2000-06-16,38.0625,38.125,37.0,37.25,8535200,3.8866680000000002
2000-06-19,37.875,38.25,36.125,36.5625,5864000,3.8149339999999996
2000-06-20,36.5,36.5,35.1875,35.6875,8980000,3.723636
2000-06-21,35.4375,36.0625,35.25,35.5625,5191200,3.7105940000000004
2000-06-22,35.375,35.4375,34.8125,35.1875,4257600,3.6714660000000006
