Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,100.0,100.0,95.5,96.875,1824200,36.021382
2000-01-04,96.875,97.0,92.625,93.6875,1262000,34.836163
2000-01-05,93.125,93.875,90.3125,91.0,1950000,33.836859999999994
2000-01-06,91.0,92.625,90.0,91.5,1445000,34.022776
2000-01-07,91.75,95.9375,91.5625,95.375,989200,35.463632000000004
2000-01-10,97.0,100.625,95.6875,99.625,974400,37.043925
2000-01-11,99.25,99.3125,96.25,97.4375,1136400,36.230539
2000-01-12,97.5,98.4375,96.6875,97.125,642200,36.114340999999996
2000-01-13,97.125,98.3125,96.5,97.0,948600,36.067861
2000-01-14,98.0,98.0,95.5,95.875,955200,35.649549
2000-01-18,96.0,96.0,93.5625,93.5625,1293600,34.789683000000004
2000-01-19,93.625,98.375,93.5,97.3125,1570800,36.184059000000005
2000-01-20,99.875,100.9375,93.625,93.6875,1782800,34.836163
2000-01-21,94.25,95.9375,94.0,94.9375,1427600,35.300955
2000-01-24,95.1875,95.1875,91.75,92.0,1066400,34.208693
2000-01-25,92.25,93.5625,89.8125,90.4375,1182200,33.627703000000004
2000-01-26,91.0,96.375,90.5625,93.8125,1072200,34.882642
2000-01-27,93.5,96.0625,91.8125,93.1875,997400,34.650246
2000-01-28,91.5,96.75,90.1875,94.625,1946200,35.184757
2000-01-31,94.375,94.5,91.625,93.6875,1091600,34.836163
2000-02-01,93.6875,97.25,93.5,96.375,997400,35.835465
2000-02-02,96.375,99.9375,94.5625,94.75,1844600,35.231235999999996
2000-02-03,94.625,95.25,93.3125,94.0,1312200,34.952360999999996
2000-02-04,94.0,95.125,93.4375,93.75,1018600,34.859402
2000-02-07,93.375,93.5,91.6875,91.875,884800,34.162214
2000-02-08,91.875,95.625,91.875,94.875,1252000,35.277715
2000-02-09,94.875,97.6875,94.3125,96.8125,1419200,35.998143
2000-02-10,96.6875,98.375,95.0625,96.4375,921000,35.858705
2000-02-11,97.875,97.9375,94.625,95.6875,1051400,35.57983
2000-02-14,95.5625,96.375,94.5,94.9375,479200,35.300955
2000-02-15,95.1875,95.625,93.1875,94.375,2933000,35.091798
2000-02-16,94.625,95.0,88.0625,89.25,1314400,33.186151
2000-02-17,90.0,90.0,83.0,84.75,1839800,31.5129
2000-02-18,85.125,89.875,85.125,89.125,2828800,33.139672
2000-02-22,91.0,91.5,83.875,86.25,2370600,32.07065
2000-02-23,87.5,97.0,87.25,94.5,2683200,35.138277
2000-02-24,95.0,97.25,91.125,92.625,1665200,34.441089
2000-02-25,93.625,93.875,88.6875,88.8125,1367400,33.023474
2000-02-28,90.5,92.5,87.75,91.6875,1492200,34.092495
2000-02-29,91.5625,94.625,91.125,94.1875,1168400,35.022079
2000-03-01,94.1875,94.875,92.75,94.125,1661000,34.99884
2000-03-02,93.75,93.875,91.625,92.5,1791000,34.39461
2000-03-03,92.25,92.25,88.0625,90.25,2504800,33.557984000000005
2000-03-06,90.0,90.0,81.0,83.125,6505600,30.90867
2000-03-07,82.125,83.9375,80.3125,80.75,2733800,30.025565000000004
2000-03-08,80.6875,81.125,75.5,79.875,3660600,29.764715999999996
2000-03-09,80.4375,83.4375,79.125,83.0,2424800,30.92922
2000-03-10,83.5,84.125,82.0625,83.6875,2252000,31.185411
2000-03-13,83.6875,83.9375,81.0,83.3125,1703000,31.04567
2000-03-14,83.0625,84.375,81.75,83.5625,1963400,31.138831
2000-03-15,83.3125,83.375,80.625,81.75,2369400,30.463419000000002
2000-03-16,82.75,85.75,82.5625,85.375,1988400,31.814242999999998
2000-03-17,85.125,88.75,83.75,88.5,2186600,32.978747
2000-03-20,89.375,93.0,87.9375,90.1875,1880200,33.607579
2000-03-21,90.9375,92.9375,90.75,91.75,2256400,34.189831
2000-03-22,92.25,97.0,92.25,94.9375,2440200,35.377624
2000-03-23,94.5,96.5,94.3125,95.5625,891000,35.610525
2000-03-24,95.5625,99.75,95.5625,98.5625,1869400,36.728449
2000-03-27,98.3125,99.9375,98.125,99.0625,2070800,36.914769
2000-03-28,99.1875,100.625,98.3125,99.5,2397800,37.0778
2000-03-29,99.5,100.0,96.9375,97.8125,2127400,36.448968
2000-03-30,97.875,98.5,94.625,94.625,1231600,35.261174
2000-03-31,94.0,94.75,92.0,93.625,1688400,34.888533
2000-04-03,93.625,96.25,93.5,95.0625,884600,35.424205
2000-04-04,94.9375,95.75,85.8125,90.484383,2509200,33.718209
2000-04-05,90.625,98.125,90.0,95.375,1936200,35.540655
2000-04-06,95.75,99.1875,95.6875,97.25,1651000,36.239357
2000-04-07,97.5,98.8125,95.625,97.1875,1241800,36.216066999999995
2000-04-10,97.0625,97.0625,92.5625,94.3125,1129000,35.144724
2000-04-11,94.3125,94.3125,91.875,93.25,991600,34.748792
2000-04-12,93.375,93.875,90.625,91.0625,956800,33.933640000000004
2000-04-13,90.9375,91.625,88.25,88.375,1392800,32.932167
2000-04-14,85.5,86.0,82.125,82.125,1862400,30.603159
2000-04-17,82.1875,85.5,81.6875,85.0,2531800,31.674502
2000-04-18,85.0,86.0,83.25,84.375,2178000,31.441602000000003
2000-04-19,85.375,85.625,82.5,83.375,1820600,31.068960999999998
2000-04-20,83.25,84.75,82.0625,83.5625,2051000,31.138831
2000-04-24,84.125,86.0,82.4375,85.3125,1419600,31.790953000000002
2000-04-25,87.5,92.625,86.4375,89.9375,2845800,33.514418
2000-04-26,89.875,95.25,89.625,92.1875,2178000,34.352861
2000-04-27,90.8125,93.375,89.125,93.0,1499400,34.655632000000004
2000-04-28,92.5,93.5,89.4375,91.0625,1202400,33.933640000000004
2000-05-01,90.5625,90.6875,88.875,90.4375,972000,33.700739
2000-05-02,89.75,90.9375,89.1875,90.375,893400,33.677448999999996
2000-05-03,89.75,89.75,86.125,86.6875,694000,32.303335
2000-05-04,86.6875,88.875,86.0,86.625,1066000,32.280044000000004
2000-05-05,86.375,91.375,85.875,90.8125,1408000,33.84048
2000-05-08,90.1875,90.1875,87.4375,88.5,822400,32.978747
2000-05-09,88.75,89.4375,87.1875,88.1875,923600,32.862296
2000-05-10,88.125,88.8125,86.25,86.75,716600,32.326625
