Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,18.0937,18.1875,17.3125,17.375,4067200,1.855087
2000-01-04,17.25,17.3125,16.5625,16.625,7012000,1.7750110000000001
2000-01-05,16.6875,17.0625,16.5625,17.0,6990400,1.8150490000000001
2000-01-06,16.8125,17.0,14.8125,15.1875,24146400,1.621533
2000-01-07,15.0625,15.125,14.625,15.0,14456000,1.6015139999999999
2000-01-10,15.0,15.5,14.9375,15.25,12168000,1.628205
2000-01-11,15.125,15.25,14.5,14.5625,12852800,1.5548030000000002
2000-01-12,14.5625,14.5625,13.25,13.5937,19354400,1.451366
2000-01-13,13.5312,13.75,12.875,13.0625,23209600,1.394651
2000-01-14,13.25,13.625,13.25,13.625,15252800,1.454708
2000-01-18,13.5625,13.6875,12.75,12.8125,19511200,1.36796
2000-01-19,12.8437,12.875,12.0,12.25,23520000,1.307903
2000-01-20,12.25,13.25,12.25,13.0312,19192000,1.39131
2000-01-21,13.5,13.625,13.125,13.4375,18298400,1.4346889999999999
2000-01-24,13.4062,13.5,12.375,12.5625,19201600,1.3412680000000001
2000-01-25,12.5625,12.6875,12.0,12.5625,16684000,1.3412680000000001
2000-01-26,12.375,13.3125,12.25,13.1875,15236000,1.407997
2000-01-27,13.4062,13.5625,12.625,12.9375,16930400,1.381305
2000-01-28,12.9687,13.125,12.5625,12.875,6237600,1.374632
2000-01-31,12.875,13.0625,12.25,12.75,7533600,1.3612870000000001
2000-02-01,13.0625,13.125,12.125,12.6875,6864000,1.354614
2000-02-02,12.9687,13.0625,12.5,12.5625,11957600,1.3412680000000001
2000-02-03,14.125,15.6875,14.0625,15.5,47381600,1.654897
2000-02-04,15.25,15.3125,14.75,15.0,17392800,1.6015139999999999
2000-02-07,15.125,15.25,14.875,15.0,13880800,1.6015139999999999
2000-02-08,15.0312,15.375,14.9375,15.3125,4374400,1.634878
2000-02-09,15.3125,15.3125,15.0625,15.125,12921600,1.61486
2000-02-10,15.1875,15.25,14.75,14.875,14176000,1.588168
2000-02-11,14.8125,14.875,14.4375,14.6875,12605600,1.568149
2000-02-14,14.7812,15.125,14.5,14.6875,6644800,1.568149
2000-02-15,14.625,14.75,14.125,14.125,5243200,1.508092
2000-02-16,14.125,14.25,13.125,13.5625,9887200,1.448035
2000-02-17,13.5625,13.625,12.5625,12.75,6380800,1.3612870000000001
2000-02-18,12.875,13.3125,12.875,13.0625,14096800,1.394651
2000-02-22,13.375,13.75,12.875,13.0625,6392000,1.394651
2000-02-23,13.1875,13.3125,13.0,13.25,9151200,1.41467
2000-02-24,13.125,13.3125,12.875,13.125,10643200,1.401324
2000-02-25,13.125,14.125,13.0625,13.6875,7472800,1.461381
2000-02-28,13.8125,15.9375,13.75,15.5,11089600,1.654897
2000-02-29,15.375,15.5,14.4375,14.5,14335200,1.54813
2000-03-01,14.375,14.625,13.6875,14.5625,6499200,1.5588879999999998
2000-03-02,15.0625,17.6875,14.75,17.5625,17716000,1.880033
2000-03-03,17.4687,17.625,16.875,16.875,12198400,1.8064369999999998
2000-03-06,16.875,17.625,16.875,17.5,5734400,1.8733419999999998
2000-03-07,17.5312,17.5625,16.75,16.9375,6342400,1.813127
2000-03-08,16.8125,17.25,16.75,16.8125,2174400,1.7997459999999998
2000-03-09,16.75,17.0,16.3125,16.625,10015200,1.779675
2000-03-10,16.625,16.625,16.125,16.4375,3851200,1.7596029999999998
2000-03-13,16.4375,16.625,16.375,16.5312,2647200,1.769634
2000-03-14,16.625,17.5,16.5,17.4375,11996000,1.866652
2000-03-15,17.484301000000002,19.0,17.3125,18.9375,17756000,2.0272240000000004
2000-03-16,18.875,22.125,18.8125,22.0625,30483200,2.361749
2000-03-17,21.25,21.875,20.5,20.5,11164800,2.194486
2000-03-20,20.4375,20.75,19.375,19.5,3574400,2.087438
2000-03-21,19.7812,21.375,19.6875,21.125,5213600,2.261391
2000-03-22,21.125,21.25,20.25,20.4375,5682400,2.187796
