Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,3.3124949999999997,3.375,2.749995,2.8125,162100,1.800187
2000-01-04,2.749995,2.875005,2.625,2.749995,110200,1.7601799999999999
2000-01-05,2.687505,2.749995,2.625,2.687505,74100,1.7201819999999999
2000-01-06,2.687505,2.8125,2.625,2.749995,138000,1.7601799999999999
2000-01-07,2.8125,2.8125,2.687505,2.749995,111400,1.7601799999999999
2000-01-10,2.749995,2.8125,2.687505,2.687505,67600,1.7201819999999999
2000-01-11,2.687505,2.687505,2.625,2.625,82600,1.680174
2000-01-12,2.625,2.625,2.562495,2.562495,179500,1.640167
2000-01-13,2.562495,2.749995,2.562495,2.749995,203700,1.7601799999999999
2000-01-14,2.749995,2.937495,2.687505,2.937495,199600,1.8801919999999999
2000-01-18,3.0,3.3124949999999997,3.0,3.1875,288000,2.040212
2000-01-19,3.124995,3.4375050000000003,3.124995,3.250005,265000,2.080219
2000-01-20,3.3124949999999997,3.3124949999999997,3.062505,3.124995,189000,2.000204
2000-01-21,3.062505,3.062505,2.8125,2.937495,244800,1.8801919999999999
2000-01-24,2.937495,3.0,2.8125,2.8125,175000,1.800187
2000-01-25,2.8125,3.0,2.8125,2.937495,105400,1.8801919999999999
2000-01-26,2.937495,2.937495,2.749995,2.875005,172900,1.8401939999999999
2000-01-27,2.749995,2.8125,2.687505,2.749995,135900,1.7601799999999999
2000-01-28,2.687505,2.749995,2.625,2.687505,85900,1.7201819999999999
2000-01-31,2.687505,2.749995,2.625,2.687505,72400,1.7201819999999999
2000-02-01,2.749995,2.875005,2.687505,2.8125,112200,1.800187
2000-02-02,2.8125,2.875005,2.749995,2.749995,144900,1.7601799999999999
2000-02-03,2.749995,2.8125,2.687505,2.749995,205000,1.7601799999999999
2000-02-04,2.8125,2.8125,2.687505,2.749995,177100,1.7601799999999999
2000-02-07,2.749995,2.749995,2.687505,2.749995,59700,1.7601799999999999
2000-02-08,2.687505,2.687505,2.562495,2.687505,149400,1.7201819999999999
2000-02-09,2.625,2.625,2.562495,2.625,105000,1.680174
2000-02-10,2.625,2.625,2.500005,2.562495,232800,1.640167
2000-02-11,2.562495,2.687505,2.500005,2.562495,380800,1.640167
2000-02-14,2.562495,2.562495,2.25,2.312505,540000,1.480157
2000-02-15,2.312505,2.4375,2.25,2.312505,174600,1.480157
2000-02-16,2.312505,2.4375,2.25,2.4375,503200,1.560162
2000-02-17,2.4375,2.4375,2.25,2.312505,490300,1.480157
2000-02-18,2.312505,2.374995,2.0625,2.0625,734700,1.3201370000000001
2000-02-22,2.125005,2.25,2.0625,2.125005,296100,1.360144
2000-02-23,2.125005,2.125005,1.937505,1.999995,412800,1.28013
2000-02-24,1.999995,2.0625,1.937505,1.999995,329500,1.28013
2000-02-25,1.999995,1.999995,1.937505,1.937505,364000,1.240132
2000-02-28,1.937505,1.999995,1.937505,1.937505,336900,1.240132
2000-02-29,1.999995,1.999995,1.937505,1.999995,266200,1.28013
2000-03-01,1.999995,2.25,1.937505,2.187495,1135200,1.400142
2000-03-02,2.187495,2.562495,2.187495,2.500005,1399800,1.600169
2000-03-03,2.500005,2.749995,2.374995,2.374995,789000,1.520155
2000-03-06,2.4375,2.625,2.4375,2.500005,294700,1.600169
2000-03-07,2.500005,2.937495,2.374995,2.749995,450900,1.7601799999999999
2000-03-08,2.749995,3.062505,2.625,2.687505,578700,1.7201819999999999
2000-03-09,2.749995,2.749995,2.25,2.25,988300,1.440149
2000-03-10,2.312505,2.312505,1.999995,2.125005,907300,1.360144
2000-03-13,2.0625,2.125005,1.937505,1.999995,568000,1.28013
2000-03-14,1.999995,2.0625,1.937505,1.999995,365100,1.28013
2000-03-15,1.999995,1.999995,1.937505,1.937505,295800,1.240132
2000-03-16,2.0625,2.0625,1.937505,1.937505,594700,1.240132
2000-03-17,1.999995,1.999995,1.875,1.937505,353100,1.240132
2000-03-20,1.937505,1.999995,1.875,1.937505,674500,1.240132
2000-03-21,1.999995,1.999995,1.937505,1.999995,168300,1.28013
2000-03-22,1.999995,1.999995,1.937505,1.999995,287100,1.28013
2000-03-23,1.999995,1.999995,1.937505,1.999995,251200,1.28013
2000-03-24,1.999995,1.999995,1.937505,1.999995,275400,1.28013
2000-03-27,1.999995,2.0625,1.937505,2.0625,451300,1.3201370000000001
2000-03-28,2.0625,2.4375,1.999995,2.374995,531900,1.520155
2000-03-29,2.374995,2.4375,2.187495,2.312505,604000,1.480157
2000-03-30,2.312505,2.374995,2.25,2.25,383100,1.440149
2000-03-31,2.25,2.312505,2.125005,2.125005,352200,1.360144
2000-04-03,2.0625,2.125005,1.999995,2.0625,690100,1.3201370000000001
2000-04-04,2.0625,2.0625,1.937505,1.937505,796000,1.240132
2000-04-05,1.937505,1.999995,1.937505,1.999995,307600,1.28013
2000-04-06,1.999995,1.999995,1.875,1.937505,537700,1.240132
2000-04-07,1.999995,1.999995,1.937505,1.937505,140400,1.240132
2000-04-10,1.937505,1.937505,1.875,1.937505,104700,1.240132
2000-04-11,1.875,1.937505,1.875,1.937505,94500,1.240132
2000-04-12,1.875,1.937505,1.875,1.875,138100,1.200125
2000-04-13,1.875,1.999995,1.875,1.999995,1801000,1.28013
2000-04-14,1.937505,1.937505,1.812495,1.812495,394900,1.160117
2000-04-17,1.875,1.875,1.6875,1.750005,295800,1.120119
2000-04-18,1.6875,1.812495,1.6875,1.812495,234600,1.160117
2000-04-19,1.750005,1.875,1.750005,1.750005,172000,1.120119
2000-04-20,1.875,1.875,1.6875,1.812495,207400,1.160117
2000-04-24,1.875,1.875,1.750005,1.812495,87300,1.160117
2000-04-25,1.812495,1.812495,1.750005,1.750005,82300,1.120119
2000-04-26,1.750005,1.750005,1.437495,1.5,1099800,0.9601
2000-04-27,1.5,1.562505,1.437495,1.5,1464100,0.9601
2000-04-28,1.5,1.562505,1.437495,1.437495,630300,0.920092
2000-05-01,1.5,1.562505,1.5,1.5,626700,0.9601
2000-05-02,1.562505,1.812495,1.5,1.5,1656400,0.9601
2000-05-03,1.5,1.624995,1.5,1.624995,448600,1.0401049999999998
2000-05-04,1.6875,1.750005,1.6875,1.750005,580000,1.120119
2000-05-05,1.6875,1.750005,1.6875,1.750005,262800,1.120119
2000-05-08,1.750005,1.750005,1.6875,1.750005,135000,1.120119
2000-05-09,1.750005,1.875,1.6875,1.6875,503400,1.0801120000000002
2000-05-10,1.6875,1.750005,1.6875,1.6875,216900,1.0801120000000002
2000-05-11,1.750005,1.812495,1.6875,1.812495,576700,1.160117
2000-05-12,1.812495,1.999995,1.812495,1.999995,541000,1.28013
2000-05-15,1.999995,2.374995,1.999995,2.187495,1123500,1.400142
2000-05-16,2.25,2.312505,2.125005,2.187495,956500,1.400142
2000-05-17,2.125005,2.4375,2.125005,2.374995,574200,1.520155
2000-05-18,2.374995,2.749995,2.374995,2.749995,1486000,1.7601799999999999
2000-05-19,2.749995,2.8125,2.4375,2.749995,634300,1.7601799999999999
2000-05-22,2.8125,2.937495,2.749995,2.875005,764800,1.8401939999999999
2000-05-23,2.8125,2.875005,2.625,2.687505,583000,1.7201819999999999
2000-05-24,2.687505,2.749995,2.4375,2.625,1200300,1.680174
2000-05-25,2.625,2.625,2.500005,2.562495,316200,1.640167
2000-05-26,2.562495,2.625,2.500005,2.625,291300,1.680174
2000-05-30,2.625,2.625,2.500005,2.625,489000,1.680174
2000-05-31,2.562495,2.937495,2.500005,2.8125,778900,1.800187
2000-06-01,2.875005,3.1875,2.875005,3.062505,1314000,1.960207
2000-06-02,3.250005,3.3124949999999997,2.8125,2.937495,936400,1.8801919999999999
2000-06-05,2.875005,2.937495,2.749995,2.875005,424200,1.8401939999999999
2000-06-06,2.875005,3.062505,2.749995,2.937495,718800,1.8801919999999999
2000-06-07,2.937495,2.937495,2.875005,2.937495,240100,1.8801919999999999
2000-06-08,2.937495,2.937495,2.875005,2.937495,256900,1.8801919999999999
2000-06-09,2.937495,2.937495,2.8125,2.8125,271600,1.800187
2000-06-12,2.8125,2.937495,2.8125,2.875005,340800,1.8401939999999999
2000-06-13,2.875005,2.937495,2.8125,2.875005,198400,1.8401939999999999
2000-06-14,2.875005,2.937495,2.8125,2.875005,428700,1.8401939999999999
2000-06-15,2.875005,2.875005,2.500005,2.562495,1011000,1.640167
2000-06-16,2.562495,2.749995,2.562495,2.625,302400,1.680174
2000-06-19,2.749995,3.0,2.749995,2.875005,751000,1.8401939999999999
2000-06-20,2.937495,3.0,2.937495,3.0,497400,1.9201990000000002
2000-06-21,3.0,3.1875,2.937495,3.1875,408100,2.040212
2000-06-22,3.124995,3.124995,3.0,3.062505,655200,1.960207
2000-06-23,3.062505,3.1875,3.062505,3.124995,666100,2.000204
2000-06-26,3.124995,3.1875,3.062505,3.124995,195400,2.000204
2000-06-27,3.062505,3.250005,3.062505,3.062505,664900,1.960207
2000-06-28,3.124995,3.1875,3.062505,3.124995,590100,2.000204
2000-06-29,3.124995,3.124995,3.0,3.0,271200,1.9201990000000002
2000-06-30,3.062505,3.124995,3.062505,3.124995,358900,2.000204
2000-07-03,3.062505,3.1875,3.062505,3.124995,387400,2.000204
2000-07-05,3.124995,3.124995,2.937495,2.937495,525400,1.8801919999999999
2000-07-06,3.0,3.062505,2.937495,3.0,421300,1.9201990000000002
2000-07-07,3.0,3.062505,3.0,3.0,1110600,1.9201990000000002
2000-07-10,3.0,3.062505,3.0,3.0,113100,1.9201990000000002
2000-07-11,3.062505,3.124995,3.0,3.0,362400,1.9201990000000002
2000-07-12,3.062505,3.1875,3.062505,3.124995,319600,2.000204
2000-07-13,3.124995,3.250005,3.124995,3.250005,231400,2.080219
2000-07-14,3.375,3.6250050000000003,3.3124949999999997,3.5625,729300,2.280237
2000-07-17,3.5625,3.6250050000000003,3.3124949999999997,3.4375050000000003,340000,2.200232
2000-07-18,3.5625,3.6874949999999997,3.4999949999999997,3.6874949999999997,536400,2.360242
2000-07-19,3.6250050000000003,3.6874949999999997,3.5625,3.5625,653800,2.280237
2000-07-20,3.5625,3.5625,3.4375050000000003,3.4999949999999997,330900,2.2402290000000002
2000-07-21,3.4999949999999997,3.5625,3.4375050000000003,3.4375050000000003,248200,2.200232
2000-07-24,3.375,3.8125050000000003,3.062505,3.1875,538900,2.040212
2000-07-25,3.250005,3.3124949999999997,3.062505,3.124995,186100,2.000204
2000-07-26,3.062505,3.062505,2.875005,2.937495,318100,1.8801919999999999
2000-07-27,2.937495,3.062505,2.937495,3.0,227800,1.9201990000000002
2000-07-28,3.0,3.0,2.937495,3.0,197400,1.9201990000000002
2000-07-31,3.0,3.0,2.937495,3.0,187000,1.9201990000000002
2000-08-01,3.0,3.062505,2.937495,3.0,218500,1.9201990000000002
2000-08-02,3.0,3.124995,3.0,3.062505,131200,1.960207
2000-08-03,3.124995,3.1875,3.062505,3.1875,251800,2.040212
2000-08-04,3.1875,3.3124949999999997,3.124995,3.3124949999999997,192100,2.120217
2000-08-07,3.3124949999999997,3.4999949999999997,3.250005,3.3124949999999997,233400,2.120217
2000-08-08,3.4375050000000003,3.6874949999999997,3.375,3.6250050000000003,1627000,2.3202439999999998
2000-08-09,3.75,3.8125050000000003,3.6250050000000003,3.6874949999999997,1023400,2.360242
2000-08-10,3.6874949999999997,3.8125050000000003,3.6874949999999997,3.75,423700,2.400249
2000-08-11,3.75,3.8749949999999997,3.6874949999999997,3.75,142600,2.400249
2000-08-14,3.75,3.8125050000000003,3.75,3.75,356100,2.400249
2000-08-15,3.75,4.062494999999999,3.75,3.9375,1529100,2.520262
2000-08-16,4.000005000000001,4.125,3.9375,4.062494999999999,1134900,2.6002669999999997
2000-08-17,4.125,4.3125,4.000005000000001,4.125,753600,2.6402740000000002
2000-08-18,4.062494999999999,4.125,3.8749949999999997,4.000005000000001,348000,2.560269
2000-08-21,4.000005000000001,4.3125,4.000005000000001,4.249994999999999,609600,2.720279
2000-08-22,4.375005000000001,4.5,4.3125,4.5,306400,2.880299
2000-08-23,4.437494999999999,4.937505000000001,4.437494999999999,4.750005000000001,1953100,3.0403189999999998
2000-08-24,4.750005000000001,4.875,4.562505000000001,4.624994999999999,520800,2.9603040000000003
2000-08-25,4.6875,4.875,4.6875,4.875,165000,3.120324
2000-08-28,4.812494999999999,4.937505000000001,4.750005000000001,4.750005000000001,309900,3.0403189999999998
2000-08-29,4.812494999999999,4.937505000000001,4.750005000000001,4.812494999999999,455200,3.080316
2000-08-30,4.875,5.0625,4.812494999999999,4.875,1076700,3.120324
2000-08-31,4.875,4.999994999999999,4.812494999999999,4.999994999999999,1049800,3.200329
2000-09-01,4.999994999999999,5.25,4.999994999999999,5.187494999999999,581100,3.3203410000000004
2000-09-05,5.187494999999999,5.187494999999999,4.812494999999999,4.875,990900,3.120324
2000-09-06,4.812494999999999,4.999994999999999,4.624994999999999,4.937505000000001,695800,3.1603310000000002
2000-09-07,4.937505000000001,5.0625,4.875,5.0625,637300,3.240336
2000-09-08,4.999994999999999,4.999994999999999,4.750005000000001,4.812494999999999,317800,3.080316
2000-09-11,4.812494999999999,4.875,4.562505000000001,4.750005000000001,1333300,3.0403189999999998
2000-09-12,4.750005000000001,4.812494999999999,4.6875,4.6875,234100,3.000311
2000-09-13,4.6875,4.937505000000001,4.624994999999999,4.937505000000001,1617000,3.1603310000000002
2000-09-14,4.937505000000001,5.0625,4.875,4.937505000000001,299500,3.1603310000000002
2000-09-15,4.999994999999999,5.25,4.875,5.187494999999999,582300,3.3203410000000004
2000-09-18,5.25,5.312505000000001,5.125005000000001,5.25,595300,3.360349
2000-09-19,5.187494999999999,5.312505000000001,4.999994999999999,5.0625,380200,3.240336
2000-09-20,4.999994999999999,5.125005000000001,4.812494999999999,4.937505000000001,458400,3.1603310000000002
2000-09-21,4.937505000000001,4.999994999999999,4.6875,4.6875,426900,3.000311
2000-09-22,4.6875,4.812494999999999,4.624994999999999,4.6875,290100,3.000311
2000-09-25,4.624994999999999,4.624994999999999,4.249994999999999,4.562505000000001,568500,2.920306
2000-09-26,4.5,4.875,4.5,4.812494999999999,266800,3.080316
2000-09-27,4.750005000000001,4.937505000000001,4.562505000000001,4.6875,622800,3.000311
2000-09-28,4.624994999999999,4.624994999999999,4.375005000000001,4.437494999999999,385600,2.840291
2000-09-29,4.375005000000001,4.812494999999999,4.375005000000001,4.812494999999999,554200,3.080316
2000-10-02,4.812494999999999,4.875,4.6875,4.750005000000001,275800,3.0403189999999998
2000-10-03,4.750005000000001,4.750005000000001,4.562505000000001,4.6875,137500,3.000311
2000-10-04,4.562505000000001,4.562505000000001,4.437494999999999,4.437494999999999,213000,2.840291
2000-10-05,4.437494999999999,4.5,4.375005000000001,4.375005000000001,296800,2.800294
2000-10-06,4.375005000000001,4.437494999999999,4.125,4.3125,414300,2.7602860000000002
2000-10-09,4.249994999999999,4.5,4.249994999999999,4.437494999999999,155100,2.840291
2000-10-10,4.5,4.624994999999999,4.437494999999999,4.562505000000001,432300,2.920306
2000-10-11,4.5,4.750005000000001,4.437494999999999,4.562505000000001,371500,2.920306
2000-10-12,4.562505000000001,4.999994999999999,4.562505000000001,4.999994999999999,782400,3.200329
2000-10-13,4.937505000000001,4.937505000000001,4.562505000000001,4.750005000000001,265800,3.0403189999999998
2000-10-16,4.750005000000001,4.750005000000001,4.5,4.562505000000001,99900,2.920306
2000-10-17,4.624994999999999,4.624994999999999,4.5,4.562505000000001,89500,2.920306
2000-10-18,4.5,4.5,4.375005000000001,4.437494999999999,264900,2.840291
2000-10-19,4.375005000000001,4.5,4.062494999999999,4.249994999999999,451200,2.720279
2000-10-20,4.125,4.437494999999999,4.125,4.437494999999999,171700,2.840291
2000-10-23,4.5,4.812494999999999,4.437494999999999,4.812494999999999,255700,3.080316
2000-10-24,4.875,4.999994999999999,4.562505000000001,4.624994999999999,276900,2.9603040000000003
2000-10-25,4.624994999999999,4.624994999999999,4.249994999999999,4.3125,166500,2.7602860000000002
2000-10-26,4.3125,4.3125,4.125,4.187505000000001,308200,2.680281
2000-10-27,4.187505000000001,4.3125,4.125,4.125,229500,2.6402740000000002
2000-10-30,4.125,4.3125,4.125,4.249994999999999,154800,2.720279
2000-10-31,4.249994999999999,4.375005000000001,4.187505000000001,4.375005000000001,243900,2.800294
2000-11-01,4.3125,4.5,4.3125,4.437494999999999,195900,2.840291
2000-11-02,4.5,4.5,4.375005000000001,4.5,173800,2.880299
2000-11-03,4.5,4.5,4.375005000000001,4.375005000000001,210000,2.800294
2000-11-06,4.437494999999999,4.562505000000001,4.375005000000001,4.437494999999999,421300,2.840291
2000-11-07,4.5,4.5,4.437494999999999,4.437494999999999,266700,2.840291
2000-11-08,4.437494999999999,4.5,4.375005000000001,4.375005000000001,252600,2.800294
2000-11-09,4.5,4.5,4.437494999999999,4.5,142600,2.880299
2000-11-10,4.5,4.5,4.375005000000001,4.375005000000001,136300,2.800294
2000-11-13,4.437494999999999,4.5,4.3125,4.437494999999999,157800,2.840291
2000-11-14,4.437494999999999,4.437494999999999,4.249994999999999,4.375005000000001,515500,2.800294
2000-11-15,4.3125,4.750005000000001,4.3125,4.750005000000001,510100,3.0403189999999998
2000-11-16,4.6875,4.750005000000001,4.437494999999999,4.5,136300,2.880299
2000-11-17,4.5,4.5,4.375005000000001,4.5,308400,2.880299
2000-11-20,4.5,4.5,4.375005000000001,4.375005000000001,362700,2.800294
2000-11-21,4.437494999999999,4.5,4.375005000000001,4.5,206800,2.880299
2000-11-22,4.5,4.5,4.437494999999999,4.5,188500,2.880299
2000-11-24,4.437494999999999,4.5,4.437494999999999,4.5,31600,2.880299
2000-11-27,4.437494999999999,4.5,4.437494999999999,4.5,203100,2.880299
2000-11-28,4.437494999999999,4.5,4.3125,4.375005000000001,174300,2.800294
2000-11-29,4.437494999999999,4.437494999999999,4.125,4.249994999999999,253900,2.720279
