Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.75,20.8125,19.75,20.125,574100,14.704609
2000-01-04,20.0,20.0625,18.875,19.375,646800,14.156610999999998
2000-01-05,19.4375,19.8125,19.375,19.4375,622800,14.202276999999999
2000-01-06,20.0625,20.25,19.5625,19.75,583600,14.43061
2000-01-07,19.625,20.0625,19.125,19.5,949500,14.247944
2000-01-10,19.5,20.0,19.0625,19.0625,1067900,13.928278
2000-01-11,19.375,19.6875,19.25,19.3125,1181500,14.110944
2000-01-12,19.375,19.75,19.25,19.3125,709000,14.110944
2000-01-13,19.3125,19.375,19.0,19.125,813500,13.973945
2000-01-14,19.3125,19.375,18.75,18.875,937800,13.791279000000001
2000-01-18,18.625,18.875,18.25,18.5625,691400,13.562945999999998
2000-01-19,18.5625,18.6875,18.3125,18.375,642000,13.425947
2000-01-20,18.375,18.375,17.375,17.625,858700,12.877949000000001
2000-01-21,18.0,18.25,17.6875,17.875,1121300,13.060614999999999
2000-01-24,17.875,18.3125,17.6562,17.9375,651600,13.106281
2000-01-25,17.875,18.4375,17.625,18.0,835000,13.151948
2000-01-26,18.0,18.375,17.75,17.8125,526000,13.014949
2000-01-27,17.8125,18.1875,17.6875,17.9375,501700,13.106281
2000-01-28,17.875,17.9375,17.4375,17.4375,476100,12.74095
2000-01-31,17.4375,18.125,17.375,17.625,668900,12.877949000000001
2000-02-01,17.5,18.5,17.5,18.4375,746000,13.471613
2000-02-02,18.25,18.375,17.4375,17.5,1205500,12.786616
2000-02-03,17.625,19.6875,17.125,19.625,2110800,14.339277
2000-02-04,20.625,20.6875,20.125,20.125,1715100,14.704609
2000-02-07,20.1875,20.1875,20.0,20.1875,577100,14.750275
2000-02-08,20.0,20.0,19.125,19.375,710700,14.156610999999998
2000-02-09,19.375,19.4375,18.75,19.1875,763500,14.019611
2000-02-10,19.1875,19.6875,19.125,19.375,450400,14.156610999999998
2000-02-11,19.375,19.4375,18.5625,18.6875,492800,13.654279
2000-02-14,19.0,19.125,18.5625,18.9375,735400,13.836945000000002
2000-02-15,19.0,20.0,18.9375,20.0,1031700,14.613276
2000-02-16,20.0,20.0,19.375,19.5625,464200,14.293610000000001
2000-02-17,19.625,20.375,19.5625,20.25,618800,14.795941000000001
2000-02-18,20.0625,20.1875,19.5625,19.8125,723800,14.476276
2000-02-22,19.9375,20.0,19.6875,19.875,542000,14.521942999999998
2000-02-23,20.125,20.125,19.375,20.0,888100,14.613276
2000-02-24,19.75,19.75,19.0,19.1875,620900,14.114885999999998
2000-02-25,19.375,19.75,18.9375,19.0625,931400,14.022932999999998
2000-02-28,19.0625,19.5625,19.0625,19.125,637300,14.06891
2000-02-29,19.5,19.5,19.0,19.125,551900,14.06891
2000-03-01,19.625,19.625,19.125,19.375,488300,14.252817000000002
2000-03-02,19.375,19.6875,18.8125,19.0625,629600,14.022932999999998
2000-03-03,18.9375,20.5,18.875,19.9375,610900,14.666607999999998
2000-03-06,19.6875,19.8125,18.9375,19.0625,496600,14.022932999999998
2000-03-07,19.3125,19.3125,18.5625,18.8125,703800,13.839025
2000-03-08,18.8125,19.2812,18.3125,18.75,1095500,13.793049
2000-03-09,18.5,19.125,18.375,18.875,422100,13.885001999999998
2000-03-10,19.125,19.375,18.875,18.9375,554900,13.930979
