Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,19.5,19.625,19.125,19.125,21000,11.767439999999999
2000-01-04,19.125,19.25,18.625,18.875,9800,11.613617999999999
2000-01-05,18.875,18.875,18.625,18.75,19200,11.536706
2000-01-06,18.75,19.125,18.5,19.125,25200,11.767439999999999
2000-01-07,19.125,19.25,19.125,19.25,4200,11.844352
2000-01-10,19.25,19.375,19.0,19.0,21800,11.690529
2000-01-11,19.0,19.125,18.875,19.0,34200,11.690529
2000-01-12,19.0,19.125,18.875,19.125,15400,11.767439999999999
2000-01-13,19.125,19.375,19.125,19.125,9400,11.767439999999999
2000-01-14,19.125,19.25,19.125,19.25,6200,11.844352
2000-01-18,19.25,19.25,19.125,19.25,13400,11.844352
2000-01-19,19.25,19.5,19.125,19.5,15600,11.998174
2000-01-20,19.5,19.5,19.125,19.25,11600,11.844352
2000-01-21,19.25,19.25,19.0,19.125,12400,11.767439999999999
2000-01-24,19.125,19.125,18.625,18.625,10600,11.459795
2000-01-25,18.625,18.75,18.375,18.375,8000,11.305972
2000-01-26,18.375,18.625,18.375,18.625,10800,11.459795
2000-01-27,18.625,18.625,18.375,18.375,9400,11.305972
2000-01-28,18.375,18.5,18.0,18.125,15000,11.152149
2000-01-31,18.125,18.125,17.0,17.5,101600,10.767592
2000-02-01,17.5,17.625,17.25,17.5,27800,10.767592
2000-02-02,17.5,17.625,17.375,17.5,10000,10.767592
2000-02-03,17.5,17.625,17.375,17.5,11600,10.767592
2000-02-04,17.5,17.875,17.375,17.75,7600,10.921415
2000-02-07,17.75,18.125,17.75,18.125,9800,11.152149
2000-02-08,18.125,18.125,17.5,18.125,23400,11.152149
2000-02-09,18.125,18.5,18.0,18.375,12200,11.305972
2000-02-10,18.25,18.25,17.375,17.875,15400,10.998327
2000-02-11,17.875,17.875,17.25,17.375,20600,10.690681
2000-02-14,17.375,17.375,16.875,17.25,18400,10.61377
2000-02-15,17.25,17.875,17.25,17.875,17400,10.998327
2000-02-16,17.875,18.125,17.875,18.0,5000,11.075238
2000-02-17,18.0,18.375,17.625,18.25,13400,11.229061
2000-02-18,18.125,18.125,17.25,17.25,15000,10.61377
2000-02-22,17.25,17.375,16.75,16.875,15400,10.383036
2000-02-23,16.875,17.25,16.625,17.125,11600,10.536858
2000-02-24,17.125,17.25,17.0,17.125,2400,10.536858
2000-02-25,17.0,17.0,16.875,17.0,4800,10.459947
2000-02-28,17.0,17.125,16.625,17.125,13800,10.536858
2000-02-29,17.125,17.125,16.875,17.125,10600,10.536858
2000-03-01,17.125,17.375,17.0,17.0,19400,10.459947
2000-03-02,17.0,17.375,17.0,17.0,5400,10.459947
2000-03-03,17.0,17.125,17.0,17.0,23000,10.459947
2000-03-06,16.875,16.875,16.375,16.625,22800,10.229213
2000-03-07,16.625,16.625,16.25,16.375,18200,10.075389999999999
2000-03-08,16.375,16.625,16.125,16.625,10000,10.229213
2000-03-09,16.75,17.0,16.75,16.75,9400,10.306124
2000-03-10,16.625,16.625,16.25,16.625,16200,10.229213
2000-03-13,16.625,16.625,16.5,16.625,6400,10.229213
2000-03-14,16.625,16.625,16.625,16.625,8800,10.229213
2000-03-15,16.625,16.625,16.625,16.625,15000,10.229213
2000-03-16,16.625,16.875,16.625,16.875,33600,10.383036
2000-03-17,16.5,16.5,16.25,16.375,26000,10.075389999999999
2000-03-20,16.5,16.625,16.5,16.5,25600,10.152301
2000-03-21,16.5,16.5,16.25,16.5,8800,10.152301
2000-03-22,16.5,16.5,15.875,16.0,13400,9.844656
2000-03-23,16.0,16.25,15.625,15.625,8600,9.613922
