Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,55.625,55.6875,53.625,54.9375,7239800,21.375285
2000-01-04,53.9375,55.5625,53.75,54.1875,7963000,21.083472
2000-01-05,54.0625,55.0,53.5,54.0625,4826200,21.034837
2000-01-06,54.375,58.0625,54.0625,57.75,8005000,22.469583
2000-01-07,58.4375,60.0625,58.125,58.8125,7368600,22.882984
2000-01-10,58.75,59.5625,57.875,59.375,5301600,23.101844
2000-01-11,59.5625,60.875,58.4375,60.5625,5525600,23.563881
2000-01-12,60.0625,61.0625,59.0625,59.1875,4767600,23.028891
2000-01-13,59.375,61.5,59.375,60.875,4431000,23.685469
2000-01-14,61.1875,62.375,60.25,61.5,4340400,23.928647
2000-01-18,62.0,66.75,61.75,66.125,10215200,25.728158999999998
2000-01-19,66.0,66.5,65.0625,65.875,6894200,25.630888
2000-01-20,64.8125,65.25,63.25,64.5625,5076800,25.120214999999998
2000-01-21,64.9375,67.625,64.875,66.0,8978600,25.679523
2000-01-24,66.25,66.9375,64.0,64.3125,5464400,25.022944
2000-01-25,63.3125,64.75,62.5,63.5,6135600,24.706814
2000-01-26,64.25,65.0,61.5625,62.875,6799600,24.463637
2000-01-27,62.625,64.5,61.3125,62.5,8198000,24.317729999999997
2000-01-28,62.125,63.25,59.75,60.0,6604200,23.345021
2000-01-31,60.375,61.5625,59.75,61.0625,4803200,23.758422
2000-02-01,61.9375,64.0625,61.75,63.9375,3888400,24.877038
2000-02-02,64.5,65.125,61.25,61.5,6333000,23.928647
2000-02-03,62.0,62.25,60.75,61.3125,4744400,23.855693
2000-02-04,60.75,61.3125,58.75,59.5,6238600,23.150479
2000-02-07,59.125,61.5,59.125,60.6875,4456000,23.612516
2000-02-08,61.125,61.6875,58.75,59.5,3218600,23.150479
2000-02-09,59.5,60.3125,56.9375,57.0625,5931400,22.202088
2000-02-10,58.0,59.625,57.5,59.0625,7112800,22.980255
2000-02-11,59.5,60.1875,58.3125,58.4375,5045000,22.737078
2000-02-14,58.4375,60.5,57.5,60.5,4750600,23.539563
2000-02-15,61.5,65.25,61.3125,65.0,10922200,25.290439000000003
2000-02-16,65.8125,66.375,65.0625,66.0,11507000,25.679523
2000-02-17,65.5,67.6875,64.75,66.875,10306800,26.019970999999998
2000-02-18,67.1875,67.75,65.875,66.5,5774400,25.874064999999998
2000-02-22,65.875,66.75,64.25,65.3125,5059000,25.484073000000002
2000-02-23,64.5,65.125,63.75,64.5,4034800,25.167046
2000-02-24,64.5,68.6875,64.375,68.4375,12022800,26.703406
2000-02-25,68.25,69.25,66.875,67.0,7579800,26.142513
2000-02-28,66.625,70.1875,66.5625,69.25,7540600,27.020433
2000-02-29,70.5,73.875,70.3125,73.859383,9574600,28.818953000000004
2000-03-01,75.8125,82.125,75.0,77.0625,15547800,30.068766999999998
2000-03-02,81.0,84.375,80.625,81.625,19973800,31.848994
2000-03-03,80.875,80.9375,76.5,78.625,12784000,30.678434000000003
2000-03-06,77.75,79.1875,77.1875,77.375,7330800,30.1907
2000-03-07,78.0,84.375,78.0,82.1875,10148000,32.068474
2000-03-08,77.0,78.875,76.0625,77.0625,9460400,30.068766999999998
2000-03-09,76.0,77.3125,74.3125,76.625,7907000,29.898059999999997
2000-03-10,76.25,80.75,76.125,76.6875,6666000,29.922447
2000-03-13,76.0,80.4375,75.5625,77.8125,6680200,30.361407
2000-03-14,76.875,77.6875,74.5625,76.25,6117400,29.75174
2000-03-15,75.375,76.1875,73.375,73.875,5643800,28.825046999999998
2000-03-16,73.625,75.9375,72.1875,75.5,8374600,29.4591
2000-03-17,74.75,76.5,74.1875,74.3125,6825400,28.995753000000004
2000-03-20,74.375,74.375,69.4375,70.25,7996400,27.41062
2000-03-21,70.5625,74.1875,70.5625,72.0,6822000,28.093446000000004
2000-03-22,73.25,78.625,73.0,76.625,8403800,29.898059999999997
2000-03-23,77.5,79.375,75.8125,77.3125,6109800,30.166314
2000-03-24,79.5,80.8125,77.4375,78.1875,6014600,30.507727000000003
2000-03-27,77.25,81.3125,75.8125,79.625,7670200,31.068621000000004
2000-03-28,78.25,80.4375,76.3125,76.875,6372400,29.995607
2000-03-29,75.6875,81.9375,75.5625,81.125,8049400,31.653901
2000-03-30,82.75,83.875,77.75,77.75,6718600,30.337020000000003
2000-03-31,79.0,80.3125,76.5,76.5,4591600,29.849287
2000-04-03,78.0,81.875,78.0,81.1875,5759000,31.678287
2000-04-04,81.0,82.75,76.75,79.1875,10392000,30.897914
2000-04-05,79.0,79.9375,73.0,73.75,8733600,28.776273
2000-04-06,74.9375,76.1875,72.5,75.0,7037800,29.264007
2000-04-07,75.0625,78.0,73.4375,73.625,6043000,28.7275
2000-04-10,72.125,72.375,70.3125,70.3125,6623200,27.435006
2000-04-11,71.0625,73.25,70.5,72.9375,6611200,28.459246999999998
2000-04-12,73.5,74.9375,72.3125,73.25,6125800,28.58118
2000-04-13,73.0,74.4375,71.75,71.75,4631400,27.9959
2000-04-14,71.375,74.625,69.1875,70.1875,5751000,27.386233
2000-04-17,70.1875,70.375,66.8125,68.3125,5328400,26.654633
2000-04-18,69.625,73.875,69.5,73.875,6359200,28.825046999999998
2000-04-19,73.6875,74.4375,71.625,73.75,4802800,28.776273
2000-04-20,74.0,74.625,73.3125,73.5625,5146600,28.703113000000002
2000-04-24,74.5,75.125,73.25,74.3125,5022400,28.995753000000004
2000-04-25,74.9375,75.75,73.6875,74.9375,5275800,29.239620000000002
2000-04-26,74.8125,77.625,73.4375,77.3125,6795800,30.166314
2000-04-27,77.5625,79.875,76.0,78.625,7609800,30.678434000000003
2000-04-28,77.625,78.75,76.25,76.5625,3429000,29.873673999999998
2000-05-01,76.3125,76.625,73.875,75.0,9229000,29.264007
2000-05-02,75.375,77.75,75.25,77.5625,7892200,30.263859999999998
2000-05-03,76.5625,77.375,74.0625,75.375,6925800,29.410327000000002
2000-05-04,75.0,77.25,75.0,76.0,5382200,29.654194
2000-05-05,75.75,77.9375,75.0625,77.625,3227200,30.288247
2000-05-08,77.375,79.375,75.75,76.5625,4600400,29.873673999999998
2000-05-09,76.625,78.4375,75.875,77.6875,4070200,30.312634000000003
2000-05-10,77.625,77.875,75.0,76.875,4237400,29.995607
2000-05-11,76.5,78.625,76.5,78.125,3292800,30.483340000000002
2000-05-12,78.9375,80.9375,77.5,80.5625,5167200,31.434421
2000-05-15,80.0,83.5625,79.8125,83.1875,5640200,32.458661
2000-05-16,82.9375,83.3125,81.0625,82.8125,5723200,32.312340999999996
2000-05-17,82.0625,84.25,81.625,83.0,5177200,32.385501
2000-05-18,80.75,81.3125,79.0625,80.75,8317400,31.507581
2000-05-19,80.5625,81.5,78.8125,79.1875,6987600,30.897914
2000-05-22,78.1875,78.5,73.25,73.5625,6371800,28.703113000000002
2000-05-23,73.9375,76.4375,73.125,75.1875,6294200,29.337166999999997
2000-05-24,75.375,75.875,72.875,74.25,4444000,28.971366999999997
2000-05-25,74.25,74.25,69.25,74.0625,11573000,28.898207
2000-05-26,74.5,75.1875,70.5625,71.0625,3754200,27.727646000000004
2000-05-30,71.5625,73.25,70.5625,71.0,6325600,27.703259999999997
2000-05-31,72.875,74.8125,72.125,73.5625,7982400,28.703113000000002
2000-06-01,73.5625,74.3125,71.25,73.125,6380800,28.532407
2000-06-02,72.9375,73.375,69.5,69.75,7873400,27.215526
2000-06-05,72.5,72.5,69.0625,69.0625,6763200,27.020101
2000-06-06,70.625,72.8125,70.25,71.625,7713000,28.022657000000002
2000-06-07,72.0625,72.75,70.375,71.875,5683000,28.120466999999998
2000-06-08,71.8125,73.375,71.3125,72.75,4516200,28.462803000000005
2000-06-09,73.0,73.0,70.875,71.5,4499400,27.973752
2000-06-12,72.5,74.5,72.5,73.031242,3897400,28.572837
2000-06-13,73.875,75.1875,73.5625,74.5,4607000,29.147476
2000-06-14,74.5,76.3125,73.75,74.25,5216000,29.049665
2000-06-15,74.25,74.625,72.1875,73.5,7113400,28.756234000000003
2000-06-16,74.5625,75.9375,74.5,75.8125,5728800,29.66098
2000-06-19,75.1875,75.4375,72.625,73.8125,5023800,28.878496999999996
2000-06-20,74.0625,74.25,71.375,74.0625,5971600,28.976307000000002
2000-06-21,75.9375,79.5,74.4375,77.625,7738600,30.370105
2000-06-22,78.0,78.125,73.75,75.1875,5384400,29.416453999999998
2000-06-23,75.125,76.25,73.5625,74.5,4079600,29.147476
2000-06-26,74.5625,75.5625,73.1875,74.1875,3770000,29.025213
2000-06-27,74.25,75.3125,73.125,75.25,4911600,29.440906
2000-06-28,75.125,75.1875,72.8125,73.0625,3963200,28.585065999999998
2000-06-29,73.625,74.875,72.75,74.0625,3488600,28.976307000000002
2000-06-30,74.0625,75.125,72.1875,74.625,3640000,29.196381
2000-07-03,74.375,74.5,73.4375,74.3125,1451400,29.074118
2000-07-05,73.0,73.0,69.875,70.0,5633800,27.38689
2000-07-06,71.625,72.6875,71.0625,71.75,6730600,28.071562
2000-07-07,71.875,72.1875,70.625,71.3125,4153000,27.900394
2000-07-10,71.0,72.0,68.625,68.875,8763200,26.946742999999998
2000-07-11,71.0,75.1875,71.0,74.953117,8150600,29.324754
2000-07-12,74.9375,76.0,73.5625,73.6875,5816400,28.829591999999998
2000-07-13,74.0,74.625,72.6875,74.1875,3248400,29.025213
2000-07-14,73.5,75.0,72.6875,74.8125,2902600,29.269738
2000-07-17,74.0,74.0,72.3125,72.343758,3060000,28.303864
2000-07-18,74.25,75.75,73.8125,75.6875,5144600,29.612075
2000-07-19,76.25,77.1875,74.625,76.0625,3421000,29.75879
2000-07-20,76.3125,76.9375,75.0625,75.25,4868800,29.440906
2000-07-21,75.0,75.0,72.625,73.3125,3390400,28.682877
2000-07-24,73.1875,73.875,70.125,71.0,5082600,27.778131
2000-07-25,72.75,72.9375,70.0625,70.5625,3843200,27.606963
2000-07-26,71.0,72.5625,70.375,71.3125,5616600,27.900394
2000-07-27,72.375,73.4375,71.9375,73.375,4049600,28.707328999999998
2000-07-28,73.5,74.125,71.5625,73.828117,3910000,28.884607
2000-07-31,73.875,74.4375,72.6875,73.921883,5163400,28.921291999999998
2000-08-01,74.375,75.6875,74.125,75.5,5692000,29.538717
2000-08-02,77.4375,78.625,77.125,78.0,7042000,30.516820000000003
2000-08-03,78.5,78.6875,76.0625,76.3125,4270000,29.8566
2000-08-04,76.625,78.4375,75.4375,77.828117,4168400,30.449571999999996
2000-08-07,77.0,79.0625,76.8125,78.140617,4018000,30.571834999999997
2000-08-08,78.1875,79.5,78.0625,79.421883,4126600,31.073119000000002
2000-08-09,80.5,82.25,80.0,82.25,10249000,32.179595
2000-08-10,81.375,82.0,80.5,80.953117,4784400,31.672201
2000-08-11,80.9375,80.9375,79.0,79.625,4015000,31.152587
2000-08-14,80.0,82.0,79.75,82.0,5805600,32.081784999999996
2000-08-15,82.5,82.6875,80.5625,82.125,6431200,32.13069
2000-08-16,82.0,86.265617,81.5,86.265617,10025400,33.750671000000004
2000-08-17,86.0,86.75,85.25,86.5625,6963800,33.866823
2000-08-18,86.625,86.625,84.8125,85.25,5890600,33.353319
2000-08-21,85.5625,86.5625,84.4375,85.9375,6026600,33.622298
2000-08-22,86.5,86.9375,85.625,86.25,5946600,33.744561
2000-08-23,87.375,88.5,86.8125,87.3125,5019600,34.160253999999995
2000-08-24,86.875,86.875,85.625,86.0625,4283200,33.671203000000006
2000-08-25,86.0,86.0,83.4375,85.75,5113000,33.54894
2000-08-28,85.5,88.875,84.6875,87.875,4515600,34.380328000000006
2000-08-29,86.875,88.5,85.6875,86.203117,4295800,33.726217999999996
2000-08-30,86.0625,86.6875,83.6875,84.921883,4236400,33.224946
2000-08-31,85.4375,85.9375,84.0625,85.328117,3911800,33.383882
2000-09-01,85.125,86.6875,85.0625,86.328117,2273600,33.849703000000005
2000-09-05,85.625,86.1875,83.625,85.6875,4661600,33.598514
2000-09-06,86.5,87.6875,84.9375,86.5,6145200,33.917099
2000-09-07,85.125,85.375,83.0625,83.6875,5047600,32.814303
2000-09-08,82.0625,82.75,80.5,82.5,5201800,32.348678
2000-09-11,83.9375,85.9375,83.25,85.25,5363200,33.426968
2000-09-12,85.9375,85.9375,82.875,84.6875,7890200,33.206408
2000-09-13,83.6875,83.6875,82.6875,82.9375,5625000,32.520224
2000-09-14,83.125,84.5625,82.0625,83.765617,5095000,32.844933000000005
2000-09-15,84.0,85.3125,84.0,84.6875,6191600,33.206408
2000-09-18,84.75,85.25,82.625,83.015617,4971800,32.550855
2000-09-19,83.25,83.875,80.875,80.875,5181200,31.711507
2000-09-20,82.0,84.0,78.75,79.625,9586000,31.221376
2000-09-21,78.5,81.0625,77.8125,80.5625,8329000,31.588975
2000-09-22,80.625,81.9375,79.0,79.171883,5719200,31.043706
2000-09-25,78.6875,79.25,76.1875,78.984383,12461800,30.970187
2000-09-26,79.375,79.8125,77.9375,79.0,6619400,30.976309999999998
2000-09-27,79.75,81.9375,78.25,81.5625,5964400,31.98108
2000-09-28,81.5,82.3125,80.5,81.390617,6761000,31.913684000000003
2000-09-29,83.0,83.625,82.1875,82.3125,4716000,32.275159
2000-10-02,83.125,84.9375,81.75,84.9375,4958400,33.304435
2000-10-03,85.0,86.25,84.25,84.625,5240000,33.181902
2000-10-04,83.0,83.375,80.9375,81.6875,4915200,32.030093
2000-10-05,80.875,82.25,79.75,82.125,4756200,32.201639
2000-10-06,82.125,83.3125,80.25,80.25,3292000,31.466441999999997
2000-10-09,81.4375,82.5,81.125,81.6875,2921800,32.030093
2000-10-10,83.0,85.0,82.875,83.8125,6658800,32.863316
2000-10-11,84.4375,86.0,82.375,83.375,4805600,32.69177
2000-10-12,83.8125,86.375,83.8125,85.0,5212400,33.328941
2000-10-13,84.375,84.375,81.0625,81.4375,4443800,31.932067
2000-10-16,81.4375,81.4375,79.5625,79.875,3931600,31.319402
2000-10-17,81.125,82.875,80.75,81.875,5374800,32.103613
2000-10-18,83.125,83.5,80.625,81.4375,4715600,31.932067
2000-10-19,81.4375,83.875,80.6875,81.5625,4036600,31.98108
2000-10-20,81.375,84.4375,81.25,84.125,3895600,32.985849
2000-10-23,83.9375,83.9375,80.0,80.5,7477800,31.564467999999998
2000-10-24,80.9375,81.4375,78.6875,78.8125,5115400,30.902790000000003
2000-10-25,77.0,79.0,75.25,75.3125,7717200,29.530421999999998
2000-10-26,76.625,77.375,74.0,76.1875,6468600,29.873514
2000-10-27,76.5625,76.5625,72.5625,75.125,5877000,29.456903000000004
2000-10-30,75.0625,76.1875,73.0,75.875,7002600,29.750981
2000-10-31,76.375,76.75,74.5625,76.125,5921800,29.849008
2000-11-01,76.9375,80.3125,76.9375,80.125,6985400,31.417429
2000-11-02,79.875,79.9375,78.1875,78.6875,6221200,30.853777
2000-11-03,78.5,80.75,78.3125,78.9375,3713600,30.951804
2000-11-06,79.4375,79.4375,76.125,77.5625,6350200,30.412659
2000-11-07,78.25,79.4375,78.0625,79.125,5338400,31.025322999999997
2000-11-08,79.3125,80.5625,78.9375,80.0,4664600,31.368415000000002
2000-11-09,80.375,80.875,77.25,78.875,5405200,30.927296999999996
2000-11-10,79.3125,79.8125,77.125,77.3125,3832600,30.314633
2000-11-13,78.125,78.75,74.375,74.375,6970200,29.162824
2000-11-14,74.25,76.875,73.75,75.9375,5647600,29.775488
2000-11-15,77.375,79.9375,76.9375,79.6875,4967400,31.245882
2000-11-16,79.5,80.3125,78.0625,79.125,4200000,31.025322999999997
2000-11-17,78.0,78.375,75.375,76.375,6403600,29.947034000000002
2000-11-20,77.0,77.4375,74.25,74.75,5656600,29.309863
2000-11-21,74.8125,75.875,74.3125,74.875,5145800,29.358876000000002
2000-11-22,73.5,74.1875,71.125,71.6875,5369000,28.109040999999998
2000-11-24,72.3125,73.9375,71.75,73.4375,2009800,28.795225
2000-11-27,73.0,73.3125,70.8125,71.375,6554600,27.986508
2000-11-28,71.3125,72.3125,69.25,69.3125,8257000,27.177791
2000-11-29,69.375,69.5625,64.75,66.0625,13534400,25.903449
2000-11-30,66.3125,66.8125,61.1875,62.0,15274400,24.310522
2000-12-01,62.9375,67.8125,61.125,66.75,15577400,26.173022
2000-12-04,66.8125,68.625,66.625,68.3125,8304400,26.785686
2000-12-05,69.3125,69.6875,67.625,68.25,7855800,26.761179
2000-12-06,69.4375,70.3125,67.25,68.4375,11115600,26.834699
2000-12-07,69.125,70.375,68.6875,69.8125,7360000,27.373844000000002
2000-12-08,69.8125,70.25,68.25,69.375,10317600,27.202298
2000-12-11,69.875,72.5625,69.6875,72.3125,5058000,28.354107
2000-12-12,73.75,74.375,72.375,73.375,6886000,28.770718
2000-12-13,73.5625,74.8125,71.75,72.0,9114200,28.231574
2000-12-14,72.3125,73.8125,70.4375,70.5,5136000,27.643416
2000-12-15,70.3125,72.875,70.0625,71.9375,6299400,28.207067
2000-12-18,72.9375,77.1875,72.875,77.0,8165200,30.1921
2000-12-19,76.5,80.9375,76.5,79.75,10096600,31.270389
2000-12-20,79.3125,79.625,75.1875,75.375,9137200,29.554928999999998
2000-12-21,75.375,75.6875,74.1875,75.0,8684200,29.481422
2000-12-22,75.5,76.6875,75.125,76.5,6404400,30.071051
2000-12-26,76.8125,81.75,76.8125,80.9375,5614200,31.815368
2000-12-27,80.9375,81.9375,78.6875,80.25,5103200,31.545121999999996
2000-12-28,79.8125,81.875,79.3125,81.4375,4469200,32.011911
2000-12-29,81.5,82.4375,79.9375,79.9375,3986600,31.422282
2001-01-02,80.1875,82.8125,80.1875,81.75,6675800,32.13475
2001-01-03,81.4375,81.5,78.75,79.75,12393800,31.348578999999997
2001-01-04,79.0,79.0625,75.0,77.6875,11791400,30.537840000000003
2001-01-05,77.6875,79.25,76.1875,76.75,6584200,30.169321999999998
2001-01-08,77.4375,78.4375,76.5,77.0,4615000,30.267592999999998
2001-01-09,78.5625,78.875,76.375,77.1875,7282400,30.341296999999997
2001-01-10,77.0,78.875,76.875,78.25,7696000,30.75895
2001-01-11,79.1875,80.625,78.375,80.4375,9695000,31.618825
2001-01-12,80.0,81.25,79.625,81.0625,5219600,31.864503999999997
2001-01-16,81.0625,81.75,78.875,80.5625,7114000,31.667961
2001-01-17,78.5,78.5,75.625,76.5,9685600,30.071051
2001-01-18,76.5625,77.375,72.375,72.8125,10294000,28.621546999999996
2001-01-19,72.875,74.0625,71.625,73.6875,8969400,28.965496999999996
