Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,67.5,68.625,64.125,65.5625,2315600,32.78125
2000-01-04,64.875,65.0,60.75,60.875,1291000,30.4375
2000-01-05,60.75,63.0,59.5,61.406239,3343800,30.703119
2000-01-06,61.4375,61.4375,55.625,56.9375,3107400,28.46875
2000-01-07,57.125,58.9375,56.0,57.5,1710800,28.75
2000-01-10,58.5,61.8125,58.375,60.3125,1718600,30.15625
2000-01-11,59.875,62.0,57.875,57.9375,2779000,28.96875
2000-01-12,57.5625,57.625,53.375,53.4375,5133600,26.71875
2000-01-13,55.265620999999996,55.5,53.4375,55.0625,4700000,27.53125
2000-01-14,56.0625,56.9375,54.75,56.375,3285600,28.1875
2000-01-18,56.0,56.375,54.875,55.1875,3468600,27.59375
2000-01-19,55.375,56.25,53.125,54.25,1484200,27.125
2000-01-20,54.5,56.4375,54.25,54.5625,2745600,27.28125
2000-01-21,54.625,55.75,54.0,54.625,2167000,27.3125
2000-01-24,55.375,55.375,52.875,52.875,2364600,26.4375
2000-01-25,53.25,53.25,46.6875,48.0,5453000,24.0
2000-01-26,47.625,48.125,44.625,47.625,5148200,23.8125
2000-01-27,48.125,48.25,41.625,43.8125,6114800,21.90625
2000-01-28,44.1875,44.25,42.8125,43.343761,4424000,21.671881
2000-01-31,43.4375,46.875,43.0,46.1875,3203800,23.09375
2000-02-01,46.625,46.625,45.25,46.5625,1674600,23.28125
2000-02-02,47.0625,47.125,44.875,45.8125,1407200,22.90625
2000-02-03,46.0,47.875,45.6875,46.8125,2837000,23.40625
2000-02-04,47.25,47.6875,44.875,45.25,2051800,22.625
2000-02-07,45.25,45.5,43.0,43.5,2499800,21.75
2000-02-08,44.125,45.875,43.375,45.1875,2225800,22.59375
2000-02-09,45.875,48.5,45.8125,48.1875,3943000,24.09375
2000-02-10,49.875,51.0,47.875,50.8125,6048000,25.40625
2000-02-11,52.25,52.75,50.0,50.5625,4198400,25.28125
2000-02-14,48.625,49.0625,41.75,42.4375,9699400,21.21875
2000-02-15,46.25,46.8125,42.5,42.625,19527200,21.3125
2000-02-16,44.5,45.3125,43.390621,44.5625,7291600,22.28125
2000-02-17,46.5,47.3125,44.9375,46.5,7950800,23.25
2000-02-18,42.375,42.375,36.875,37.5625,35009600,18.78125
2000-02-22,40.25,41.0,38.4375,38.9375,11006000,19.46875
2000-02-23,39.875,40.25,39.5,40.0,4836000,20.0
2000-02-24,40.890621,41.0,40.0,40.0625,5486400,20.03125
2000-02-25,40.375,40.875,40.25,40.25,4211200,20.125
2000-02-28,40.8125,40.9375,39.25,40.0,3643000,20.0
2000-02-29,40.3125,40.75,39.75,39.9375,5297400,19.96875
2000-03-01,40.3125,40.75,39.875,40.0625,3380000,20.03125
2000-03-02,40.1875,40.5,39.6875,39.75,2198400,19.875
2000-03-03,40.0625,40.5,39.4375,39.875,2766000,19.9375
2000-03-06,40.0,40.6875,39.1875,39.25,2464200,19.625
2000-03-07,39.75,39.875,38.5,38.875,2115600,19.4375
2000-03-08,39.1875,39.5,38.0,39.5,3656600,19.75
2000-03-09,39.625,42.125,38.8125,41.9375,2531800,20.96875
2000-03-10,42.375,45.5,41.125,43.3125,4713000,21.65625
2000-03-13,43.125,45.0625,41.5,43.0625,3290200,21.53125
2000-03-14,45.0,46.3125,43.0625,43.625,3621000,21.8125
2000-03-15,45.25,45.5,42.0,43.0625,3803200,21.53125
2000-03-16,43.9375,49.5,43.5,48.5,4743800,24.25
2000-03-17,47.25,52.5,47.25,49.5,5500800,24.75
2000-03-20,50.0,50.0625,47.625,48.25,3648400,24.125
2000-03-21,47.9375,50.375,46.5,50.1875,2149600,25.09375
2000-03-22,51.375,51.625,49.0,49.1875,2471400,24.59375
