Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,61.0,61.0625,57.5,58.4375,778600,21.149259
2000-01-04,57.9375,58.125,55.75,55.75,1267800,20.17662
2000-01-05,55.625,56.4375,54.375,55.0,2723000,19.905185
2000-01-06,55.375,55.4375,53.5,53.5,1864000,19.362317
2000-01-07,53.625,55.1875,53.4375,54.0,3660000,19.543273000000003
2000-01-10,54.875,58.8125,54.5625,57.75,1735200,20.900445
2000-01-11,59.0,59.0,57.5,58.0625,1713400,21.013542
2000-01-12,58.0,59.1875,57.5,58.5,1228800,21.171879
2000-01-13,58.75,61.6875,58.625,61.1875,1551400,22.144519
2000-01-14,60.9375,61.5,57.875,58.75,1548000,21.262357
2000-01-18,57.5,57.9375,56.5,56.8125,978400,20.561152
2000-01-19,57.25,58.25,57.0,57.6875,903800,20.877825
2000-01-20,57.9375,58.625,57.0,57.5,705200,20.809966
2000-01-21,57.5,58.4375,56.625,58.25,802400,21.081401
2000-01-24,58.0,58.0,55.1875,56.1875,720600,20.334956
2000-01-25,56.6875,57.125,54.9375,55.25,1083200,19.995663
2000-01-26,56.75,59.75,56.125,58.9375,1824200,21.330216
2000-01-27,58.125,60.1875,57.75,59.625,1752400,21.57903
2000-01-28,58.625,59.6875,58.0,58.25,1287800,21.081401
2000-01-31,57.875,58.0,56.0625,56.0625,892000,20.289717
2000-02-01,56.6875,57.3125,55.875,56.0625,944000,20.289717
2000-02-02,56.75,58.0,56.75,57.625,882000,20.855204999999998
2000-02-03,57.625,59.375,57.4375,58.875,1086400,21.307596
2000-02-04,58.9375,59.3125,57.1875,57.5,843000,20.809966
2000-02-07,56.625,57.5625,56.1875,56.1875,809200,20.334956
2000-02-08,56.4375,57.5,56.0,56.125,1893400,20.312337
2000-02-09,56.125,56.125,53.5,55.125,1887200,19.950423999999998
2000-02-10,55.0,56.0,54.375,55.5,1110800,20.086141
2000-02-11,56.125,56.125,54.625,55.125,1109800,19.950423999999998
2000-02-14,55.0,55.8125,54.6875,55.0,1030200,19.905185
2000-02-15,54.0,54.3125,52.4375,53.25,1461400,19.271838
2000-02-16,52.75,53.0625,51.9375,52.5,1393800,19.000404
2000-02-17,52.5,53.4375,51.0,51.625,825800,18.683730999999998
