Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,51.0,51.0,48.25,49.8125,868800,6.104706
2000-01-04,51.5,52.0,47.3125,47.9375,1240000,5.874918
2000-01-05,48.1875,49.625,47.25,49.5625,2204800,6.0740680000000005
2000-01-06,49.8125,51.9375,49.5625,51.5,1273600,6.311515
2000-01-07,51.75,53.5625,51.75,53.0,677600,6.495346
2000-01-10,52.75,53.625,48.875,51.0,2579200,6.250239
2000-01-11,51.0,51.0,49.25,50.4375,1098400,6.181302
2000-01-12,50.1875,51.125,50.0625,50.875,588000,6.2349190000000005
2000-01-13,51.0,51.5,50.9375,51.4375,599200,6.303856
2000-01-14,51.5,52.25,51.5,51.875,360800,6.357473000000001
2000-01-18,51.9375,52.4375,51.5625,52.25,508800,6.403430999999999
2000-01-19,52.3125,53.5625,52.3125,53.4375,680800,6.548963
2000-01-20,53.25,54.125,52.75,53.6875,467200,6.579602
2000-01-21,53.5,53.5625,51.625,52.125,215200,6.3881120000000005
2000-01-24,52.375,52.875,50.5625,50.6875,604800,6.211941
2000-01-25,50.75,51.0,50.5,51.0,697600,6.250239
2000-01-26,51.25,52.9375,51.25,52.0,432000,6.372792
2000-01-27,52.0625,52.0625,50.625,51.5,329600,6.311515
2000-01-28,51.25,51.4375,50.5625,50.9375,333600,6.242579
2000-01-31,50.9375,52.25,50.375,51.875,443200,6.357473000000001
2000-02-01,51.9375,53.0,51.625,52.75,812000,6.464708
2000-02-02,52.75,53.5,52.75,52.9375,472000,6.487686
2000-02-03,52.75,53.375,52.75,52.875,338400,6.480027
2000-02-04,52.9375,52.9375,50.75,51.0,470400,6.250239
2000-02-07,51.125,53.25,51.125,52.625,386400,6.449388
2000-02-08,52.625,52.9375,51.5,51.5,219200,6.311515
2000-02-09,51.5625,53.0,51.375,52.625,436800,6.449388
2000-02-10,52.6875,54.6875,52.5,53.5,880800,6.556622999999999
2000-02-11,53.25,53.75,52.5,52.5625,764000,6.4417290000000005
