Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,59.75,59.8125,55.625,56.875,11653600,5.213847
2000-01-04,56.6875,58.75,54.0625,54.25,8544000,4.9732080000000005
2000-01-05,53.5,54.25,48.25,51.0,12973600,4.675274
2000-01-06,50.25,51.0,47.125,48.0625,11642400,4.4059870000000005
2000-01-07,48.0,52.875,47.875,51.875,16177600,4.7554870000000005
2000-01-10,53.5,57.0,53.0,56.75,7756800,5.202388
2000-01-11,56.75,56.75,51.125,52.125,6324800,4.778405
2000-01-12,52.75,53.375,51.125,53.375,6470400,4.892995
2000-01-13,53.7187,55.875,53.0,54.6875,4000800,5.013315
2000-01-14,55.125,56.75,52.875,52.875,4434400,4.8471589999999996
2000-01-18,53.9687,56.75,53.6875,54.75,5034400,5.019044
2000-01-19,55.5,57.625,55.0,56.5,6753600,5.179469999999999
2000-01-20,59.125,61.25,58.0,60.4375,19503200,5.5404290000000005
2000-01-21,60.5,60.875,57.375,58.2812,8452800,5.342757
2000-01-24,58.0,61.6875,58.0,58.4375,10001600,5.357085
2000-01-25,59.0,59.125,56.0,58.0,5762400,5.316978
2000-01-26,58.0,60.75,57.375,57.8125,7943200,5.29979
2000-01-27,59.0,59.0,51.0,53.125,8400800,4.870076999999999
2000-01-28,52.625,53.9375,49.625,50.0625,10860000,4.589332
2000-01-31,50.25,51.25,46.5,50.0625,10579200,4.589332
2000-02-01,50.875,51.0,48.25,50.8125,5226400,4.658086
2000-02-02,52.0,55.0,51.0,53.625,7731200,4.915913
2000-02-03,56.375,58.9062,54.75,57.8125,8777600,5.29979
2000-02-04,57.875,59.0,57.0,58.625,7151200,5.3742730000000005
2000-02-07,59.75,65.0,58.5,63.4375,20037600,5.8154449999999995
2000-02-08,64.5,65.25,60.75,61.0625,13778400,5.5977239999999995
2000-02-09,62.25,63.75,61.0,62.875,5768800,5.76388
2000-02-10,62.875,69.375,62.875,69.125,14156800,6.33683
2000-02-11,68.875,69.0,64.375,65.75,10166400,6.027437
2000-02-14,66.5,66.875,63.1875,64.0,4259200,5.867011
2000-02-15,64.25,64.375,61.875,64.0,3693600,5.867011
2000-02-16,63.9375,67.5625,63.875,66.4375,4661600,6.090461
2000-02-17,66.75,66.75,63.75,63.9062,6163200,5.858412
2000-02-18,64.5,65.625,62.875,64.0,3620000,5.867011
2000-02-22,65.1875,66.125,61.125,64.3125,6072000,5.895658
2000-02-23,64.25,68.5,63.5,67.5,7748800,6.187863
2000-02-24,68.0,69.0,65.875,66.375,7815200,6.084732
2000-02-25,67.625,72.0,67.1875,71.75,10382400,6.577469000000001
2000-02-28,72.3125,73.875,68.5,70.0,8664000,6.417043
2000-02-29,71.5,74.5,69.75,71.4375,7821600,6.548821
2000-03-01,71.75,74.5,71.0,71.75,9414400,6.577469000000001
2000-03-02,71.9375,73.0,68.0,68.875,6732800,6.313912
2000-03-03,70.5,74.75,70.5,72.5,5336800,6.646223
2000-03-06,74.1875,77.625,74.0625,75.75,7325600,6.944157000000001
2000-03-07,77.25,79.5,75.5625,77.125,9005600,7.070206
2000-03-08,78.625,79.0,77.375,78.75,10022400,7.219173
2000-03-09,79.375,81.625,78.875,80.375,9001600,7.3681399999999995
2000-03-10,80.5,81.5,79.25,80.8125,8627200,7.408247
2000-03-13,79.6875,80.25,75.0,76.5625,3676800,7.018641000000001
2000-03-14,77.25,78.75,65.75,71.9375,12992000,6.594657000000001
2000-03-15,72.125,72.125,65.875,68.875,9296800,6.313912
2000-03-16,68.3125,71.75,63.125,70.0,8513600,6.417043
2000-03-17,67.875,72.75,67.5,71.375,3692000,6.543092
2000-03-20,71.5,74.0,70.0,70.3125,4995200,6.44569
2000-03-21,70.375,71.3125,66.0,69.75,6002400,6.394125
2000-03-22,70.0,73.5,68.375,72.5,3897600,6.646223
2000-03-23,73.125,75.125,71.8125,72.5,3748800,6.646223
2000-03-24,72.625,76.0,72.0,73.3125,2595200,6.720706
2000-03-27,74.0,75.375,69.3125,71.0625,3605600,6.514444
2000-03-28,71.5,73.875,71.0625,73.125,5792800,6.703517999999999
2000-03-29,73.1875,73.1875,67.0,71.8125,7219200,6.583197999999999
2000-03-30,70.25,73.5,68.625,72.0,9133600,6.600387
2000-03-31,74.0,76.125,72.25,75.125,11280000,6.886862
2000-04-03,75.375,76.375,61.25,61.6875,13176000,5.655019
2000-04-04,63.9375,65.5,52.375,58.125,16571200,5.328437
2000-04-05,58.875,65.5,57.9375,64.0,13575200,5.867011
2000-04-06,65.5625,66.3125,63.0,65.0,4962400,5.958683000000001
2000-04-07,64.625,67.0,64.0625,66.625,4152800,6.10765
2000-04-10,67.875,67.875,61.0,61.375,6331200,5.626371
2000-04-11,60.0625,64.0,58.0,59.4687,5964000,5.451617
2000-04-12,61.0,61.5,57.0,58.0625,5705600,5.322708
2000-04-13,59.6875,60.0,56.5,57.125,4160000,5.236765
2000-04-14,56.0625,56.125,49.125,52.5625,10435200,4.818512
2000-04-17,51.625,59.5625,50.5,59.5,7915200,5.454486
2000-04-18,60.375,64.5,58.75,63.5,5761600,5.821175
2000-04-19,64.0625,67.375,63.125,67.0625,8485600,6.147755999999999
2000-04-20,64.375,64.375,56.125,59.5,12801600,5.454486
2000-04-24,57.75,58.0,52.25,55.25,7550400,5.0648800000000005
2000-04-25,57.0,59.875,56.9375,59.0,6702400,5.40865
2000-04-26,60.25,61.625,54.875,55.1875,4660000,5.059151
2000-04-27,54.5,61.0,53.375,59.375,7299200,5.443027
2000-04-28,60.0,62.5625,58.5,62.4375,3033600,5.723773
2000-05-01,62.4375,63.75,61.25,61.8125,3780800,5.666478
2000-05-02,62.0,63.0,61.5,61.5625,5887200,5.64356
2000-05-03,60.7812,61.125,56.0,58.5,5497600,5.362814
2000-05-04,59.5937,62.0,58.75,61.0625,9112000,5.5977239999999995
2000-05-05,62.5,64.0,60.375,60.5,7707200,5.546158
2000-05-08,60.3125,61.0,58.5625,59.6875,7119200,5.471675
2000-05-09,59.875,60.625,57.75,60.5,5348000,5.546158
2000-05-10,60.125,60.125,55.25,56.8125,5454400,5.208118
2000-05-11,58.5,58.5,54.375,57.125,8564800,5.236765
2000-05-12,58.0,60.375,56.5,56.5625,3802400,5.1852
2000-05-15,57.5,58.625,56.0,58.4375,4304000,5.357085
2000-05-16,59.25,61.25,59.1875,60.5,5498400,5.546158
2000-05-17,59.9375,65.875,59.25,65.5,10359200,6.004519
2000-05-18,64.5625,66.9375,62.5,62.9375,6935200,5.769609
2000-05-19,62.875,64.9375,62.0,62.3125,4989600,5.712314
2000-05-22,61.875,62.75,57.5,62.0,3828000,5.683667
2000-05-23,61.5,63.8125,58.0,58.25,3637600,5.3398959999999995
2000-05-24,58.25,64.1875,57.5,64.1875,6028800,5.884199
2000-05-25,63.75,67.75,62.5,63.0,7055200,5.775339
2000-05-26,63.125,63.5,62.0,62.5,1272800,5.729503
2000-05-30,63.5,68.0625,62.5,68.0625,5825600,6.239428
2000-05-31,67.5625,67.75,64.375,65.75,4246400,6.027437
2000-06-01,66.625,70.25,66.625,70.0,9565600,6.417043
2000-06-02,71.0625,72.0625,69.0625,69.9375,6306400,6.411313
2000-06-05,70.03119699999999,70.5,68.5,69.9375,3910400,6.411313
2000-06-06,71.0,71.5,68.625,68.875,4073600,6.313912
2000-06-07,68.53119699999999,70.25,68.5,70.0,4895200,6.417043
2000-06-08,70.4375,71.3125,68.5,69.5,5634400,6.371207
2000-06-09,69.9375,73.125,69.375,71.5,6325600,6.554550999999999
2000-06-12,72.0,72.75,69.0,69.0625,3366400,6.3311
2000-06-13,68.625,71.375,68.0,71.0625,3530400,6.514444
2000-06-14,71.375,71.6875,68.5,68.9375,4892800,6.319641000000001
2000-06-15,68.875,73.0,68.625,71.125,6732000,6.520174
2000-06-16,72.0625,72.75,68.625,69.1875,6318400,6.342559
2000-06-19,68.75,69.125,61.375,62.625,13390400,5.740962000000001
2000-06-20,63.75,64.0625,62.4375,62.5,10376800,5.729503
2000-06-21,63.0,64.0,58.0,59.625,7778400,5.465945
2000-06-22,60.4687,60.5,55.625,56.75,12482400,5.202388
2000-06-23,57.8125,60.75,56.5,58.625,10220800,5.3742730000000005
2000-06-26,58.5312,59.5,52.5,53.75,9172000,4.927372
2000-06-27,54.4375,55.8125,52.5,52.75,10784000,4.8357
2000-06-28,53.9375,56.0,53.5,54.9375,9665600,5.036233
2000-06-29,53.875,57.875,53.875,57.0,6806400,5.225306
2000-06-30,56.6875,57.25,52.0,53.9375,9589600,4.944561
2000-07-03,53.625,55.0,52.5,54.1875,2783200,4.967479
2000-07-05,53.625,53.625,48.0,48.0625,11044000,4.4059870000000005
2000-07-06,49.0625,52.0625,47.5,51.5,14459200,4.7211099999999995
2000-07-07,51.875,52.3125,49.5625,50.8125,16140800,4.658086
2000-07-10,50.4687,52.0,48.5,50.4375,7588800,4.623709
2000-07-11,50.5,51.5,49.5625,50.0,6932000,4.583602
2000-07-12,50.1875,50.6875,49.5,49.75,10446400,4.560683999999999
2000-07-13,51.125,52.0,49.3125,50.0,11045600,4.583602
2000-07-14,52.0,53.5,50.0625,52.375,8127200,4.801323
2000-07-17,54.3125,54.5,52.0,52.75,6418400,4.8357
2000-07-18,53.25,53.25,50.25,50.75,6197600,4.652356
2000-07-19,51.0625,51.1875,46.25,47.25,8640800,4.331504
2000-07-20,51.8125,61.5,51.6875,60.375,25139200,5.534699
2000-07-21,58.9375,64.5,57.5,60.5,11597600,5.546158
2000-07-24,59.875,62.125,57.875,60.0,5332800,5.500322
2000-07-25,60.125,60.8125,59.5,60.0,6013600,5.500322
2000-07-26,59.3437,65.0,59.25,63.6875,6459200,5.838362999999999
2000-07-27,57.25,57.4375,49.125,50.25,30843200,4.60652
2000-07-28,49.5,51.0625,48.5,49.0625,11786400,4.497659
2000-07-31,49.875,51.375,46.875,51.25,15932000,4.698192
2000-08-01,50.125,51.875,49.375,49.6875,10269600,4.5549550000000005
2000-08-02,49.8125,53.9375,48.25,52.625,11245600,4.824241000000001
2000-08-03,50.75,55.875,50.1875,55.8125,9987200,5.116446
2000-08-04,55.7812,57.625,54.875,55.0625,13859200,5.047692
2000-08-07,55.0625,55.0625,53.25,53.875,6441600,4.9388309999999995
2000-08-08,53.8125,54.25,52.625,53.4375,4220000,4.898725
2000-08-09,54.3125,54.4375,51.4375,52.0,5062400,4.766946
2000-08-10,51.6875,52.25,48.8125,49.375,11378400,4.526307
2000-08-11,48.7812,49.5,47.875,48.375,7015200,4.434635
2000-08-14,48.0625,48.6875,44.9375,45.25,12604800,4.14816
2000-08-15,45.1875,45.1875,42.75,43.9375,20768000,4.02784
2000-08-16,43.75,49.125,43.25,48.3125,17010400,4.428905
2000-08-17,48.5,48.5,46.3125,46.9375,12026400,4.302855999999999
2000-08-18,47.6875,50.796799,47.375,50.4375,9806400,4.623709
2000-08-21,54.0312,54.25,50.75,51.0625,9449600,4.681004
2000-08-22,52.9375,53.4375,51.75,51.875,5759200,4.7554870000000005
2000-08-23,51.1875,51.3125,48.125,48.8125,9794400,4.474741000000001
2000-08-24,49.4375,50.125,48.8125,49.75,6847200,4.560683999999999
2000-08-25,49.8125,50.0,48.125,49.25,4956000,4.514848000000001
2000-08-28,49.25,49.75,48.0,49.5,7023200,4.537766
2000-08-29,49.375,49.375,47.625,48.375,6199200,4.434635
2000-08-30,48.0,48.625,47.5625,48.4375,6048800,4.440364
