Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,89.0,89.0,83.0,84.9375,858800,33.473616
2000-01-04,83.875,84.5,79.625,82.25,1052800,32.414481
2000-01-05,82.375,82.375,79.5625,80.25,692800,31.626286999999998
2000-01-06,83.25,84.0,75.5,77.0,2857800,30.345471000000003
2000-01-07,82.0,83.375,80.25,82.4375,3704600,32.488374
2000-01-10,83.5,88.875,83.0625,88.0,1266200,34.680539
2000-01-11,88.0625,88.0625,85.375,87.1875,1796800,34.360335
2000-01-12,87.75,87.75,84.5,85.75,777400,33.793820000000004
2000-01-13,85.5,87.75,84.875,86.3125,469200,34.0155
2000-01-14,87.0,88.0,86.4375,87.625,463800,34.532752
2000-01-18,86.625,88.125,85.625,87.1875,619400,34.360335
2000-01-19,86.75,87.375,86.1875,86.5,429600,34.089393
2000-01-20,86.75,86.8125,81.5,82.9375,1141800,32.685421999999996
2000-01-21,82.9375,82.9375,77.5,79.5,1570400,31.330714
2000-01-24,79.5,80.5,71.0,74.5,2471800,29.360228999999997
2000-01-25,74.5,76.25,72.75,75.0,1158200,29.557277000000003
2000-01-26,75.75,77.875,75.75,76.6875,1052200,30.222315999999996
2000-01-27,76.6875,77.75,74.0625,75.0,639600,29.557277000000003
2000-01-28,73.375,73.4375,71.875,72.375,829400,28.522772999999997
2000-01-31,72.5,74.375,70.3125,74.0,739200,29.16318
2000-02-01,72.375,73.375,71.4375,72.1875,2163400,28.448878999999998
2000-02-02,71.9375,72.5,69.125,69.125,1586800,27.241957
2000-02-03,69.875,72.25,69.5,71.75,1660800,28.276462
2000-02-04,73.625,74.0,71.0,71.625,758400,28.2272
2000-02-07,70.9375,70.9375,67.5625,69.9375,908400,27.562161
2000-02-08,70.75,71.125,67.9375,68.75,984800,27.094171000000003
2000-02-09,69.25,69.375,66.0625,66.3125,647800,26.133558999999998
2000-02-10,66.5,68.625,66.375,67.4375,1124600,26.576918
2000-02-11,68.125,68.4375,64.0625,64.875,1389200,25.567045
2000-02-14,65.5,67.75,63.25,66.75,890400,26.305977000000002
2000-02-15,66.75,66.75,65.0,65.8125,384600,25.936511
2000-02-16,65.8125,65.8125,59.9375,61.9375,1130200,24.409385
2000-02-17,63.0,63.5,60.9375,61.25,1171200,24.138443
2000-02-18,61.5625,62.0,55.0625,56.4375,2134600,22.241851
2000-02-22,58.0,58.75,54.5,56.734299,1749400,22.358819
2000-02-23,60.375,60.5,58.125,59.3125,1638200,23.374879999999997
2000-02-24,60.375,61.0,57.0625,58.8125,2171000,23.177832000000002
2000-02-25,58.9375,60.4375,58.9375,59.25,923800,23.350248999999998
2000-02-28,59.1875,64.1875,57.9375,63.5,1924600,25.025160999999997
2000-02-29,65.125,65.5,62.625,64.0,2176000,25.22221
2000-03-01,65.0,69.0,63.0,68.6875,2566600,27.069540000000003
2000-03-02,68.6875,68.6875,66.5,67.375,1359600,26.552287
2000-03-03,67.875,68.9375,67.25,68.5,784600,26.995646999999998
2000-03-06,68.5,68.5,64.5,65.4375,746600,25.788724
2000-03-07,66.0,66.9375,60.625,61.9375,1485000,24.409385
