Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,16.375,16.375,16.0,16.0625,235200,13.264498000000001
2000-01-04,16.0,16.125,15.9375,16.0,188600,13.212885
2000-01-05,16.0,16.3125,16.0,16.0625,168900,13.264498000000001
2000-01-06,16.1875,16.3125,16.0,16.1875,177700,13.367723000000002
2000-01-07,16.3125,16.9375,16.3125,16.9375,170300,13.987077
2000-01-10,16.9375,16.9375,16.6875,16.75,204000,13.832239000000001
2000-01-11,16.5,16.9375,16.5,16.875,182200,13.935464999999999
2000-01-12,16.8125,16.9375,16.5,16.5625,90500,13.6774
2000-01-13,17.375,17.375,17.0,17.1875,602200,14.193529000000002
2000-01-14,17.1875,17.1875,16.125,16.3125,227500,13.470949
2000-01-18,16.3125,16.375,15.9375,16.0,228600,13.212885
2000-01-19,16.0,16.0625,15.75,15.75,199800,13.006434
2000-01-20,15.875,15.9375,15.625,15.625,215600,12.903208
2000-01-21,15.6875,15.6875,15.375,15.4375,152800,12.748369
2000-01-24,15.375,15.5,14.8125,14.8125,293500,12.232241
2000-01-25,14.875,14.875,13.625,14.25,723800,11.767726
2000-01-26,14.25,14.5625,13.875,14.0,262000,11.561274000000001
2000-01-27,14.0,14.25,13.8125,14.1875,239100,11.716113
2000-01-28,14.25,14.3125,13.875,14.25,251700,11.767726
2000-01-31,14.375,14.375,13.5625,13.6875,506400,11.30321
2000-02-01,13.6875,14.0,13.6875,13.875,348800,11.458049
2000-02-02,14.0,14.125,13.5,13.5625,717300,11.199983999999999
2000-02-03,13.625,13.75,13.125,13.25,486700,10.94192
2000-02-04,13.125,13.25,12.9375,13.0,442700,10.735469
2000-02-07,13.0,13.0,12.5625,12.875,217400,10.632242999999999
2000-02-08,12.875,12.875,12.5625,12.8125,539500,10.580630000000001
2000-02-09,12.875,12.9375,12.4375,12.5,280900,10.322566
2000-02-10,12.375,12.5625,11.75,11.9375,414400,9.858051
2000-02-11,11.9375,12.0,11.0,11.25,826500,9.29031
2000-02-14,11.25,11.4375,10.75,11.0,605600,9.083858
2000-02-15,11.0,11.125,10.75,10.8125,714100,8.92902
2000-02-16,10.9375,11.0,10.75,10.875,423500,8.980633000000001
2000-02-17,10.9375,11.0625,10.625,10.75,518300,8.877407
2000-02-18,10.75,10.8125,10.5625,10.6875,353300,8.825794
