Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,11.5625,11.5625,10.5,10.75,218200,4.589542
2000-01-04,10.8125,10.8125,10.3125,10.4375,188200,4.456125
2000-01-05,10.4375,10.4375,10.0625,10.3125,118800,4.402758
2000-01-06,10.4375,10.4375,10.0625,10.125,344800,4.322708
2000-01-07,10.125,10.125,9.9375,10.0,326600,4.269341000000001
2000-01-10,10.0,10.0,9.75,9.875,380600,4.215974
2000-01-11,10.0,10.4375,9.9375,10.4375,929200,4.456125
2000-01-12,10.375,10.375,9.9375,10.125,917400,4.322708
2000-01-13,10.0625,10.5,10.0625,10.4375,393000,4.456125
2000-01-14,10.5,10.5,9.8125,10.0,1046400,4.269341000000001
2000-01-18,10.125,10.4375,10.0,10.4375,398400,4.456125
2000-01-19,10.5625,10.5625,10.125,10.5,697600,4.482808
2000-01-20,10.5625,11.0625,10.3125,11.0,654800,4.696275
2000-01-21,11.0625,11.5,10.875,11.3125,713000,4.829692
2000-01-24,11.4375,11.4375,11.0,11.0625,747600,4.722958
2000-01-25,11.5,12.4375,11.5,12.375,760800,5.283309
2000-01-26,12.5,13.0,12.5,12.75,462400,5.44341
2000-01-27,12.75,12.75,11.9375,11.9375,252400,5.096526
2000-01-28,11.8125,12.0625,11.3125,11.5625,628200,4.936425
2000-01-31,11.5625,11.5625,11.0,11.0,245200,4.696275
2000-02-01,10.9375,11.125,10.75,11.0,361200,4.696275
2000-02-02,10.9375,11.4375,10.875,10.9375,544600,4.669592
2000-02-03,11.0,11.125,10.75,10.875,162800,4.642908
2000-02-04,10.9375,10.9375,10.5625,10.75,249600,4.589542
2000-02-07,10.875,10.875,10.5,10.8125,161800,4.616225
2000-02-08,10.8125,11.0,10.5625,10.6875,128600,4.562858
2000-02-09,10.75,10.75,10.3125,10.4375,279800,4.456125
2000-02-10,10.4375,10.4375,10.25,10.3125,248800,4.402758
2000-02-11,10.3125,10.3125,9.9375,10.0625,500600,4.296024
2000-02-14,10.125,10.1875,9.875,10.0,1221200,4.269341000000001
2000-02-15,10.0,10.0,9.75,9.75,468800,4.162607
2000-02-16,9.75,9.8125,9.375,9.75,595400,4.162607
2000-02-17,10.0,10.0,9.75,9.9375,321400,4.2426580000000005
2000-02-18,9.8125,9.875,9.5,9.5625,189800,4.0825569999999995
2000-02-22,9.5625,9.5625,9.25,9.3125,188200,3.975824
2000-02-23,9.25,9.4375,9.0,9.0,431000,3.842407
2000-02-24,9.0,9.625,9.0,9.25,155800,3.9491400000000003
2000-02-25,9.1875,9.3125,9.0,9.25,165000,3.9491400000000003
2000-02-28,9.25,9.5625,9.125,9.3125,182200,3.975824
2000-02-29,9.375,9.625,9.25,9.25,419800,3.9491400000000003
2000-03-01,9.3125,9.5,9.1875,9.4375,676400,4.029191
2000-03-02,9.4375,10.0,9.4375,9.5625,649800,4.0825569999999995
