Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.0,17.0,15.9375,16.125,57700,12.042125
2000-01-04,15.875,16.6875,15.875,16.0625,73400,11.99545
2000-01-05,16.3125,16.5625,16.0625,16.25,23500,12.135475
2000-01-06,16.1875,16.1875,15.875,16.0,24700,11.948775
2000-01-07,15.875,16.125,15.75,16.125,45200,12.042125
2000-01-10,16.3125,16.5,16.125,16.375,33000,12.228825
2000-01-11,16.25,16.25,15.875,16.125,45100,12.042125
2000-01-12,16.0,16.125,15.75,15.875,40100,11.855425
2000-01-13,16.0,16.3125,15.875,16.125,28800,12.042125
2000-01-14,16.25,16.25,15.8125,15.8125,54400,11.808750999999999
2000-01-18,15.875,16.25,15.75,16.0625,66500,11.99545
2000-01-19,16.0,16.3125,16.0,16.0625,53800,11.99545
2000-01-20,16.0,16.125,15.5,15.625,45500,11.668726
2000-01-21,15.875,16.0,15.5,15.8125,52100,11.808750999999999
2000-01-24,15.9375,16.125,15.5,16.125,80200,12.042125
2000-01-25,16.125,17.3125,16.0,17.125,83500,12.788924
2000-01-26,17.125,17.4375,16.9375,17.125,67900,12.788924
2000-01-27,17.1875,17.3125,16.5625,16.5625,24900,12.368849
2000-01-28,16.75,17.3125,16.75,17.125,35900,12.788924
2000-01-31,17.375,17.375,16.25,16.5,33300,12.322175
2000-02-01,16.4375,18.5,16.3125,18.4375,108500,13.769097
2000-02-02,18.1875,18.1875,17.5,18.125,49800,13.535722
2000-02-03,18.0,18.5625,17.75,18.375,32200,13.722422
2000-02-04,18.5,18.5,17.875,18.0,54400,13.442372
2000-02-07,18.125,18.125,17.75,18.0,19100,13.442372
2000-02-08,17.8125,17.8125,17.5625,17.625,18200,13.162323
2000-02-09,17.5,17.9375,17.0,17.1875,58100,12.835598
2000-02-10,16.9375,17.1875,16.9375,16.9375,33600,12.648899
2000-02-11,17.0,17.125,16.625,16.625,60500,12.415524000000001
2000-02-14,16.5625,16.8125,16.25,16.5625,22300,12.368849
2000-02-15,16.4375,16.625,16.0,16.5625,43900,12.368849
2000-02-16,16.5625,16.5625,16.375,16.375,17900,12.228825
2000-02-17,16.5625,16.625,16.25,16.4375,38700,12.2755
2000-02-18,16.375,16.6875,15.375,16.6875,68200,12.462199
2000-02-22,16.6875,16.8125,15.8125,15.875,18500,11.855425
2000-02-23,15.9375,16.375,15.875,16.3125,38200,12.18215
2000-02-24,16.4375,16.4375,15.9375,16.1875,24900,12.0888
2000-02-25,16.125,16.5625,16.125,16.5,19300,12.322175
2000-02-28,16.4375,16.8125,16.25,16.5,23200,12.322175
2000-02-29,16.5,16.5,15.8125,15.875,37600,11.855425
2000-03-01,15.875,16.6875,15.875,16.1875,40600,12.0888
2000-03-02,16.0625,16.25,15.875,15.875,22000,11.855425
2000-03-03,16.0,16.625,15.9375,16.5,53000,12.322175
2000-03-06,16.4375,16.5,15.875,16.25,22400,12.135475
2000-03-07,16.1875,16.1875,15.5625,15.9375,48300,11.9021
2000-03-08,16.0,16.0,15.5625,15.875,48800,11.855425
2000-03-09,16.0,16.0,15.5625,16.0,60700,11.948775
2000-03-10,15.9375,16.25,15.6875,15.875,29800,11.855425
2000-03-13,15.625,15.75,15.4375,15.625,39000,11.668726
2000-03-14,15.5625,15.625,15.25,15.4375,21600,11.528701
2000-03-15,15.4375,15.75,15.125,15.75,83900,11.762075999999999
2000-03-16,15.6875,16.125,15.6875,16.0625,26600,11.99545
2000-03-17,15.9375,16.0,15.8125,15.9375,27800,11.9021
2000-03-20,15.9375,16.0625,15.375,16.0625,28800,11.99545
2000-03-21,16.0,16.1875,15.9375,16.125,32800,12.049627000000001
2000-03-22,16.75,16.75,15.8125,15.9375,32700,11.909514999999999
