Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,35.5,37.5625,33.625,37.5625,1010000,18.78125
2000-01-04,36.5,36.625,34.5,34.5625,265400,17.28125
2000-01-05,34.25,34.25,33.0,34.0,202000,17.0
2000-01-06,33.25,33.875,33.125,33.5,270600,16.75
2000-01-07,33.0,37.0,33.0,36.4375,813200,18.21875
2000-01-10,36.906239,38.25,36.375,37.5625,1306400,18.78125
2000-01-11,37.375,40.125,36.875,39.5625,1208800,19.78125
2000-01-12,39.75,39.875,38.0,39.125,842400,19.5625
2000-01-13,38.625,39.625,38.625,39.125,925600,19.5625
2000-01-14,39.031239,46.0,38.9375,44.0,550800,22.0
2000-01-18,43.4375,44.0,41.4375,42.4375,268000,21.21875
2000-01-19,42.593761,42.625,39.625,42.1875,638000,21.09375
2000-01-20,42.125,46.125,42.125,44.281239,550000,22.140619
2000-01-21,44.0625,50.5,44.0,49.1875,1096000,24.59375
2000-01-24,48.0,49.25,47.875,48.1875,549200,24.09375
2000-01-25,49.375,49.75,43.0,44.25,620800,22.125
2000-01-26,44.25,47.125,44.0,44.25,777200,22.125
2000-01-27,43.781239,46.5,41.25,42.0625,560600,21.03125
2000-01-28,42.25,42.25,40.625,41.718761,312600,20.859381
2000-01-31,41.281239,41.875,39.875,41.0,492400,20.5
2000-02-01,40.8125,40.875,37.75,39.593761,769800,19.796881
2000-02-02,39.5625,42.25,39.5,42.0,551400,21.0
2000-02-03,44.75,45.5,42.5625,44.4375,523800,22.21875
2000-02-04,44.0,48.0,42.375,47.5,615400,23.75
2000-02-07,47.625,53.75,46.625,49.5,792000,24.75
2000-02-08,50.125,51.625,47.75,51.5625,594200,25.78125
2000-02-09,51.0,52.0,48.0,48.25,286000,24.125
2000-02-10,48.25,50.0,47.125,48.25,560800,24.125
2000-02-11,48.125,51.125,48.0,50.9375,634800,25.46875
2000-02-14,50.9375,51.625,49.875,51.625,264400,25.8125
2000-02-15,51.25,54.375,51.25,52.8125,434600,26.40625
2000-02-16,52.5,54.375,52.5,54.0,441600,27.0
2000-02-17,55.5,66.984383,55.125,66.0,1690600,33.0
2000-02-18,66.5,66.5,59.5,61.5,1381800,30.75
2000-02-22,61.625,61.625,55.0,57.0625,980200,28.53125
2000-02-23,57.0625,60.9375,55.75,60.343761,852000,30.171881
2000-02-24,60.5,62.375,59.5,60.375,1287800,30.1875
2000-02-25,60.625,61.75,60.1875,61.0,1485400,30.5
2000-02-28,62.75,65.625,60.0,62.0,793800,31.0
