Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,40.3125,40.375,38.0,39.125,9037000,12.314243
2000-01-04,37.25,37.6875,36.0,37.1875,15237200,11.704433
2000-01-05,37.0,37.75,36.0625,36.8125,8228200,11.586405000000001
2000-01-06,37.0625,39.0,36.9375,38.4375,8326800,12.097859
2000-01-07,39.25,39.6875,38.5625,39.125,7711200,12.314243
2000-01-10,38.375,38.625,37.75,37.875,8953200,11.920817
2000-01-11,37.8125,38.0,37.0625,37.25,6170800,11.724103999999999
2000-01-12,37.3125,38.625,37.3125,38.3125,7030000,12.058516000000001
2000-01-13,39.875,40.5,39.6875,40.4375,11077000,12.727341000000001
2000-01-14,43.75,43.75,41.125,41.6875,11497400,13.120767
2000-01-18,39.75,40.25,38.5,38.875,12744000,12.235558000000001
2000-01-19,38.375,38.9375,36.5,36.75,17140600,11.566733000000001
2000-01-20,36.8125,37.3125,35.8125,36.375,14965200,11.448706
2000-01-21,36.5,37.625,36.0625,36.625,14016600,11.527391
2000-01-24,37.0,37.4375,35.4375,35.875,9540000,11.291335
2000-01-25,35.8125,38.0,35.8125,37.625,10701000,11.842132000000001
2000-01-26,37.4375,38.5,37.0,38.0,14587200,11.96016
2000-01-27,38.625,39.75,38.1875,39.0,10255000,12.274901
2000-01-28,38.875,39.125,38.1875,38.75,8089000,12.196216
2000-01-31,38.3125,40.0,38.3125,40.0,9267400,12.589642
2000-02-01,40.0,40.6875,39.8125,40.4375,9528800,12.727341000000001
2000-02-02,40.4375,40.5,39.0,39.0,6637600,12.342047
2000-02-03,39.3125,39.625,38.0625,38.875,10805600,12.302489999999999
2000-02-04,39.125,39.125,38.4375,38.5625,7146800,12.203595
2000-02-07,38.25,38.625,38.0,38.1875,8873200,12.084921000000001
2000-02-08,38.3125,39.5625,38.3125,38.9375,8445000,12.322269
2000-02-09,38.4375,38.625,37.75,37.875,9003600,11.986027
2000-02-10,37.875,38.0625,36.6875,36.75,14250800,11.630006
2000-02-11,37.6875,38.625,37.125,37.875,11174800,11.986027
2000-02-14,38.375,38.625,37.625,37.8125,8303800,11.966248
2000-02-15,37.375,37.9375,36.75,37.6875,7574600,11.926689999999999
2000-02-16,37.75,37.75,36.0,36.0,7861000,11.392659
2000-02-17,37.0625,37.125,34.375,34.9375,9629000,11.056417999999999
2000-02-18,34.75,34.75,32.75,33.5,20619200,10.601502
2000-02-22,33.75,35.0,32.75,35.0,10546000,11.076196000000001
2000-02-23,34.25,34.6875,32.75,34.0,8786200,10.759734
2000-02-24,33.125,33.5625,32.0,32.875,9797200,10.403713
2000-02-25,33.1875,33.875,32.25,32.6875,8026800,10.344375999999999
2000-02-28,33.375,34.5625,33.0,34.125,8663600,10.799292
2000-02-29,34.125,34.1875,32.625,33.0625,11133400,10.46305
2000-03-01,33.0625,34.9375,33.0625,34.6875,11305800,10.977302
2000-03-02,35.5625,35.6875,33.4375,33.9375,10556200,10.739955
2000-03-03,34.625,35.0,34.0625,34.6875,8831400,10.977302
2000-03-06,34.6875,35.5,34.4375,34.4375,7545400,10.898186
2000-03-07,34.6875,34.6875,32.625,33.0625,8782600,10.46305
2000-03-08,32.8125,33.9375,31.0,31.0,9310400,9.810345
2000-03-09,34.3125,34.3125,32.25,32.8125,9146600,10.383934
2000-03-10,33.0,33.25,32.0,32.1875,8554000,10.186145
2000-03-13,31.75,32.9375,31.375,32.625,8542400,10.324597
2000-03-14,32.4375,32.5625,31.8125,31.875,7903800,10.08725
2000-03-15,32.0,36.0,32.0,36.0,15288600,11.392659
2000-03-16,35.875,38.75,35.5,38.5,19621600,12.183816
2000-03-17,38.125,39.5625,38.0625,38.5,14195400,12.183816
2000-03-20,38.5,38.5625,37.375,37.9375,10822200,12.005806
2000-03-21,37.6875,39.9375,37.6875,39.5625,12409200,12.520058
2000-03-22,39.4375,40.25,39.1875,40.0,10333800,12.65851
2000-03-23,39.875,41.9375,39.75,41.4375,12593200,13.113425
2000-03-24,41.375,42.625,40.75,41.0,12729000,12.974973
2000-03-27,40.875,41.8125,40.25,40.9062,14213400,12.945289
2000-03-28,40.5,41.25,40.25,40.6875,11255800,12.876078
2000-03-29,40.25,40.6875,38.8125,39.4375,10821000,12.4805
2000-03-30,40.25,40.8125,39.1875,39.1875,9668200,12.401384
2000-03-31,39.4375,41.3125,38.75,40.75,10090800,12.895857000000001
2000-04-03,40.9375,44.375,40.625,43.6875,15408800,13.825467000000002
2000-04-04,43.6875,45.5,42.0,43.25,16863600,13.687014000000001
2000-04-05,43.4375,43.4375,41.625,42.4375,8731200,13.429888
2000-04-06,41.5,42.0,39.625,40.5,13575200,12.816742
2000-04-07,40.0,40.4375,39.625,39.75,9817800,12.579395
2000-04-10,38.0,40.125,37.875,39.5,15029600,12.500278999999999
2000-04-11,39.3125,41.375,39.3125,40.375,11059400,12.777184
2000-04-12,41.1875,42.75,40.9375,42.0,13893800,13.291436
2000-04-13,42.3125,42.3125,41.1875,41.75,9115200,13.212320000000002
2000-04-14,41.75,41.8125,38.25,40.0,13311200,12.65851
