Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.75,17.875,16.6875,17.375,3833200,11.295126
2000-01-04,17.3125,18.0,17.125,17.3125,4736900,11.254496000000001
2000-01-05,17.25,17.625,17.1875,17.375,2676000,11.295126
2000-01-06,17.375,17.375,16.6875,17.25,2428500,11.213866000000001
2000-01-07,17.1875,17.25,16.5,16.5625,2461900,10.766936999999999
2000-01-10,16.875,16.875,16.375,16.625,2145600,10.807567
2000-01-11,16.5625,16.625,16.125,16.4375,1388000,10.685677
2000-01-12,16.375,16.875,16.375,16.8125,1638400,10.929456
2000-01-13,16.8125,17.375,16.75,16.9375,2438200,11.010716
2000-01-14,16.9375,16.9375,16.625,16.75,1205700,10.888826
2000-01-18,16.875,17.0625,16.6875,16.75,1922400,10.888826
2000-01-19,16.9375,17.25,16.8125,17.125,1665300,11.132606
2000-01-20,17.0625,17.125,16.5625,16.75,1770300,10.888826
2000-01-21,17.0625,17.0625,16.5625,16.625,2491100,10.807567
2000-01-24,16.75,16.875,16.1875,16.3125,1929700,10.604417
2000-01-25,16.125,16.5,15.75,16.0625,2462900,10.441897
2000-01-26,16.5,17.0,16.3125,16.5625,2689000,10.766936999999999
2000-01-27,17.0625,17.8125,16.8125,17.3125,3919100,11.254496000000001
2000-01-28,17.625,18.0625,17.375,17.6875,4148000,11.498275999999999
2000-01-31,17.75,18.0,17.375,17.5,4220800,11.376386
2000-02-01,17.5,17.6875,17.125,17.5,2508200,11.376386
2000-02-02,17.5,17.625,17.25,17.375,3076400,11.295126
2000-02-03,17.625,18.5,17.375,18.125,3936100,11.782685
2000-02-04,18.25,18.3125,17.5,17.8125,2430000,11.579536000000001
2000-02-07,17.8125,17.8125,17.375,17.375,1812700,11.295126
2000-02-08,17.5625,17.625,16.5,16.75,2746800,10.888826
2000-02-09,17.0,17.0,16.0,16.3125,2866300,10.604417
2000-02-10,16.3125,16.3125,14.625,15.0,8920800,9.751188
2000-02-11,15.125,15.3125,13.875,14.5,7279600,9.426148
2000-02-14,14.5625,15.125,14.125,14.6875,1886600,9.548038
2000-02-15,14.875,14.9375,14.125,14.5625,3668100,9.466778
2000-02-16,14.5,15.25,14.1875,14.5,3947000,9.426148
2000-02-17,15.4375,15.9375,14.9375,15.875,2847000,10.320007
2000-02-18,15.75,15.8125,15.4375,15.5,2752600,10.076227000000001
2000-02-22,15.75,16.25,15.75,16.125,4359300,10.482527000000001
2000-02-23,16.125,16.25,15.75,15.75,4033200,10.238747
2000-02-24,15.9375,16.0,15.5,15.75,3297300,10.238747
2000-02-25,15.3125,15.6875,15.1875,15.25,2252500,9.913708
2000-02-28,15.3125,15.4375,14.8125,15.0,1811500,9.751188
2000-02-29,15.125,15.1875,14.75,15.0,2533900,9.751188
2000-03-01,15.125,15.25,14.625,14.75,2881500,9.588667999999998
2000-03-02,15.0,15.0,14.375,14.5,2083600,9.426148
2000-03-03,14.8125,14.8125,14.4375,14.625,2996500,9.507408
2000-03-06,14.625,14.6875,14.125,14.1875,2744400,9.222999
2000-03-07,14.3125,14.375,13.875,13.9375,3043900,9.060478999999999
2000-03-08,13.9375,14.1875,13.75,13.9375,2411500,9.060478999999999
2000-03-09,13.9375,14.0625,13.6875,13.9375,2159000,9.060478999999999
2000-03-10,13.9375,14.1875,13.625,14.0,3602400,9.101109
2000-03-13,13.9375,14.0625,13.75,13.9375,2257200,9.060478999999999
2000-03-14,13.8125,13.9375,13.0,13.25,2965900,8.613549
2000-03-15,13.25,13.4375,13.0625,13.25,2452900,8.613549
2000-03-16,13.5625,13.5625,13.0,13.4375,4848300,8.735439
2000-03-17,13.75,14.75,13.4375,14.25,6011700,9.263628
2000-03-20,14.0,14.4375,13.625,14.375,1771000,9.344888000000001
2000-03-21,14.375,14.4375,13.875,13.9375,2576000,9.060478999999999
2000-03-22,13.6875,14.0625,13.625,14.0,3040500,9.101109
2000-03-23,13.9375,14.375,13.9375,14.0,2885500,9.101109
2000-03-24,13.875,14.0,13.3125,13.5625,3613400,8.816699
2000-03-27,13.5,14.375,13.5,14.25,3566100,9.263628
2000-03-28,14.25,14.25,13.0625,13.0625,3799700,8.491659
2000-03-29,13.8125,14.25,13.375,14.125,4698100,9.182369
2000-03-30,14.1875,14.1875,13.75,13.8125,4463300,8.979219
2000-03-31,13.8125,13.875,13.5625,13.6875,3595100,8.897959
2000-04-03,13.875,14.25,13.5,14.1875,2803700,9.222999
2000-04-04,14.1875,14.6875,13.75,14.25,3690700,9.263628
2000-04-05,14.0,14.25,13.75,13.8125,1772500,8.979219
2000-04-06,13.875,14.6875,13.8125,14.3125,1981700,9.304258
2000-04-07,14.4375,15.1875,14.4375,14.9375,2653100,9.710558
2000-04-10,15.0625,15.6875,15.0625,15.5625,3091200,10.116857000000001
2000-04-11,15.4375,15.5,14.875,15.3125,1919800,9.954338
2000-04-12,15.3125,15.375,14.6875,15.25,2009700,9.913708
2000-04-13,15.125,15.1875,14.5625,14.5625,1606200,9.466778
2000-04-14,14.3125,14.5,13.75,13.8125,3181500,8.979219
2000-04-17,13.8125,13.875,13.3125,13.5,2824700,8.776069
2000-04-18,13.625,14.3125,13.625,14.3125,2441300,9.304258
2000-04-19,14.3125,14.3125,13.8125,13.8125,1697700,8.979219
2000-04-20,13.9375,14.0625,13.8125,14.0,2278500,9.101109
2000-04-24,14.0,14.875,13.9375,14.8125,2983400,9.629298
2000-04-25,15.0,15.4375,14.375,15.0625,2445600,9.791818
2000-04-26,15.1875,15.4375,15.0625,15.0625,1640400,9.791818
2000-04-27,15.125,15.125,14.5625,14.9375,2388100,9.710558
2000-04-28,15.0625,16.3125,15.0625,16.0,3653300,10.401267
2000-05-01,16.0625,16.5,15.8125,15.8125,1969600,10.279377
2000-05-02,15.8125,15.8125,15.4375,15.4375,1386900,10.035598
2000-05-03,15.375,15.4375,14.6875,14.8125,1306000,9.629298
2000-05-04,14.9375,15.125,14.6875,14.9375,1577200,9.710558
2000-05-05,15.0,16.0625,14.875,15.75,2290800,10.238747
2000-05-08,15.625,15.9375,15.4375,15.5,1894300,10.076227000000001
2000-05-09,15.4375,15.5625,14.75,15.0,1278100,9.751188
2000-05-10,15.0,15.25,14.8125,15.0,1137600,9.751188
2000-05-11,16.6875,19.0,15.75,18.9375,12046700,12.310875
2000-05-12,18.8125,19.4375,18.125,19.1875,4319500,12.473394
2000-05-15,18.9375,19.4375,18.5625,18.8125,2361800,12.229614999999999
2000-05-16,18.6875,19.25,18.4375,18.75,2037600,12.188985
2000-05-17,18.625,18.875,18.4375,18.75,1142200,12.188985
2000-05-18,18.6875,18.75,18.1875,18.375,1599900,11.945205
2000-05-19,18.0625,18.375,17.6875,18.25,1912100,11.863945
2000-05-22,18.375,18.4375,18.0,18.25,2173700,11.863945
2000-05-23,18.25,18.9375,18.125,18.8125,1534700,12.229614999999999
2000-05-24,18.875,19.125,18.375,18.875,2268900,12.270245
2000-05-25,18.6875,19.75,18.3125,19.4375,2830200,12.635914
2000-05-26,19.8125,20.5,19.8125,20.375,3112800,13.245364000000002
2000-05-30,20.125,20.375,19.875,20.25,2131900,13.164104
2000-05-31,20.25,20.875,19.9375,20.375,2184600,13.245364000000002
2000-06-01,20.4375,20.625,19.875,20.3125,2578800,13.204734
2000-06-02,20.25,20.3125,19.0,19.3125,2465300,12.554654
2000-06-05,19.4375,20.1875,19.25,19.875,1612900,12.920324
2000-06-06,19.5,19.625,19.0625,19.375,1325200,12.595284
2000-06-07,19.25,19.5625,19.1875,19.3125,1016500,12.554654
2000-06-08,19.0625,19.125,18.4375,18.5625,1672100,12.067095
2000-06-09,18.625,19.125,18.5,19.125,1295200,12.432765
2000-06-12,19.25,19.6875,18.9375,19.125,1287300,12.432765
2000-06-13,18.6875,18.875,18.0,18.375,1892500,11.945205
2000-06-14,18.375,18.625,18.1875,18.25,2204500,11.863945
2000-06-15,18.25,18.3125,17.6875,17.875,2042200,11.620166000000001
2000-06-16,17.8125,17.8125,17.1875,17.4375,1812900,11.335756
2000-06-19,17.5625,18.125,17.4375,17.875,1874100,11.620166000000001
2000-06-20,17.9375,17.9375,17.375,17.6875,1248600,11.498275999999999
2000-06-21,17.625,18.125,17.125,17.8125,2178800,11.579536000000001
2000-06-22,17.5625,18.0,17.3125,17.6875,1315600,11.498275999999999
2000-06-23,17.625,17.6875,17.0,17.125,1028200,11.132606
2000-06-26,17.375,17.6875,17.1875,17.4375,1415000,11.335756
2000-06-27,17.4375,18.4375,17.375,17.5,2870100,11.376386
2000-06-28,17.25,17.5625,16.9375,17.25,1389500,11.213866000000001
2000-06-29,17.0,17.375,16.375,17.1875,1791200,11.173236
2000-06-30,17.1875,19.109381,17.1875,19.0,3256100,12.351505
2000-07-03,18.8125,18.875,18.125,18.8125,813900,12.229614999999999
2000-07-05,18.8125,19.25,18.3125,19.0625,2172500,12.392135000000001
2000-07-06,19.0625,20.1875,19.0,19.5,2388800,12.676544
2000-07-07,19.25,19.5,19.0625,19.1875,1395600,12.473394
2000-07-10,19.375,19.4375,18.8125,19.0,1027100,12.351505
2000-07-11,19.125,19.375,19.0,19.0,1510100,12.351505
2000-07-12,19.3125,19.875,19.1875,19.25,1443300,12.514024000000001
2000-07-13,19.25,19.5,19.125,19.4375,1250300,12.635914
2000-07-14,19.3125,19.75,19.3125,19.4375,836900,12.635914
2000-07-17,19.5,19.5625,18.9375,19.0,1408900,12.351505
