Date,Open,High,Low,Close,Volume,Adj Close
2002-10-25,13.0,13.15,12.85,13.01,13965800,7.709639
2002-10-28,13.01,13.05,12.96,13.01,5505900,7.709639
2002-10-29,13.0,13.01,12.04,12.64,2235800,7.49038
2002-10-30,12.61,12.62,12.13,12.5,905800,7.4074160000000004
2002-10-31,12.56,13.02,12.5,12.61,298900,7.472600999999999
2002-11-01,12.59,12.7,12.57,12.61,268800,7.472600999999999
2002-11-04,12.66,12.95,12.65,12.91,1307600,7.65038
2002-11-05,12.91,13.24,12.89,13.02,2384700,7.715565
2002-11-06,13.03,13.2,13.0,13.0,204300,7.7037130000000005
2002-11-07,13.08,13.16,12.36,13.05,724200,7.733343
2002-11-08,13.02,13.03,12.83,12.93,106400,7.662232
2002-11-11,13.0,13.0,12.65,12.71,110500,7.531861
2002-11-12,12.73,12.74,11.86,11.96,540700,7.087416
2002-11-13,12.05,12.09,10.76,11.1,685600,6.577786
2002-11-14,11.13,11.25,10.88,11.09,462800,6.571860000000001
2002-11-15,11.1,11.56,11.08,11.55,460700,6.844453
2002-11-18,11.58,13.05,11.57,12.18,325400,7.2177869999999995
2002-11-19,12.36,12.8,12.02,12.6,211400,7.466676
2002-11-20,12.56,12.6,12.23,12.41,92700,7.354083
2002-11-21,12.54,12.85,12.54,12.85,91300,7.6148240000000005
2002-11-22,12.85,12.86,12.5,12.65,55300,7.496305
2002-11-25,12.8,13.0,12.66,12.93,111000,7.662232
2002-11-26,12.94,12.94,12.74,12.74,59300,7.549639
2002-11-27,12.9,12.9,12.5,12.5,94300,7.4074160000000004
2002-11-29,12.78,12.89,12.6,12.82,35400,7.597046000000001
2002-12-02,12.94,12.95,12.35,12.41,93600,7.354083
2002-12-03,12.5,12.5,12.31,12.37,31100,7.330379
2002-12-04,12.45,12.6,12.31,12.6,42300,7.466676
2002-12-05,12.85,13.3,12.76,13.28,366100,7.869639
2002-12-06,13.15,13.38,12.99,13.18,129300,7.81038
2002-12-09,13.29,13.3,12.87,13.0,106900,7.7037130000000005
2002-12-10,13.0,13.19,12.93,13.0,48300,7.7037130000000005
2002-12-11,13.1,13.39,13.02,13.25,189700,7.851861
2002-12-12,13.39,13.8,13.27,13.74,361400,8.142232
2002-12-13,13.72,14.39,13.53,13.6,615500,8.059269
2002-12-16,13.74,14.07,13.66,13.68,170900,8.106677000000001
2002-12-17,13.91,13.91,13.31,13.48,95100,7.988158
2002-12-18,13.5,13.59,13.06,13.32,110800,7.893342999999999
2002-12-19,13.5,13.5,12.5,12.75,233700,7.555565
2002-12-20,12.79,13.4,12.69,13.08,134900,7.751119999999999
2002-12-23,13.09,13.59,13.01,13.45,65300,7.9703800000000005
2002-12-24,13.6,13.91,13.32,13.51,52300,8.005936
2002-12-26,13.66,13.66,12.96,13.25,16300,7.851861
2002-12-27,13.29,13.29,12.95,13.0,42500,7.7037130000000005
2002-12-30,13.09,13.36,13.0,13.1,26700,7.762973
2002-12-31,13.35,13.5,13.1,13.11,72000,7.768897999999999
2003-01-02,13.01,13.5,13.0,13.5,89700,8.000010000000001
2003-01-03,13.5,13.6,13.32,13.4,73200,7.94075
2003-01-06,13.4,13.56,13.29,13.29,90700,7.875564999999999
2003-01-07,13.36,13.52,13.2,13.31,99300,7.887417
2003-01-08,13.11,13.2,12.76,13.02,159100,7.715565
2003-01-09,13.07,13.13,12.85,13.0,125900,7.7037130000000005
2003-01-10,13.08,13.1,12.95,13.0,70500,7.7037130000000005
2003-01-13,13.1,13.33,13.0,13.33,194700,7.899269
2003-01-14,13.33,13.61,13.29,13.45,131200,7.9703800000000005
2003-01-15,13.59,13.67,13.44,13.67,80300,8.100750999999999
2003-01-16,13.67,13.91,13.45,13.91,95500,8.242973
2003-01-17,13.8,14.01,13.47,13.48,71300,7.988158
2003-01-21,13.53,13.91,13.46,13.72,107700,8.13038
2003-01-22,13.73,14.3,13.58,14.26,121500,8.450381
2003-01-23,14.3,14.8,14.2,14.25,185500,8.444455
2003-01-24,14.4,14.4,13.95,14.0,130500,8.296306
2003-01-27,13.99,14.49,13.97,14.13,74000,8.373344
2003-01-28,14.2,14.4,14.0,14.26,65700,8.450381
2003-01-29,14.19,14.31,14.0,14.03,102800,8.314084
2003-01-30,14.0,14.17,13.76,13.77,62600,8.16001
2003-01-31,13.9,13.96,13.66,13.75,184000,8.148158
2003-02-03,13.78,13.87,13.63,13.64,120100,8.082972999999999
2003-02-04,13.5,13.59,13.35,13.58,121800,8.047417
2003-02-05,13.6,13.71,13.35,13.55,60200,8.029639
2003-02-06,13.76,14.65,13.6,14.4,110600,8.533342999999999
2003-02-07,14.4,14.56,13.79,13.95,129500,8.266677
2003-02-10,14.06,14.14,13.7,13.71,54600,8.124454
2003-02-11,13.79,14.54,13.71,14.31,231000,8.480011
2003-02-12,14.31,14.31,13.94,13.94,190500,8.260750999999999
2003-02-13,14.04,14.17,13.95,13.98,107800,8.284454
2003-02-14,13.96,14.49,13.86,14.33,61100,8.491862
2003-02-18,14.35,14.49,14.06,14.45,91100,8.562973
2003-02-19,14.39,14.49,13.96,14.29,93500,8.468158
2003-02-20,14.15,14.39,14.0,14.06,46800,8.331862
2003-02-21,14.18,14.35,13.93,14.06,71500,8.331862
2003-02-24,14.18,14.23,13.98,14.0,38800,8.296306
2003-02-25,14.04,14.24,13.78,14.18,121100,8.402973
2003-02-26,14.2,14.2,13.81,13.95,47600,8.266677
2003-02-27,14.0,14.05,13.85,13.95,36500,8.266677
2003-02-28,14.0,14.29,13.85,14.22,42700,8.426677
2003-03-03,14.1,14.34,13.96,14.08,248400,8.343714
2003-03-04,14.12,14.14,13.95,14.05,258400,8.325936
2003-03-05,14.15,14.15,13.85,13.92,45500,8.248899
2003-03-06,13.86,14.05,13.85,14.0,31300,8.296306
2003-03-07,14.01,14.2,13.95,14.16,45300,8.391121
2003-03-10,14.15,14.3,14.08,14.16,26700,8.391121
2003-03-11,14.27,14.27,14.02,14.08,93400,8.343714
2003-03-12,14.11,14.14,13.82,13.83,175200,8.195565
