,RMSE,MAE,HITRATE
0,0.27031266801104825,0.2068094587012758,0.50355871886121
500,0.05946365120085937,0.04651419270629564,0.5320284697508897
1000,0.0696165845192602,0.05324055500279734,0.5281731909845789
1500,0.053369695462231775,0.044110237281621424,0.5275800711743772
2000,0.0663061453762798,0.05478396558998522,0.5201660735468565
2500,0.05748051236752706,0.044542133180977946,0.5435943060498221
3000,0.05589074593404631,0.045985825932969925,0.547153024911032
3500,0.05727960216223437,0.04355275392229791,0.5459667852906287
4000,0.05345968948373829,0.04338929279929948,0.5326215895610913
4500,0.04376165682942252,0.03576297441642118,0.5450771055753262
5000,0.047285656807497474,0.03720514086567604,0.5533807829181495
5500,0.03194079094378988,0.02652454673896306,0.5542704626334519
6000,0.04255778764944081,0.034100907288392185,0.5557532621589562
6500,0.029667483033408826,0.02402837192004966,0.5596085409252669
7000,0.027145623880465874,0.021519147282152207,0.5655397390272835
7500,0.024675006067692913,0.020003830506156572,0.5818505338078291
8000,0.023173760145072914,0.018654208566826307,0.5865954922894425
8500,0.021884969083927522,0.016512961808709238,0.5999406880189798
9000,0.02033284855265448,0.015452897265838445,0.5946026097271648
9500,0.020407789893777648,0.014944590479242676,0.6233689205219455
10000,0.021016745882285956,0.015448350450464204,0.6067615658362989
