,RMSE,MAE,HITRATE
0,0.24188352442754943,0.19436490882355412,0.505338078291815
500,0.09912058570825881,0.07249024895016627,0.5180901542111507
1000,0.08099818784462853,0.06475323592622587,0.5281731909845789
1500,0.0805168441301609,0.06498913889744122,0.5237247924080665
2000,0.061461406130119134,0.050922172178452234,0.5305456702253856
2500,0.06190555945678943,0.04667833985619631,0.534994068801898
3000,0.06841565031791416,0.05256704737006152,0.5299525504151839
3500,0.08886734946831863,0.07123689100760101,0.5213523131672598
4000,0.08478286837032736,0.0628643392972813,0.5160142348754448
4500,0.07512842740245856,0.060201066290293696,0.5317319098457889
5000,0.0547453421852032,0.04511455245963807,0.536773428232503
5500,0.058244369727443256,0.04655183002975124,0.5317319098457889
6000,0.08957114096358357,0.0681179061391218,0.5403321470937129
6500,0.09517370232578962,0.06893269218109935,0.5249110320284698
7000,0.1269953177451512,0.101028402783892,0.5338078291814946
7500,0.10156090234941803,0.07350888962103283,0.5320284697508897
8000,0.07310503270145609,0.060637962129577,0.5240213523131673
8500,0.07260353816278109,0.05632840039439159,0.5483392645314353
9000,0.10006425418460337,0.07340142274394912,0.5344009489916963
9500,0.0925716305603359,0.07503239227705483,0.5225385527876631
10000,0.06794313891244132,0.05348098427197032,0.5447805456702254
10500,0.08888942767894288,0.06568543097054853,0.5326215895610913
11000,0.07774464196198386,0.062337762994745784,0.5346975088967971
11500,0.09643289889951,0.0757491689975915,0.536773428232503
12000,0.05878988836921832,0.04600956011233218,0.5346975088967971
12500,0.09858478235032571,0.072672814354256,0.5341043890865955
13000,0.06125751141439657,0.04802903452529228,0.5435943060498221
13500,0.09025985259046236,0.07173612737546176,0.5317319098457889
14000,0.08655810028959911,0.06665415471455627,0.5486358244365361
14500,0.09676560225372868,0.07203338467541116,0.527876631079478
15000,0.07384660342727956,0.05598882584917185,0.5406287069988137
15500,0.09301368749926818,0.07379095101499353,0.5258007117437722
16000,0.07705021717686801,0.06010298439466236,0.5424080664294187
16500,0.07696651532807844,0.05533959136100671,0.5341043890865955
17000,0.08192777660719146,0.060630600544600705,0.5441874258600238
17500,0.08890286977092375,0.0715419698854844,0.5376631079478055
18000,0.09678738317562417,0.07604987468235887,0.536773428232503
18500,0.058328076894535466,0.04579684667156042,0.5373665480427047
19000,0.09879923154409206,0.07283844573053525,0.5335112692763938
19500,0.06054724714601511,0.047597648243654644,0.541814946619217
20000,0.09021812269667585,0.07176096229557474,0.5323250296559905
