,RMSE,MAE,HITRATE
0,0.40462714298230373,0.3535475991715192,0.5074139976275207
500,0.020838488732900996,0.015166909228093257,0.6014234875444839
1000,0.02059597426626012,0.01538473360658196,0.5883748517200474
1500,0.020617047350856187,0.01589192877946221,0.5934163701067615
2000,0.02154379582022332,0.0169656788971799,0.5824436536180309
2500,0.020248699011941027,0.015494973466663474,0.5851126927639383
3000,0.01960151707162792,0.014380455174544017,0.6120996441281139
3500,0.020722722445597388,0.015477123441961421,0.5928232502965599
4000,0.021253522364489498,0.016512750174641894,0.5830367734282325
4500,0.01998834355761267,0.014725668344207217,0.6043890865954923
5000,0.020148771285840892,0.015232780693687479,0.5910438908659549
5500,0.01973301980155553,0.014624899807618648,0.6106168446026097
6000,0.020237713123162346,0.014781256686313629,0.611803084223013
6500,0.02038235055105381,0.014899425096721382,0.6070581257413997
7000,0.020367804960835886,0.014867258078233043,0.6091340450771056
7500,0.01992061556579924,0.014523632774315962,0.6159549228944247
8000,0.020521574117937192,0.01515500570361607,0.6106168446026097
8500,0.02013651425815813,0.014682283405362193,0.6159549228944247
9000,0.020287905085376284,0.014808751696041665,0.6112099644128114
9500,0.02025338993216694,0.014815755047386954,0.6147686832740213
10000,0.02033307559132615,0.014882312377185639,0.6147686832740213
