,RMSE,MAE,HITRATE
0,0.26699460276963055,0.21754882245311147,0.5083036773428232
500,0.0716769616575176,0.051167536659811046,0.5430011862396203
1000,0.0561938341716105,0.04604445448962431,0.5370699881376038
1500,0.045363852081702294,0.038251415311380564,0.5379596678529063
2000,0.06963328451874805,0.05647764628638882,0.5335112692763938
2500,0.03429691254155483,0.027689439877415973,0.5581257413997628
3000,0.06997875919061328,0.056818482470727405,0.5249110320284698
3500,0.03953031727816559,0.0325056559351825,0.5477461447212337
4000,0.045321965282304096,0.036173341051159054,0.5427046263345195
4500,0.053733922653415166,0.040543857087903826,0.548932384341637
5000,0.051244395591633435,0.0385249014330712,0.5498220640569395
5500,0.04504717796626599,0.03502818591872789,0.5453736654804271
6000,0.030952359005802465,0.025696637255447026,0.5682087781731909
6500,0.039235248121425384,0.03050269471022226,0.5572360616844603
7000,0.03859945020973053,0.02738737353882342,0.5779952550415184
7500,0.02606178588059215,0.020828162563482445,0.5693950177935944
8000,0.023696337635316957,0.01831145185971452,0.5877817319098458
8500,0.02856620995453859,0.02241185613024707,0.5658362989323843
9000,0.029101953299427167,0.021110658956508935,0.5883748517200474
9500,0.030196494782769947,0.021578094391207458,0.5871886120996441
10000,0.022785375645392014,0.01774062576544954,0.5735468564650059
