,RMSE,MAE,HITRATE
0,0.25576831157781815,0.20973951092834453,0.5068208778173191
500,0.05500561229929548,0.04364472028857207,0.5323250296559905
1000,0.049273464056627005,0.038669766038650306,0.5486358244365361
1500,0.04361176264142128,0.03426037987763785,0.5352906287069988
2000,0.05426822815553716,0.04451237362998423,0.538552787663108
2500,0.0358880290341848,0.02959697587807106,0.5521945432977462
3000,0.06346499541656743,0.05154608751766125,0.5352906287069988
3500,0.02907662044585919,0.02416622018993505,0.5593119810201661
4000,0.05467266351825046,0.0446150100047189,0.5444839857651246
4500,0.04361247601761126,0.03544903556013325,0.5498220640569395
5000,0.03945674422687916,0.03170974938974753,0.5569395017793595
5500,0.03738929339591604,0.029863341733129125,0.5607947805456702
6000,0.03851855737259858,0.030614207932971066,0.5539739027283511
6500,0.02896452994621126,0.02362798606699254,0.5714709371293001
7000,0.02771276433670007,0.022817386142727034,0.5622775800711743
7500,0.027086320634283314,0.022316084290700613,0.5690984578884934
8000,0.02509050112832452,0.020397250402159273,0.5693950177935944
8500,0.024493083845233056,0.019933299008601683,0.5696915776986952
9000,0.021996654306177685,0.016503436003288047,0.5836298932384342
9500,0.022668373225153977,0.017637182662539348,0.5830367734282325
10000,0.02053685498092353,0.015544461301116759,0.5907473309608541
