,RMSE,MAE,Hit rate
0,0.4842478381887938,0.41441347237666126,0.4966887417218543
1000,0.5098532404670443,0.43030810644435813,0.4966887417218543
2000,0.3797582127584835,0.2933602471327154,0.5006622516556292
3000,0.43601764650912045,0.37268884735596775,0.5099337748344371
4000,0.5221324057519495,0.4562361762856097,0.5072847682119205
5000,0.4071622655436328,0.3523417281775288,0.5218543046357615
6000,0.3949762970178118,0.3297163665322334,0.49933774834437084
7000,0.37216168300710467,0.3217554220074669,0.519205298013245
8000,0.5117360343378916,0.43275482774410534,0.519205298013245
9000,0.39091702022674985,0.3526682911502778,0.4966887417218543
10000,0.35737418746477007,0.2855278277524979,0.5125827814569537
11000,0.5011192564119535,0.4112656454275054,0.49801324503311256
12000,0.4582021766339869,0.38865696245133874,0.4966887417218543
13000,0.49065406626673447,0.4367240786923108,0.5086092715231788
14000,0.48320506792573453,0.41901449291400694,0.5072847682119205
15000,0.4554569205915133,0.3978967131255596,0.5046357615894039
16000,0.4863313754616968,0.4284431156530111,0.49801324503311256
17000,0.4994208369698852,0.44192801531750386,0.5033112582781457
18000,0.4920259479042096,0.4327409644047578,0.5033112582781457
19000,0.48664933223429063,0.42795917767786174,0.5033112582781457
20000,0.47622213916314926,0.4188183988127287,0.5033112582781457
21000,1.0919451685683852,0.9789004667417301,0.5091933570581257
