,RMSE,MAE,Hit rate
0,0.42504565019956025,0.35771446854482153,0.519205298013245
1000,0.4703356402006034,0.3878506625184866,0.5165562913907285
2000,0.4122324774221451,0.3329792623414937,0.519205298013245
3000,0.40998249641785334,0.3526100056336632,0.5152317880794702
4000,0.4673274045327789,0.4031681837453083,0.5231788079470199
5000,0.4502437397523739,0.3714535696062421,0.519205298013245
6000,0.4299018273215731,0.3617269564011816,0.5139072847682119
7000,0.5052338013455598,0.44106181675451883,0.5112582781456954
8000,0.4272773688149862,0.36322162376946404,0.519205298013245
9000,0.43304066845176103,0.37002835181682264,0.5218543046357615
10000,0.43672748209539675,0.37167482706861543,0.5218543046357615
11000,0.4624924004680887,0.3953837067143823,0.5218543046357615
12000,0.47171075363975773,0.40365966305328727,0.5178807947019868
13000,0.4633020933479999,0.39482551179244385,0.519205298013245
14000,0.4666812015445018,0.3984117119368988,0.5231788079470199
15000,0.4665409062853815,0.3988217044394433,0.519205298013245
16000,0.46416659589501824,0.396971098842555,0.5231788079470199
17000,0.4613908094367701,0.394726970797732,0.5218543046357615
18000,0.45775847423457555,0.3916404776196742,0.5205298013245033
19000,0.45328118852916144,0.3877069432601132,0.5205298013245033
20000,0.45341411987135416,0.3879121296645641,0.5218543046357615
21000,1.1192352777689167,1.0010023146170979,0.5077105575326216
