,RMSE,MAE,Hit rate
0,0.5851087572568003,0.5464597005035353,0.4966887417218543
1000,0.5804310340339022,0.5414059697135888,0.4966887417218543
2000,0.5293041176370453,0.48649514166748875,0.495364238410596
3000,0.5555459147590698,0.5188408778273712,0.49801324503311256
4000,0.5816520653710436,0.5376273517859519,0.4966887417218543
5000,0.5806297713633045,0.5390256458462704,0.4966887417218543
6000,0.5361791488627139,0.49665344633171477,0.4966887417218543
7000,0.5868755373893197,0.5442109079246009,0.4966887417218543
8000,0.5199101228619263,0.47882691794966575,0.4966887417218543
9000,0.5775610004150311,0.5278331661481549,0.4966887417218543
10000,0.48433690142191477,0.45592278353012106,0.4966887417218543
11000,0.5590026448184232,0.5159314554335421,0.4966887417218543
12000,0.5418026017901563,0.4988564436213522,0.4966887417218543
13000,0.5357047046308108,0.49626574381998284,0.4966887417218543
14000,0.5475676036281105,0.49832022084179056,0.4966887417218543
15000,0.5477071763958878,0.5086595173681696,0.4966887417218543
16000,0.5368417352607582,0.4982886803659654,0.4966887417218543
17000,0.5371556886840454,0.49572356719868205,0.4966887417218543
18000,0.5408007269720182,0.4992385801157465,0.4966887417218543
19000,0.5427553906226635,0.5010884676634161,0.4966887417218543
20000,0.5453005453188488,0.5036200967388651,0.4966887417218543
21000,0.9925508263884765,0.90685881136252,0.5077105575326216
